기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2013.2/4,총계,총계,"4,181,577","10,422,599","5,145,942","5,276,657","10,176,560","5,027,540","5,149,020","246,039","118,402","127,637",2.43,"1,142,213"
2013.2/4,종로구,소계,"74,092","169,294","83,937","85,357","161,485","80,308","81,177","7,809","3,629","4,180",2.18,"23,857"
2013.2/4,종로구,사직동,"4,495","10,365","4,881","5,484","9,920","4,618","5,302",445,263,182,2.21,"1,642"
2013.2/4,종로구,삼청동,"1,555","3,421","1,650","1,771","3,285","1,576","1,709",136,74,62,2.11,626
2013.2/4,종로구,부암동,"4,608","11,527","5,651","5,876","11,247","5,538","5,709",280,113,167,2.44,"1,683"
2013.2/4,종로구,평창동,"7,376","19,752","9,433","10,319","19,493","9,303","10,190",259,130,129,2.64,"2,765"
2013.2/4,종로구,무악동,"3,229","8,664","4,117","4,547","8,613","4,095","4,518",51,22,29,2.67,"1,177"
2013.2/4,종로구,교남동,"2,893","5,859","2,912","2,947","5,738","2,860","2,878",121,52,69,1.98,902
2013.2/4,종로구,가회동,"2,373","5,413","2,540","2,873","5,298","2,491","2,807",115,49,66,2.23,882
2013.2/4,종로구,종로1.2.3.4가동,"5,253","8,856","5,136","3,720","7,861","4,565","3,296",995,571,424,1.5,"1,681"
2013.2/4,종로구,종로5·6가동,"3,140","6,311","3,391","2,920","5,993","3,255","2,738",318,136,182,1.91,"1,007"
2013.2/4,종로구,이화동,"4,536","9,503","4,528","4,975","9,048","4,323","4,725",455,205,250,1.99,"1,139"
2013.2/4,종로구,창신1동,"3,438","7,483","3,922","3,561","6,536","3,476","3,060",947,446,501,1.9,"1,025"
2013.2/4,종로구,창신2동,"4,843","11,860","5,973","5,887","10,843","5,524","5,319","1,017",449,568,2.24,"1,481"
2013.2/4,종로구,창신3동,"3,068","8,406","4,210","4,196","8,296","4,163","4,133",110,47,63,2.7,"1,013"
2013.2/4,종로구,숭인1동,"3,244","7,652","3,830","3,822","7,265","3,662","3,603",387,168,219,2.24,947
2013.2/4,종로구,숭인2동,"4,954","9,728","5,072","4,656","9,330","4,898","4,432",398,174,224,1.88,"1,418"
2013.2/4,종로구,청운효자동,"5,939","14,906","7,145","7,761","14,778","7,086","7,692",128,59,69,2.49,"2,095"
2013.2/4,종로구,혜화동,"9,148","19,588","9,546","10,042","17,941","8,875","9,066","1,647",671,976,1.96,"2,374"
2013.2/4,중구,소계,"60,967","139,699","70,098","69,601","132,042","66,263","65,779","7,657","3,835","3,822",2.17,"19,233"
2013.2/4,중구,소공동,687,"1,820","1,028",792,"1,352",720,632,468,308,160,1.97,174
2013.2/4,중구,회현동,"3,590","6,587","3,590","2,997","5,902","3,219","2,683",685,371,314,1.64,"1,243"
2013.2/4,중구,명동,"1,619","4,175","2,018","2,157","3,359","1,487","1,872",816,531,285,2.07,644
2013.2/4,중구,필동,"2,404","4,872","2,589","2,283","4,482","2,393","2,089",390,196,194,1.86,727
2013.2/4,중구,장충동,"3,014","6,310","3,166","3,144","5,659","2,903","2,756",651,263,388,1.88,750
2013.2/4,중구,광희동,"2,955","6,221","3,288","2,933","5,408","2,905","2,503",813,383,430,1.83,953
2013.2/4,중구,을지로동,"1,361","2,060","1,283",777,"1,951","1,229",722,109,54,55,1.43,412
2013.2/4,중구,신당1동,"3,974","9,191","4,675","4,516","7,776","3,996","3,780","1,415",679,736,1.96,"1,146"
2013.2/4,중구,신당2동,"7,203","16,712","8,217","8,495","16,347","8,062","8,285",365,155,210,2.27,"2,177"
2013.2/4,중구,신당3동,"7,981","19,410","9,353","10,057","19,191","9,260","9,931",219,93,126,2.4,"2,841"
2013.2/4,중구,신당4동,"6,535","16,003","7,685","8,318","15,817","7,607","8,210",186,78,108,2.42,"2,176"
2013.2/4,중구,신당5동,"4,636","10,704","5,369","5,335","10,431","5,254","5,177",273,115,158,2.25,"1,377"
2013.2/4,중구,신당6동,"4,405","12,126","5,893","6,233","11,960","5,813","6,147",166,80,86,2.72,"1,422"
2013.2/4,중구,황학동,"5,744","13,070","6,639","6,431","12,273","6,265","6,008",797,374,423,2.14,"1,584"
2013.2/4,중구,중림동,"4,859","10,438","5,305","5,133","10,134","5,150","4,984",304,155,149,2.09,"1,607"
2013.2/4,용산구,소계,"110,126","253,903","123,889","130,014","241,818","117,584","124,234","12,085","6,305","5,780",2.2,"33,543"
2013.2/4,용산구,후암동,"8,909","20,212","10,041","10,171","19,741","9,814","9,927",471,227,244,2.22,"2,652"
2013.2/4,용산구,용산2가동,"5,941","13,713","6,753","6,960","12,648","6,140","6,508","1,065",613,452,2.13,"1,838"
2013.2/4,용산구,남영동,"5,272","8,471","5,042","3,429","8,030","4,843","3,187",441,199,242,1.52,"1,294"
2013.2/4,용산구,원효로2동,"5,970","15,866","7,541","8,325","15,679","7,464","8,215",187,77,110,2.63,"1,984"
2013.2/4,용산구,효창동,"4,378","11,333","5,492","5,841","11,170","5,421","5,749",163,71,92,2.55,"1,476"
2013.2/4,용산구,용문동,"5,122","13,154","6,431","6,723","13,009","6,364","6,645",145,67,78,2.54,"1,650"
2013.2/4,용산구,이촌1동,"9,799","28,267","13,334","14,933","26,934","12,574","14,360","1,333",760,573,2.75,"3,469"
2013.2/4,용산구,이촌2동,"4,300","10,276","4,930","5,346","10,220","4,909","5,311",56,21,35,2.38,"1,563"
2013.2/4,용산구,이태원1동,"4,418","9,814","4,716","5,098","8,336","3,848","4,488","1,478",868,610,1.89,"1,455"
2013.2/4,용산구,이태원2동,"5,379","11,898","5,649","6,249","10,980","5,115","5,865",918,534,384,2.04,"1,831"
2013.2/4,용산구,서빙고동,"5,476","14,404","6,959","7,445","14,028","6,785","7,243",376,174,202,2.56,"1,941"
2013.2/4,용산구,보광동,"8,487","18,173","8,866","9,307","17,306","8,404","8,902",867,462,405,2.04,"2,417"
2013.2/4,용산구,청파동,"11,347","23,720","11,290","12,430","22,760","10,967","11,793",960,323,637,2.01,"2,856"
2013.2/4,용산구,원효로1동,"5,682","12,946","6,427","6,519","12,671","6,293","6,378",275,134,141,2.23,"1,470"
2013.2/4,용산구,한강로동,"7,816","16,468","8,247","8,221","15,304","7,644","7,660","1,164",603,561,1.96,"2,499"
2013.2/4,용산구,한남동,"11,830","25,188","12,171","13,017","23,002","10,999","12,003","2,186","1,172","1,014",1.94,"3,148"
2013.2/4,성동구,소계,"127,026","308,870","153,986","154,884","301,648","150,527","151,121","7,222","3,459","3,763",2.37,"35,031"
2013.2/4,성동구,왕십리2동,"6,992","17,338","8,566","8,772","17,059","8,447","8,612",279,119,160,2.44,"1,959"
2013.2/4,성동구,마장동,"10,352","25,618","12,798","12,820","25,073","12,537","12,536",545,261,284,2.42,"2,941"
2013.2/4,성동구,사근동,"6,009","11,839","6,154","5,685","10,661","5,602","5,059","1,178",552,626,1.77,"1,300"
2013.2/4,성동구,행당1동,"7,558","18,000","8,874","9,126","17,547","8,674","8,873",453,200,253,2.32,"2,183"
2013.2/4,성동구,행당2동,"9,572","26,832","12,797","14,035","26,745","12,764","13,981",87,33,54,2.79,"2,832"
2013.2/4,성동구,응봉동,"6,419","17,463","8,416","9,047","17,401","8,394","9,007",62,22,40,2.71,"2,095"
2013.2/4,성동구,금호1가동,"6,023","15,477","7,544","7,933","15,376","7,506","7,870",101,38,63,2.55,"1,982"
2013.2/4,성동구,금호4가동,"6,186","15,082","7,362","7,720","14,915","7,275","7,640",167,87,80,2.41,"1,706"
