기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2015.3/4,합계,합계,"4,195,438","10,331,847","5,083,068","5,248,779","10,055,027","4,949,180","5,105,847","276,820","133,888","142,932",2.4,"1,258,944"
2015.3/4,종로구,소계,"72,878","164,499","80,796","83,703","155,508","76,822","78,686","8,991","3,974","5,017",2.13,"24,830"
2015.3/4,종로구,사직동,"4,339","10,004","4,679","5,325","9,648","4,491","5,157",356,188,168,2.22,"1,677"
2015.3/4,종로구,삼청동,"1,421","3,197","1,526","1,671","2,982","1,409","1,573",215,117,98,2.1,640
2015.3/4,종로구,부암동,"4,444","11,277","5,463","5,814","10,796","5,263","5,533",481,200,281,2.43,"1,706"
2015.3/4,종로구,평창동,"7,363","19,435","9,213","10,222","19,240","9,117","10,123",195,96,99,2.61,"2,922"
2015.3/4,종로구,무악동,"3,157","8,557","4,043","4,514","8,483","4,017","4,466",74,26,48,2.69,"1,241"
2015.3/4,종로구,교남동,"2,344","4,914","2,341","2,573","4,830","2,304","2,526",84,37,47,2.06,858
2015.3/4,종로구,가회동,"2,202","4,999","2,328","2,671","4,869","2,266","2,603",130,62,68,2.21,882
2015.3/4,종로구,종로1.2.3.4가동,"5,532","8,890","5,075","3,815","7,938","4,568","3,370",952,507,445,1.43,"1,781"
2015.3/4,종로구,종로5·6가동,"3,279","6,139","3,380","2,759","5,786","3,224","2,562",353,156,197,1.76,"1,076"
2015.3/4,종로구,이화동,"4,488","9,189","4,346","4,843","8,688","4,110","4,578",501,236,265,1.94,"1,205"
2015.3/4,종로구,창신1동,"3,284","6,976","3,696","3,280","6,062","3,240","2,822",914,456,458,1.85,"1,093"
2015.3/4,종로구,창신2동,"4,505","11,157","5,627","5,530","9,938","5,050","4,888","1,219",577,642,2.21,"1,573"
2015.3/4,종로구,창신3동,"2,968","7,966","3,999","3,967","7,792","3,917","3,875",174,82,92,2.63,"1,071"
