기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2015.1/4,합계,합계,"4,202,812","10,369,067","5,106,034","5,263,033","10,100,987","4,976,047","5,124,940","268,080","129,987","138,093",2.4,"1,239,431"
2015.1/4,종로구,소계,"73,218","165,240","81,256","83,984","156,645","77,431","79,214","8,595","3,825","4,770",2.14,"24,712"
2015.1/4,종로구,사직동,"4,377","10,110","4,749","5,361","9,750","4,556","5,194",360,193,167,2.23,"1,678"
2015.1/4,종로구,삼청동,"1,435","3,224","1,552","1,672","3,016","1,437","1,579",208,115,93,2.1,642
2015.1/4,종로구,부암동,"4,461","11,353","5,509","5,844","10,880","5,310","5,570",473,199,274,2.44,"1,718"
2015.1/4,종로구,평창동,"7,408","19,581","9,286","10,295","19,383","9,190","10,193",198,96,102,2.62,"2,913"
2015.1/4,종로구,무악동,"3,163","8,452","3,989","4,463","8,387","3,964","4,423",65,25,40,2.65,"1,236"
2015.1/4,종로구,교남동,"2,394","4,975","2,388","2,587","4,892","2,350","2,542",83,38,45,2.04,845
2015.1/4,종로구,가회동,"2,251","5,137","2,404","2,733","4,995","2,334","2,661",142,70,72,2.22,890
2015.1/4,종로구,종로1.2.3.4가동,"5,516","8,939","5,086","3,853","7,967","4,549","3,418",972,537,435,1.44,"1,763"
2015.1/4,종로구,종로5·6가동,"3,284","6,199","3,454","2,745","5,871","3,299","2,572",328,155,173,1.79,"1,063"
2015.1/4,종로구,이화동,"4,517","9,339","4,393","4,946","8,821","4,166","4,655",518,227,291,1.95,"1,199"
2015.1/4,종로구,창신1동,"3,304","7,041","3,737","3,304","6,150","3,304","2,846",891,433,458,1.86,"1,097"
2015.1/4,종로구,창신2동,"4,572","11,257","5,657","5,600","10,157","5,152","5,005","1,100",505,595,2.22,"1,552"
2015.1/4,종로구,창신3동,"2,993","8,010","4,018","3,992","7,865","3,954","3,911",145,64,81,2.63,"1,062"
2015.1/4,종로구,숭인1동,"3,158","7,315","3,638","3,677","6,953","3,461","3,492",362,177,185,2.2,994
2015.1/4,종로구,숭인2동,"5,381","10,091","5,139","4,952","9,636","4,956","4,680",455,183,272,1.79,"1,504"
2015.1/4,종로구,청운효자동,"5,772","14,339","6,822","7,517","14,165","6,736","7,429",174,86,88,2.45,"2,078"
2015.1/4,종로구,혜화동,"9,232","19,878","9,435","10,443","17,757","8,713","9,044","2,121",722,"1,399",1.92,"2,478"
2015.1/4,중구,소계,"60,043","136,063","67,858","68,205","127,843","63,890","63,953","8,220","3,968","4,252",2.13,"20,132"
2015.1/4,중구,소공동,654,"1,868","1,046",822,"1,266",683,583,602,363,239,1.94,184
2015.1/4,중구,회현동,"3,499","6,457","3,479","2,978","5,751","3,103","2,648",706,376,330,1.64,"1,296"
2015.1/4,중구,명동,"1,462","3,596","1,630","1,966","3,064","1,329","1,735",532,301,231,2.1,647
2015.1/4,중구,필동,"2,410","5,131","2,630","2,501","4,431","2,326","2,105",700,304,396,1.84,768
2015.1/4,중구,장충동,"2,884","6,020","3,033","2,987","5,309","2,762","2,547",711,271,440,1.84,782
2015.1/4,중구,광희동,"2,852","5,917","3,106","2,811","5,144","2,751","2,393",773,355,418,1.8,"1,018"
2015.1/4,중구,을지로동,"1,265","1,913","1,186",727,"1,800","1,129",671,113,57,56,1.42,440
2015.1/4,중구,신당5동,"4,788","10,812","5,440","5,372","10,446","5,282","5,164",366,158,208,2.18,"1,481"
2015.1/4,중구,황학동,"6,029","13,200","6,607","6,593","12,305","6,163","6,142",895,444,451,2.04,"1,675"
2015.1/4,중구,중림동,"4,413","9,344","4,735","4,609","9,056","4,583","4,473",288,152,136,2.05,"1,558"
2015.1/4,중구,신당동,"4,000","8,880","4,528","4,352","7,444","3,832","3,612","1,436",696,740,1.86,"1,195"
2015.1/4,중구,다산동,"7,010","16,283","7,940","8,343","15,818","7,740","8,078",465,200,265,2.26,"2,285"
2015.1/4,중구,약수동,"7,950","19,198","9,224","9,974","18,926","9,091","9,835",272,133,139,2.38,"3,036"
2015.1/4,중구,청구동,"6,512","15,570","7,509","8,061","15,374","7,425","7,949",196,84,112,2.36,"2,274"
2015.1/4,중구,동화동,"4,315","11,874","5,765","6,109","11,709","5,691","6,018",165,74,91,2.71,"1,493"
2015.1/4,용산구,소계,"108,506","250,003","122,096","127,907","235,723","114,406","121,317","14,280","7,690","6,590",2.17,"35,359"
2015.1/4,용산구,후암동,"8,764","19,725","9,741","9,984","19,176","9,476","9,700",549,265,284,2.19,"2,775"
2015.1/4,용산구,용산2가동,"5,829","13,309","6,579","6,730","11,994","5,822","6,172","1,315",757,558,2.06,"1,966"
2015.1/4,용산구,남영동,"5,377","8,613","5,210","3,403","8,104","4,954","3,150",509,256,253,1.51,"1,428"
2015.1/4,용산구,원효로2동,"6,054","15,724","7,404","8,320","15,561","7,343","8,218",163,61,102,2.57,"2,082"
2015.1/4,용산구,효창동,"4,418","11,240","5,473","5,767","11,065","5,402","5,663",175,71,104,2.5,"1,550"
2015.1/4,용산구,용문동,"5,162","13,055","6,291","6,764","12,894","6,215","6,679",161,76,85,2.5,"1,761"
2015.1/4,용산구,이촌1동,"9,685","28,025","13,132","14,893","26,734","12,432","14,302","1,291",700,591,2.76,"3,751"
2015.1/4,용산구,이촌2동,"4,088","9,753","4,637","5,116","9,661","4,598","5,063",92,39,53,2.36,"1,609"
2015.1/4,용산구,이태원1동,"4,157","9,460","4,758","4,702","7,765","3,656","4,109","1,695","1,102",593,1.87,"1,485"
2015.1/4,용산구,이태원2동,"5,147","11,403","5,405","5,998","10,230","4,729","5,501","1,173",676,497,1.99,"1,841"
2015.1/4,용산구,서빙고동,"5,369","14,433","6,985","7,448","13,817","6,680","7,137",616,305,311,2.57,"1,965"
2015.1/4,용산구,보광동,"8,391","17,684","8,670","9,014","16,664","8,091","8,573","1,020",579,441,1.99,"2,567"
2015.1/4,용산구,청파동,"11,022","22,868","10,894","11,974","21,935","10,570","11,365",933,324,609,1.99,"2,995"
2015.1/4,용산구,원효로1동,"5,986","13,620","6,694","6,926","13,154","6,462","6,692",466,232,234,2.2,"1,570"
2015.1/4,용산구,한강로동,"7,686","16,459","8,221","8,238","14,971","7,437","7,534","1,488",784,704,1.95,"2,741"
2015.1/4,용산구,한남동,"11,371","24,632","12,002","12,630","21,998","10,539","11,459","2,634","1,463","1,171",1.93,"3,273"
2015.1/4,성동구,소계,"126,021","303,777","151,003","152,774","295,901","147,211","148,690","7,876","3,792","4,084",2.35,"37,162"
2015.1/4,성동구,왕십리2동,"6,791","16,728","8,255","8,473","16,373","8,094","8,279",355,161,194,2.41,"2,085"
2015.1/4,성동구,마장동,"10,387","25,164","12,453","12,711","24,525","12,159","12,366",639,294,345,2.36,"3,138"
2015.1/4,성동구,사근동,"6,494","12,944","6,657","6,287","11,527","6,018","5,509","1,417",639,778,1.78,"1,397"
2015.1/4,성동구,행당1동,"6,505","15,402","7,558","7,844","14,940","7,342","7,598",462,216,246,2.3,"1,978"
2015.1/4,성동구,행당2동,"9,453","26,367","12,566","13,801","26,267","12,524","13,743",100,42,58,2.78,"3,059"
2015.1/4,성동구,응봉동,"6,314","17,215","8,237","8,978","17,158","8,216","8,942",57,21,36,2.72,"2,212"
2015.1/4,성동구,금호1가동,"5,501","14,034","6,809","7,225","13,932","6,765","7,167",102,44,58,2.53,"1,941"
2015.1/4,성동구,금호4가동,"6,160","14,954","7,245","7,709","14,787","7,172","7,615",167,73,94,2.4,"1,848"
2015.1/4,성동구,성수1가1동,"7,136","17,714","8,991","8,723","17,274","8,746","8,528",440,245,195,2.42,"1,836"
2015.1/4,성동구,성수1가2동,"7,948","18,014","9,161","8,853","17,574","8,932","8,642",440,229,211,2.21,"1,921"
2015.1/4,성동구,성수2가1동,"8,899","20,498","10,655","9,843","19,667","10,254","9,413",831,401,430,2.21,"2,365"
2015.1/4,성동구,성수2가3동,"5,517","12,534","6,539","5,995","12,089","6,281","5,808",445,258,187,2.19,"1,539"
