,동,기간,category,value
160,월계2동,2010,1인가구,2328.0
161,월계3동,2010,1인가구,2068.0
162,공릉2동,2010,1인가구,2233.0
163,하계1동,2010,1인가구,2083.0
164,하계2동,2010,1인가구,953.0
165,중계본동,2010,1인가구,868.0
166,중계1동,2010,1인가구,717.0
167,중계4동,2010,1인가구,1187.0
168,상계1동,2010,1인가구,2275.0
169,상계2동,2010,1인가구,1117.0
170,상계5동,2010,1인가구,1578.0
171,상계8동,2010,1인가구,1182.0
172,상계9동,2010,1인가구,1179.0
173,상계10동,2010,1인가구,1339.0
174,공릉1.3동,2010,1인가구,3177.0
175,상계3.4동,2010,1인가구,2858.0
176,상계6.7동,2010,1인가구,2696.0
177,중계2.3동,2010,1인가구,2627.0
178,녹번동,2010,1인가구,3197.0
179,불광1동,2010,1인가구,2411.0
180,갈현1동,2010,1인가구,1548.0
181,갈현2동,2010,1인가구,1320.0
182,구산동,2010,1인가구,1339.0
183,대조동,2010,1인가구,2583.0
184,응암1동,2010,1인가구,2640.0
185,응암2동,2010,1인가구,1666.0
186,신사1동,2010,1인가구,1383.0
187,신사2동,2010,1인가구,1194.0
188,증산동,2010,1인가구,1126.0
189,수색동,2010,1인가구,1373.0
190,진관동,2010,1인가구,858.0
191,불광2동,2010,1인가구,2420.0
192,응암3동,2010,1인가구,2205.0
193,역촌동,2010,1인가구,2532.0
194,천연동,2010,1인가구,1501.0
195,홍제1동,2010,1인가구,2037.0
196,홍제3동,2010,1인가구,1552.0
197,홍제2동,2010,1인가구,912.0
198,홍은1동,2010,1인가구,1538.0
199,홍은2동,2010,1인가구,2035.0
200,남가좌1동,2010,1인가구,268.0
201,남가좌2동,2010,1인가구,2593.0
202,북가좌1동,2010,1인가구,433.0
203,북가좌2동,2010,1인가구,1965.0
204,충현동,2010,1인가구,2684.0
205,북아현동,2010,1인가구,1545.0
206,신촌동,2010,1인가구,5225.0
207,연희동,2010,1인가구,5655.0
208,용강동,2010,1인가구,2057.0
209,대흥동,2010,1인가구,4295.0
210,염리동,2010,1인가구,2201.0
211,신수동,2010,1인가구,1892.0
212,서교동,2010,1인가구,7484.0
213,합정동,2010,1인가구,2065.0
214,망원1동,2010,1인가구,2169.0
215,망원2동,2010,1인가구,1277.0
216,연남동,2010,1인가구,2248.0
217,성산1동,2010,1인가구,1754.0
218,성산2동,2010,1인가구,2206.0
219,상암동,2010,1인가구,1025.0
220,도화동,2010,1인가구,1725.0
221,서강동,2010,1인가구,3543.0
222,공덕동,2010,1인가구,3475.0
223,아현동,2010,1인가구,1693.0
224,목1동,2010,1인가구,855.0
225,목2동,2010,1인가구,1756.0
226,목3동,2010,1인가구,1472.0
227,목4동,2010,1인가구,1255.0
228,신월1동,2010,1인가구,2110.0
229,신월2동,2010,1인가구,948.0
230,신월3동,2010,1인가구,1884.0
231,신월4동,2010,1인가구,587.0
232,신월5동,2010,1인가구,887.0
233,신월6동,2010,1인가구,723.0
234,신월7동,2010,1인가구,1215.0
235,신정1동,2010,1인가구,1208.0
236,신정2동,2010,1인가구,748.0
237,신정3동,2010,1인가구,3037.0
238,신정6동,2010,1인가구,591.0
239,신정7동,2010,1인가구,1722.0
240,목5동,2010,1인가구,1170.0
241,신정4동,2010,1인가구,3050.0
242,염창동,2010,1인가구,1123.0
243,등촌1동,2010,1인가구,2295.0
244,등촌2동,2010,1인가구,993.0
245,등촌3동,2010,1인가구,3004.0
246,화곡본동,2010,1인가구,2944.0
247,화곡2동,2010,1인가구,1373.0
248,화곡3동,2010,1인가구,1350.0
249,화곡4동,2010,1인가구,1688.0
250,화곡6동,2010,1인가구,1753.0
251,화곡8동,2010,1인가구,1830.0
252,가양1동,2010,1인가구,878.0
253,가양2동,2010,1인가구,2557.0
254,가양3동,2010,1인가구,1858.0
255,발산1동,2010,1인가구,1156.0
256,공항동,2010,1인가구,2537.0
257,방화1동,2010,1인가구,1873.0
258,방화2동,2010,1인가구,2497.0
259,방화3동,2010,1인가구,3163.0
260,화곡1동,2010,1인가구,5126.0
261,우장산동,2010,1인가구,1806.0
262,신도림동,2010,1인가구,1263.0
263,구로1동,2010,1인가구,1032.0
264,구로3동,2010,1인가구,5755.0
265,구로4동,2010,1인가구,1908.0
266,구로5동,2010,1인가구,2402.0
267,고척1동,2010,1인가구,1331.0
268,고척2동,2010,1인가구,1790.0
269,개봉2동,2010,1인가구,1230.0
270,개봉3동,2010,1인가구,1075.0
271,오류1동,2010,1인가구,1583.0
272,오류2동,2010,1인가구,1580.0
273,수궁동,2010,1인가구,1079.0
274,가리봉동,2010,1인가구,2398.0
275,구로2동,2010,1인가구,3474.0
276,개봉1동,2010,1인가구,2256.0
277,가산동,2010,1인가구,4330.0
278,독산1동,2010,1인가구,4118.0
279,독산2동,2010,1인가구,2100.0
280,독산3동,2010,1인가구,2809.0
281,독산4동,2010,1인가구,1768.0
282,시흥1동,2010,1인가구,2802.0
283,시흥2동,2010,1인가구,953.0
284,시흥3동,2010,1인가구,735.0
285,시흥4동,2010,1인가구,1687.0
286,시흥5동,2010,1인가구,1972.0
287,여의도동,2010,1인가구,1676.0
288,당산1동,2010,1인가구,1989.0
289,당산2동,2010,1인가구,2866.0
290,양평1동,2010,1인가구,1540.0
291,양평2동,2010,1인가구,1188.0
292,신길1동,2010,1인가구,3318.0
293,신길3동,2010,1인가구,1650.0
294,신길4동,2010,1인가구,1094.0
295,신길5동,2010,1인가구,1560.0
296,신길6동,2010,1인가구,1972.0
297,신길7동,2010,1인가구,1246.0
298,대림1동,2010,1인가구,1452.0
299,대림2동,2010,1인가구,1498.0
300,대림3동,2010,1인가구,1919.0
301,영등포본동,2010,1인가구,2390.0
302,영등포동,2010,1인가구,2963.0
303,도림동,2010,1인가구,2177.0
304,문래동,2010,1인가구,1660.0
305,노량진2동,2010,1인가구,3182.0
306,상도1동,2010,1인가구,5599.0
307,상도2동,2010,1인가구,2437.0
308,상도3동,2010,1인가구,1926.0
309,상도4동,2010,1인가구,2023.0
310,사당1동,2010,1인가구,3108.0
311,사당3동,2010,1인가구,1688.0
312,사당4동,2010,1인가구,1128.0
313,사당5동,2010,1인가구,1194.0
314,대방동,2010,1인가구,3025.0
315,신대방1동,2010,1인가구,2033.0
316,신대방2동,2010,1인가구,1657.0
317,흑석동,2010,1인가구,4158.0
318,노량진1동,2010,1인가구,4894.0
319,사당2동,2010,1인가구,2204.0
320,보라매동,2010,1인가구,2689.0
321,청림동,2010,1인가구,986.0
322,행운동,2010,1인가구,6353.0
323,낙성대동,2010,1인가구,4383.0
324,중앙동,2010,1인가구,2475.0
325,인헌동,2010,1인가구,4496.0
326,남현동,2010,1인가구,1975.0
327,서원동,2010,1인가구,4933.0
328,신원동,2010,1인가구,2723.0
329,서림동,2010,1인가구,7625.0
330,신사동,2010,1인가구,4094.0
331,신림동,2010,1인가구,6859.0
332,난향동,2010,1인가구,989.0
333,조원동,2010,1인가구,2564.0
334,대학동,2010,1인가구,11422.0
335,은천동,2010,1인가구,2932.0
336,성현동,2010,1인가구,1760.0
337,청룡동,2010,1인가구,7916.0
338,난곡동,2010,1인가구,2516.0
339,삼성동,2010,1인가구,2185.0
340,미성동,2010,1인가구,2548.0
341,서초1동,2010,1인가구,2374.0
342,서초2동,2010,1인가구,2053.0
343,서초3동,2010,1인가구,2349.0
344,서초4동,2010,1인가구,1142.0
345,잠원동,2010,1인가구,2985.0
346,반포본동,2010,1인가구,313.0
347,반포1동,2010,1인가구,3975.0
348,반포2동,2010,1인가구,488.0
349,반포3동,2010,1인가구,899.0
350,반포4동,2010,1인가구,860.0
351,방배본동,2010,1인가구,970.0
352,방배1동,2010,1인가구,1059.0
353,방배2동,2010,1인가구,1621.0
354,방배3동,2010,1인가구,1178.0
355,방배4동,2010,1인가구,1683.0
356,양재1동,2010,1인가구,2310.0
357,양재2동,2010,1인가구,2611.0
358,내곡동,2010,1인가구,318.0
359,신사동,2010,1인가구,2271.0
360,논현1동,2010,1인가구,7271.0
361,논현2동,2010,1인가구,4526.0
362,삼성1동,2010,1인가구,1239.0
363,삼성2동,2010,1인가구,3801.0
364,대치1동,2010,1인가구,277.0
365,대치4동,2010,1인가구,4436.0
366,역삼1동,2010,1인가구,11361.0
367,역삼2동,2010,1인가구,4061.0
368,도곡1동,2010,1인가구,1472.0
369,도곡2동,2010,1인가구,1200.0
370,개포1동,2010,1인가구,1566.0
371,개포4동,2010,1인가구,2171.0
372,일원본동,2010,1인가구,744.0
373,일원1동,2010,1인가구,1675.0
374,일원2동,2010,1인가구,1334.0
375,수서동,2010,1인가구,1996.0
376,세곡동,2010,1인가구,259.0
377,압구정동,2010,1인가구,1564.0
378,청담동,2010,1인가구,2467.0
379,대치2동,2010,1인가구,1456.0
380,개포2동,2010,1인가구,2381.0
381,풍납1동,2010,1인가구,1704.0
382,풍납2동,2010,1인가구,1860.0
383,거여1동,2010,1인가구,823.0
384,거여2동,2010,1인가구,1991.0
385,마천1동,2010,1인가구,1554.0
386,마천2동,2010,1인가구,1596.0
387,방이1동,2010,1인가구,655.0
388,방이2동,2010,1인가구,2952.0
389,오륜동,2010,1인가구,238.0
390,오금동,2010,1인가구,1672.0
391,송파1동,2010,1인가구,2448.0
392,송파2동,2010,1인가구,579.0
393,석촌동,2010,1인가구,4027.0
394,삼전동,2010,1인가구,4418.0
395,가락본동,2010,1인가구,1652.0
396,가락1동,2010,1인가구,1365.0
397,가락2동,2010,1인가구,1192.0
398,문정1동,2010,1인가구,1042.0
399,문정2동,2010,1인가구,347.0
400,장지동,2010,1인가구,1876.0
401,잠실본동,2010,1인가구,4120.0
402,잠실4동,2010,1인가구,1010.0
403,잠실6동,2010,1인가구,426.0
404,잠실7동,2010,1인가구,233.0
405,잠실2동,2010,1인가구,1403.0
406,잠실3동,2010,1인가구,1039.0
407,강일동,2010,1인가구,609.0
408,상일동,2010,1인가구,1048.0
409,명일1동,2010,1인가구,1062.0
410,명일2동,2010,1인가구,403.0
411,고덕1동,2010,1인가구,1177.0
412,고덕2동,2010,1인가구,1355.0
413,암사2동,2010,1인가구,791.0
414,암사3동,2010,1인가구,455.0
415,천호1동,2010,1인가구,2540.0
416,천호3동,2010,1인가구,3748.0
417,성내1동,2010,1인가구,959.0
418,성내2동,2010,1인가구,3238.0
419,성내3동,2010,1인가구,1708.0
420,둔촌1동,2010,1인가구,475.0
421,둔촌2동,2010,1인가구,1325.0
422,암사1동,2010,1인가구,3395.0
423,천호2동,2010,1인가구,4265.0
424,길동,2010,1인가구,3166.0
425,합계,2015,1인가구,1115744.0
426,사직동,2015,1인가구,1125.0
427,삼청동,2015,1인가구,363.0
428,부암동,2015,1인가구,995.0
429,평창동,2015,1인가구,1252.0
430,무악동,2015,1인가구,508.0
431,교남동,2015,1인가구,653.0
432,가회동,2015,1인가구,590.0
433,종로1.2.3.4가동,2015,1인가구,2299.0
434,종로5·6가동,2015,1인가구,1100.0
435,이화동,2015,1인가구,1880.0
436,창신1동,2015,1인가구,1029.0
437,창신2동,2015,1인가구,1211.0
438,창신3동,2015,1인가구,508.0
439,숭인1동,2015,1인가구,931.0
440,숭인2동,2015,1인가구,2206.0
441,청운효자동,2015,1인가구,1232.0
442,혜화동,2015,1인가구,4894.0
443,소공동,2015,1인가구,263.0
444,회현동,2015,1인가구,1174.0
445,명동,2015,1인가구,657.0
446,필동,2015,1인가구,1199.0
447,장충동,2015,1인가구,1403.0
448,광희동,2015,1인가구,1133.0
449,을지로동,2015,1인가구,589.0
450,신당5동,2015,1인가구,1492.0
451,황학동,2015,1인가구,2128.0
452,중림동,2015,1인가구,1322.0
453,신당동,2015,1인가구,1613.0
454,다산동,2015,1인가구,2000.0
455,약수동,2015,1인가구,1887.0
456,청구동,2015,1인가구,1613.0
457,동화동,2015,1인가구,688.0
458,후암동,2015,1인가구,2411.0
459,용산2가동,2015,1인가구,1711.0
460,남영동,2015,1인가구,2403.0
