Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,컬럼1,컬럼2,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,컬럼1,컬럼2,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2008.4/4,합계,합계,"4,097,562","10,456,034","5,184,732","5,271,302","10,200,827","5,061,809","5,139,018","255,207","122,923","132,284",2.49,"898,700"
2008.4/4,종로구,소계,"74,660","179,754","89,725","90,029","170,705","85,398","85,307","9,049","4,327","4,722",2.29,"20,162"
2008.4/4,종로구,사직동,"4,400","10,451","4,941","5,510","9,943","4,683","5,260",508,258,250,2.26,"1,368"
2008.4/4,종로구,삼청동,"1,684","3,801","1,850","1,951","3,671","1,777","1,894",130,73,57,2.18,589
2008.4/4,종로구,부암동,"4,607","11,933","5,904","6,029","11,588","5,747","5,841",345,157,188,2.52,"1,433"
2008.4/4,종로구,평창동,"7,068","19,757","9,620","10,137","19,353","9,424","9,929",404,196,208,2.74,"2,291"
2008.4/4,종로구,무악동,"3,161","8,693","4,224","4,469","8,607","4,189","4,418",86,35,51,2.72,884
2008.4/4,종로구,교남동,"4,394","9,407","4,595","4,812","9,163","4,484","4,679",244,111,133,2.09,"1,106"
2008.4/4,종로구,가회동,"2,510","6,044","2,910","3,134","5,850","2,825","3,025",194,85,109,2.33,800
2008.4/4,종로구,종로1.2.3.4가동,"4,437","8,645","4,852","3,793","7,242","4,105","3,137","1,403",747,656,1.63,"1,247"
2008.4/4,종로구,종로5·6가동,"3,014","6,839","3,613","3,226","6,481","3,458","3,023",358,155,203,2.15,841
2008.4/4,종로구,이화동,"4,539","10,495","5,074","5,421","9,585","4,638","4,947",910,436,474,2.11,939
2008.4/4,종로구,혜화동,"5,609","13,087","6,383","6,704","12,343","6,051","6,292",744,332,412,2.2,"1,269"
2008.4/4,종로구,명륜3가동,"3,748","7,434","4,013","3,421","6,741","3,700","3,041",693,313,380,1.8,787
2008.4/4,종로구,창신1동,"3,501","8,570","4,371","4,199","7,060","3,640","3,420","1,510",731,779,2.02,844
2008.4/4,종로구,창신2동,"5,111","12,344","6,257","6,087","11,926","6,069","5,857",418,188,230,2.33,"1,255"
2008.4/4,종로구,창신3동,"3,160","8,739","4,409","4,330","8,654","4,370","4,284",85,39,46,2.74,804
2008.4/4,종로구,숭인1동,"3,098","7,965","3,941","4,024","7,352","3,650","3,702",613,291,322,2.37,745
2008.4/4,종로구,숭인2동,"4,247","8,880","4,592","4,288","8,732","4,526","4,206",148,66,82,2.06,"1,076"
2008.4/4,종로구,청운효자동,"6,372","16,670","8,176","8,494","16,414","8,062","8,352",256,114,142,2.58,"1,884"
2008.4/4,중구,소계,"58,174","138,811","69,284","69,527","130,362","65,110","65,252","8,449","4,174","4,275",2.24,"15,427"
2008.4/4,중구,소공동,556,"1,730",930,800,"1,067",537,530,663,393,270,1.92,135
2008.4/4,중구,회현동,"2,647","5,271","2,916","2,355","4,496","2,474","2,022",775,442,333,1.7,768
2008.4/4,중구,명동,"1,324","3,427","1,602","1,825","2,801","1,221","1,580",626,381,245,2.12,469
2008.4/4,중구,필동,"2,292","5,084","2,664","2,420","4,636","2,435","2,201",448,229,219,2.02,616
2008.4/4,중구,장충동,"2,929","6,281","3,113","3,168","5,793","2,917","2,876",488,196,292,1.98,666
2008.4/4,중구,광희동,"2,716","6,023","3,198","2,825","5,019","2,719","2,300","1,004",479,525,1.85,720
2008.4/4,중구,을지로동,"1,199","1,963","1,161",802,"1,824","1,101",723,139,60,79,1.52,326
2008.4/4,중구,신당1동,"4,023","10,376","5,209","5,167","8,372","4,296","4,076","2,004",913,"1,091",2.08,963
2008.4/4,중구,신당2동,"7,237","17,277","8,505","8,772","16,992","8,369","8,623",285,136,149,2.35,"1,761"
2008.4/4,중구,신당3동,"8,147","20,277","9,809","10,468","20,043","9,698","10,345",234,111,123,2.46,"2,301"
2008.4/4,중구,신당4동,"6,489","16,607","8,014","8,593","16,426","7,936","8,490",181,78,103,2.53,"1,792"
2008.4/4,중구,신당5동,"3,822","8,725","4,375","4,350","8,456","4,254","4,202",269,121,148,2.21,"1,025"
2008.4/4,중구,신당6동,"3,917","10,305","5,071","5,234","10,151","4,999","5,152",154,72,82,2.59,"1,052"
2008.4/4,중구,황학동,"5,287","12,270","6,193","6,077","11,454","5,801","5,653",816,392,424,2.17,"1,240"
2008.4/4,중구,중림동,"5,589","13,195","6,524","6,671","12,832","6,353","6,479",363,171,192,2.3,"1,593"
