기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.1/4,합계,합계,"4,194,485","10,282,821","5,053,675","5,229,146","10,009,588","4,922,103","5,087,485","273,233","131,572","141,661",2.39,"1,280,268"
2016.1/4,종로구,소계,"73,146","163,993","80,548","83,445","155,142","76,593","78,549","8,851","3,955","4,896",2.12,"24,999"
2016.1/4,종로구,사직동,"4,383","10,060","4,668","5,392","9,724","4,489","5,235",336,179,157,2.22,"1,689"
2016.1/4,종로구,삼청동,"1,414","3,165","1,501","1,664","2,964","1,397","1,567",201,104,97,2.1,634
2016.1/4,종로구,부암동,"4,403","11,112","5,394","5,718","10,684","5,206","5,478",428,188,240,2.43,"1,717"
2016.1/4,종로구,평창동,"7,597","19,691","9,384","10,307","19,495","9,291","10,204",196,93,103,2.57,"2,947"
2016.1/4,종로구,무악동,"3,078","8,530","4,026","4,504","8,453","3,999","4,454",77,27,50,2.75,"1,197"
2016.1/4,종로구,교남동,"2,313","4,839","2,317","2,522","4,765","2,285","2,480",74,32,42,2.06,886
2016.1/4,종로구,가회동,"2,187","4,934","2,293","2,641","4,800","2,225","2,575",134,68,66,2.19,882
2016.1/4,종로구,종로1.2.3.4가동,"5,511","8,790","5,101","3,689","7,910","4,608","3,302",880,493,387,1.44,"1,810"
2016.1/4,종로구,종로5·6가동,"3,312","6,059","3,337","2,722","5,742","3,194","2,548",317,143,174,1.73,"1,083"
2016.1/4,종로구,이화동,"4,530","9,222","4,350","4,872","8,710","4,095","4,615",512,255,257,1.92,"1,226"
2016.1/4,종로구,창신1동,"3,237","6,833","3,645","3,188","5,968","3,203","2,765",865,442,423,1.84,"1,096"
2016.1/4,종로구,창신2동,"4,458","10,955","5,539","5,416","9,767","4,979","4,788","1,188",560,628,2.19,"1,566"
2016.1/4,종로구,창신3동,"2,934","7,851","3,932","3,919","7,691","3,851","3,840",160,81,79,2.62,"1,054"
