기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014.3/4,합계,합계,"4,195,210","10,386,339","5,119,324","5,267,015","10,122,661","4,991,568","5,131,093","263,678","127,756","135,922",2.41,"1,210,141"
2014.3/4,종로구,소계,"73,581","166,200","81,935","84,265","158,067","78,253","79,814","8,133","3,682","4,451",2.15,"24,433"
2014.3/4,종로구,사직동,"4,451","10,146","4,782","5,364","9,805","4,597","5,208",341,185,156,2.2,"1,673"
2014.3/4,종로구,삼청동,"1,469","3,213","1,558","1,655","3,088","1,481","1,607",125,77,48,2.1,648
2014.3/4,종로구,부암동,"4,525","11,404","5,555","5,849","10,967","5,368","5,599",437,187,250,2.42,"1,708"
2014.3/4,종로구,평창동,"7,429","19,639","9,344","10,295","19,436","9,246","10,190",203,98,105,2.62,"2,871"
2014.3/4,종로구,무악동,"3,192","8,512","4,018","4,494","8,448","3,994","4,454",64,24,40,2.65,"1,224"
2014.3/4,종로구,교남동,"2,445","5,060","2,450","2,610","4,976","2,412","2,564",84,38,46,2.04,834
2014.3/4,종로구,가회동,"2,293","5,196","2,436","2,760","5,055","2,368","2,687",141,68,73,2.2,879
2014.3/4,종로구,종로1.2.3.4가동,"5,484","9,003","5,137","3,866","8,021","4,584","3,437",982,553,429,1.46,"1,731"
2014.3/4,종로구,종로5·6가동,"3,153","6,158","3,349","2,809","5,837","3,201","2,636",321,148,173,1.85,"1,059"
2014.3/4,종로구,이화동,"4,534","9,387","4,426","4,961","8,925","4,229","4,696",462,197,265,1.97,"1,188"
2014.3/4,종로구,창신1동,"3,321","7,106","3,752","3,354","6,225","3,323","2,902",881,429,452,1.87,"1,066"
2014.3/4,종로구,창신2동,"4,617","11,442","5,757","5,685","10,334","5,236","5,098","1,108",521,587,2.24,"1,507"
2014.3/4,종로구,창신3동,"3,004","8,095","4,063","4,032","7,951","3,995","3,956",144,68,76,2.65,"1,020"
2014.3/4,종로구,숭인1동,"3,186","7,391","3,712","3,679","7,036","3,536","3,500",355,176,179,2.21,975
2014.3/4,종로구,숭인2동,"5,409","10,158","5,198","4,960","9,719","5,012","4,707",439,186,253,1.8,"1,476"
2014.3/4,종로구,청운효자동,"5,839","14,502","6,907","7,595","14,387","6,857","7,530",115,50,65,2.46,"2,099"
2014.3/4,종로구,혜화동,"9,230","19,788","9,491","10,297","17,857","8,814","9,043","1,931",677,"1,254",1.93,"2,475"
2014.3/4,중구,소계,"60,149","136,773","68,276","68,497","128,930","64,465","64,465","7,843","3,811","4,032",2.14,"19,828"
2014.3/4,중구,소공동,658,"1,779",987,792,"1,289",687,602,490,300,190,1.96,176
2014.3/4,중구,회현동,"3,559","6,526","3,513","3,013","5,852","3,160","2,692",674,353,321,1.64,"1,277"
2014.3/4,중구,명동,"1,518","3,653","1,657","1,996","3,148","1,367","1,781",505,290,215,2.07,639
2014.3/4,중구,필동,"2,422","5,026","2,602","2,424","4,446","2,341","2,105",580,261,319,1.84,754
2014.3/4,중구,장충동,"2,904","6,121","3,071","3,050","5,368","2,765","2,603",753,306,447,1.85,777
2014.3/4,중구,광희동,"2,890","5,992","3,157","2,835","5,213","2,787","2,426",779,370,409,1.8,991
2014.3/4,중구,을지로동,"1,280","1,964","1,204",760,"1,844","1,147",697,120,57,63,1.44,427
2014.3/4,중구,신당5동,"4,677","10,681","5,360","5,321","10,336","5,212","5,124",345,148,197,2.21,"1,453"
2014.3/4,중구,황학동,"6,054","13,354","6,707","6,647","12,469","6,271","6,198",885,436,449,2.06,"1,658"
2014.3/4,중구,중림동,"4,537","9,678","4,930","4,748","9,403","4,789","4,614",275,141,134,2.07,"1,560"
2014.3/4,중구,신당동,"3,880","8,810","4,506","4,304","7,420","3,827","3,593","1,390",679,711,1.91,"1,193"
2014.3/4,중구,다산동,"7,033","16,315","7,958","8,357","15,885","7,775","8,110",430,183,247,2.26,"2,221"
2014.3/4,중구,약수동,"7,922","19,225","9,266","9,959","18,973","9,138","9,835",252,128,124,2.39,"2,977"
2014.3/4,중구,청구동,"6,480","15,659","7,538","8,121","15,462","7,453","8,009",197,85,112,2.39,"2,228"
2014.3/4,중구,동화동,"4,335","11,990","5,820","6,170","11,822","5,746","6,076",168,74,94,2.73,"1,497"
2014.3/4,용산구,소계,"108,694","249,930","122,069","127,861","237,302","115,240","122,062","12,628","6,829","5,799",2.18,"34,631"
2014.3/4,용산구,후암동,"8,737","19,742","9,777","9,965","19,272","9,550","9,722",470,227,243,2.21,"2,726"
2014.3/4,용산구,용산2가동,"5,841","13,366","6,631","6,735","12,206","5,943","6,263","1,160",688,472,2.09,"1,927"
2014.3/4,용산구,남영동,"5,305","8,462","5,114","3,348","8,002","4,896","3,106",460,218,242,1.51,"1,379"
2014.3/4,용산구,원효로2동,"5,993","15,708","7,393","8,315","15,557","7,335","8,222",151,58,93,2.6,"2,061"
2014.3/4,용산구,효창동,"4,440","11,334","5,498","5,836","11,179","5,436","5,743",155,62,93,2.52,"1,509"
2014.3/4,용산구,용문동,"5,160","13,020","6,307","6,713","12,877","6,240","6,637",143,67,76,2.5,"1,745"
2014.3/4,용산구,이촌1동,"9,674","27,993","13,129","14,864","26,767","12,448","14,319","1,226",681,545,2.77,"3,618"
2014.3/4,용산구,이촌2동,"4,151","9,800","4,699","5,101","9,724","4,666","5,058",76,33,43,2.34,"1,579"
2014.3/4,용산구,이태원1동,"4,253","9,496","4,696","4,800","8,005","3,753","4,252","1,491",943,548,1.88,"1,475"
2014.3/4,용산구,이태원2동,"5,240","11,525","5,451","6,074","10,519","4,853","5,666","1,006",598,408,2.01,"1,834"
2014.3/4,용산구,서빙고동,"5,349","14,191","6,838","7,353","13,768","6,630","7,138",423,208,215,2.57,"1,945"
2014.3/4,용산구,보광동,"8,380","17,762","8,715","9,047","16,805","8,194","8,611",957,521,436,2.01,"2,491"
2014.3/4,용산구,청파동,"11,086","23,105","10,986","12,119","22,135","10,661","11,474",970,325,645,2,"2,954"
2014.3/4,용산구,원효로1동,"5,962","13,547","6,657","6,890","13,199","6,481","6,718",348,176,172,2.21,"1,545"
2014.3/4,용산구,한강로동,"7,647","16,200","8,170","8,030","15,004","7,499","7,505","1,196",671,525,1.96,"2,617"
2014.3/4,용산구,한남동,"11,476","24,679","12,008","12,671","22,283","10,655","11,628","2,396","1,353","1,043",1.94,"3,226"
2014.3/4,성동구,소계,"126,348","305,752","152,137","153,615","297,952","148,356","149,596","7,800","3,781","4,019",2.36,"36,447"
2014.3/4,성동구,왕십리2동,"6,838","16,899","8,330","8,569","16,573","8,186","8,387",326,144,182,2.42,"2,023"
2014.3/4,성동구,마장동,"10,340","25,289","12,519","12,770","24,639","12,230","12,409",650,289,361,2.38,"3,041"
2014.3/4,성동구,사근동,"6,027","11,900","6,219","5,681","10,504","5,550","4,954","1,396",669,727,1.74,"1,322"
2014.3/4,성동구,행당1동,"7,100","16,799","8,229","8,570","16,328","8,019","8,309",471,210,261,2.3,"2,178"
2014.3/4,성동구,행당2동,"9,503","26,487","12,618","13,869","26,396","12,583","13,813",91,35,56,2.78,"2,967"
2014.3/4,성동구,응봉동,"6,338","17,164","8,190","8,974","17,105","8,172","8,933",59,18,41,2.7,"2,183"
2014.3/4,성동구,금호1가동,"5,562","14,240","6,922","7,318","14,141","6,880","7,261",99,42,57,2.54,"1,905"
2014.3/4,성동구,금호4가동,"6,200","15,141","7,352","7,789","14,956","7,268","7,688",185,84,101,2.41,"1,792"
2014.3/4,성동구,성수1가1동,"7,202","18,005","9,158","8,847","17,586","8,928","8,658",419,230,189,2.44,"1,798"
2014.3/4,성동구,성수1가2동,"7,998","18,325","9,298","9,027","17,909","9,081","8,828",416,217,199,2.24,"1,921"
2014.3/4,성동구,성수2가1동,"8,926","20,697","10,778","9,919","19,850","10,363","9,487",847,415,432,2.22,"2,312"
2014.3/4,성동구,성수2가3동,"5,462","12,482","6,506","5,976","12,040","6,244","5,796",442,262,180,2.2,"1,483"
