기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2011.4/4,영등포구,신길6동,"9,842","25,572","12,762","12,810","23,841","11,883","11,958","1,731",879,852,2.42,"2,586"
2011.4/4,영등포구,신길7동,"6,203","16,725","8,389","8,336","16,100","8,069","8,031",625,320,305,2.6,"1,479"
2011.4/4,영등포구,대림1동,"7,425","21,780","11,078","10,702","17,073","8,557","8,516","4,707","2,521","2,186",2.3,"2,020"
2011.4/4,영등포구,대림2동,"8,226","26,166","13,220","12,946","18,039","9,005","9,034","8,127","4,215","3,912",2.19,"2,359"
2011.4/4,영등포구,대림3동,"11,848","32,603","16,543","16,060","28,951","14,682","14,269","3,652","1,861","1,791",2.44,"2,765"
2011.4/4,영등포구,영등포본동,"11,104","28,599","14,625","13,974","25,513","12,993","12,520","3,086","1,632","1,454",2.3,"2,648"
2011.4/4,영등포구,영등포동,"10,508","21,058","11,890","9,168","19,054","10,886","8,168","2,004","1,004","1,000",1.81,"2,502"
2011.4/4,영등포구,도림동,"8,861","22,570","11,526","11,044","18,786","9,569","9,217","3,784","1,957","1,827",2.12,"2,190"
2011.4/4,영등포구,문래동,"12,331","32,844","16,424","16,420","32,494","16,233","16,261",350,191,159,2.64,"3,133"
2011.4/4,동작구,소계,"167,099","413,658","203,341","210,317","401,408","197,672","203,736","12,250","5,669","6,581",2.4,"44,287"
2011.4/4,동작구,노량진2동,"7,824","17,196","8,544","8,652","16,235","8,091","8,144",961,453,508,2.08,"2,030"
2011.4/4,동작구,상도1동,"17,182","40,706","20,043","20,663","39,070","19,233","19,837","1,636",810,826,2.27,"4,340"
2011.4/4,동작구,상도2동,"11,031","26,397","12,900","13,497","26,100","12,766","13,334",297,134,163,2.37,"2,854"
2011.4/4,동작구,상도3동,"10,073","25,143","12,385","12,758","24,877","12,275","12,602",266,110,156,2.47,"2,945"
2011.4/4,동작구,상도4동,"11,909","30,193","15,020","15,173","29,913","14,903","15,010",280,117,163,2.51,"3,366"
2011.4/4,동작구,사당1동,"10,882","24,559","11,806","12,753","23,250","11,198","12,052","1,309",608,701,2.14,"2,329"
2011.4/4,동작구,사당3동,"10,265","25,923","12,762","13,161","25,677","12,656","13,021",246,106,140,2.5,"2,781"
2011.4/4,동작구,사당4동,"6,325","15,400","7,532","7,868","15,213","7,450","7,763",187,82,105,2.41,"1,702"
2011.4/4,동작구,사당5동,"6,438","15,879","7,876","8,003","15,750","7,807","7,943",129,69,60,2.45,"1,546"
2011.4/4,동작구,대방동,"15,536","40,862","19,879","20,983","40,446","19,686","20,760",416,193,223,2.6,"3,819"
2011.4/4,동작구,신대방1동,"10,168","29,920","14,699","15,221","26,431","12,956","13,475","3,489","1,743","1,746",2.6,"2,583"
2011.4/4,동작구,신대방2동,"8,220","21,330","10,450","10,880","21,077","10,338","10,739",253,112,141,2.56,"2,141"
2011.4/4,동작구,흑석동,"14,860","34,953","17,086","17,867","33,574","16,577","16,997","1,379",509,870,2.26,"4,464"
2011.4/4,동작구,노량진1동,"14,219","34,935","17,518","17,417","34,084","17,122","16,962",851,396,455,2.4,"4,061"
2011.4/4,동작구,사당2동,"12,167","30,262","14,841","15,421","29,711","14,614","15,097",551,227,324,2.44,"3,326"
