기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.4/4,합계,합계,"4,220,082","10,124,579","4,957,857","5,166,722","9,857,426","4,830,206","5,027,220","267,153","127,651","139,502",2.34,"1,365,126"
2017.4/4,종로구,소계,"73,594","164,257","80,094","84,163","154,770","75,967","78,803","9,487","4,127","5,360",2.1,"26,182"
2017.4/4,종로구,사직동,"4,414","9,717","4,467","5,250","9,441","4,318","5,123",276,149,127,2.14,"1,708"
2017.4/4,종로구,삼청동,"1,414","3,097","1,459","1,638","2,907","1,360","1,547",190,99,91,2.06,634
2017.4/4,종로구,부암동,"4,325","10,726","5,160","5,566","10,317","4,984","5,333",409,176,233,2.39,"1,748"
2017.4/4,종로구,평창동,"7,510","19,163","9,032","10,131","18,995","8,951","10,044",168,81,87,2.53,"3,037"
2017.4/4,종로구,무악동,"3,024","8,375","3,921","4,454","8,320","3,897","4,423",55,24,31,2.75,"1,279"
2017.4/4,종로구,교남동,"4,379","10,363","4,850","5,513","10,225","4,780","5,445",138,70,68,2.34,"1,406"
2017.4/4,종로구,가회동,"2,085","4,657","2,194","2,463","4,531","2,127","2,404",126,67,59,2.17,900
2017.4/4,종로구,종로1.2.3.4가동,"5,378","8,592","5,045","3,547","7,590","4,502","3,088","1,002",543,459,1.41,"1,865"
2017.4/4,종로구,종로5·6가동,"3,174","5,690","3,096","2,594","5,357","2,943","2,414",333,153,180,1.69,"1,089"
2017.4/4,종로구,이화동,"4,462","8,752","4,075","4,677","8,249","3,878","4,371",503,197,306,1.85,"1,302"
2017.4/4,종로구,창신1동,"3,050","6,285","3,390","2,895","5,520","2,989","2,531",765,401,364,1.81,"1,126"
2017.4/4,종로구,창신2동,"4,280","10,274","5,159","5,115","9,181","4,671","4,510","1,093",488,605,2.15,"1,635"
2017.4/4,종로구,창신3동,"2,860","7,526","3,721","3,805","7,350","3,633","3,717",176,88,88,2.57,"1,096"
