기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2010.3/4,합계,합계,"4,114,216","10,437,326","5,165,474","5,271,852","10,186,556","5,046,415","5,140,141","250,770","119,059","131,711",2.48,"974,256"
2010.3/4,종로구,소계,"73,803","175,049","87,065","87,984","166,451","83,093","83,358","8,598","3,972","4,626",2.26,"21,108"
2010.3/4,종로구,사직동,"4,460","10,380","4,931","5,449","9,926","4,668","5,258",454,263,191,2.23,"1,423"
2010.3/4,종로구,삼청동,"1,541","3,586","1,749","1,837","3,389","1,628","1,761",197,121,76,2.2,572
2010.3/4,종로구,부암동,"4,430","11,394","5,629","5,765","11,134","5,514","5,620",260,115,145,2.51,"1,458"
2010.3/4,종로구,평창동,"7,141","19,700","9,485","10,215","19,344","9,322","10,022",356,163,193,2.71,"2,435"
2010.3/4,종로구,무악동,"3,126","8,549","4,094","4,455","8,455","4,059","4,396",94,35,59,2.7,973
2010.3/4,종로구,교남동,"4,226","9,036","4,448","4,588","8,858","4,365","4,493",178,83,95,2.1,"1,177"
2010.3/4,종로구,가회동,"2,404","5,763","2,770","2,993","5,617","2,708","2,909",146,62,84,2.34,816
2010.3/4,종로구,종로1.2.3.4가동,"4,693","8,517","4,917","3,600","7,368","4,326","3,042","1,149",591,558,1.57,"1,287"
2010.3/4,종로구,종로5·6가동,"3,025","6,508","3,436","3,072","6,188","3,309","2,879",320,127,193,2.05,878
2010.3/4,종로구,이화동,"4,335","9,779","4,720","5,059","9,138","4,415","4,723",641,305,336,2.11,"1,009"
2010.3/4,종로구,혜화동,"5,580","12,780","6,143","6,637","11,930","5,792","6,138",850,351,499,2.14,"1,341"
2010.3/4,종로구,명륜3가동,"3,495","7,156","3,744","3,412","6,283","3,367","2,916",873,377,496,1.8,836
2010.3/4,종로구,창신1동,"3,465","8,333","4,227","4,106","6,825","3,539","3,286","1,508",688,820,1.97,865
2010.3/4,종로구,창신2동,"5,020","12,084","6,082","6,002","11,596","5,868","5,728",488,214,274,2.31,"1,302"
