기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.3/4,강서구,공항동,"10,406","22,940","11,862","11,078","21,898","11,107","10,791","1,042",755,287,2.1,"2,938"
2016.3/4,강서구,방화1동,"16,710","45,798","22,509","23,289","45,474","22,359","23,115",324,150,174,2.72,"5,061"
2016.3/4,강서구,방화2동,"11,307","25,109","12,405","12,704","24,849","12,278","12,571",260,127,133,2.2,"3,917"
2016.3/4,강서구,방화3동,"11,200","25,903","12,489","13,414","25,739","12,409","13,330",164,80,84,2.3,"3,932"
2016.3/4,강서구,화곡1동,"24,237","54,111","26,714","27,397","52,963","26,212","26,751","1,148",502,646,2.19,"6,505"
2016.3/4,강서구,우장산동,"16,278","46,774","22,491","24,283","46,540","22,391","24,149",234,100,134,2.86,"4,442"
2016.3/4,구로구,소계,"172,473","451,754","226,492","225,262","419,778","208,911","210,867","31,976","17,581","14,395",2.43,"55,265"
2016.3/4,구로구,신도림동,"13,264","38,284","18,779","19,505","37,936","18,585","19,351",348,194,154,2.86,"3,655"
2016.3/4,구로구,구로1동,"7,797","22,772","11,295","11,477","22,313","11,067","11,246",459,228,231,2.86,"1,842"
2016.3/4,구로구,구로3동,"13,827","28,196","14,292","13,904","26,488","13,390","13,098","1,708",902,806,1.92,"2,839"
2016.3/4,구로구,구로4동,"11,266","28,899","14,594","14,305","23,663","11,755","11,908","5,236","2,839","2,397",2.1,"3,820"
2016.3/4,구로구,구로5동,"14,283","35,314","17,518","17,796","31,544","15,478","16,066","3,770","2,040","1,730",2.21,"3,812"
2016.3/4,구로구,고척1동,"9,627","25,488","12,783","12,705","25,123","12,602","12,521",365,181,184,2.61,"3,368"
2016.3/4,구로구,고척2동,"11,610","30,324","15,173","15,151","29,788","14,904","14,884",536,269,267,2.57,"3,917"
2016.3/4,구로구,개봉2동,"12,838","34,753","17,098","17,655","34,365","16,925","17,440",388,173,215,2.68,"4,817"
2016.3/4,구로구,개봉3동,"8,503","22,379","11,069","11,310","22,030","10,906","11,124",349,163,186,2.59,"2,950"
2016.3/4,구로구,오류1동,"9,564","21,978","10,823","11,155","21,342","10,520","10,822",636,303,333,2.23,"3,044"
2016.3/4,구로구,오류2동,"16,550","46,134","22,630","23,504","45,419","22,277","23,142",715,353,362,2.74,"5,813"
2016.3/4,구로구,수궁동,"9,701","25,953","12,942","13,011","25,643","12,782","12,861",310,160,150,2.64,"3,311"
2016.3/4,구로구,가리봉동,"6,203","17,931","10,133","7,798","10,903","5,947","4,956","7,028","4,186","2,842",1.76,"2,013"
2016.3/4,구로구,구로2동,"13,372","37,399","19,377","18,022","28,286","14,304","13,982","9,113","5,073","4,040",2.12,"5,063"
