,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
76,2010,광진구,중곡2동,7716.0,1725.0,1827.0,1821.0,1759.0,443.0,141.0
77,2010,광진구,중곡3동,6857.0,1835.0,1610.0,1456.0,1473.0,376.0,107.0
78,2010,광진구,중곡4동,10333.0,1991.0,2295.0,2559.0,2601.0,666.0,221.0
79,2010,광진구,능동,4686.0,1848.0,1133.0,818.0,658.0,157.0,72.0
80,2010,광진구,구의1동,9227.0,3200.0,2287.0,1759.0,1479.0,386.0,116.0
81,2010,광진구,구의2동,8708.0,1796.0,2017.0,2062.0,2040.0,586.0,207.0
82,2010,광진구,구의3동,9926.0,1789.0,2218.0,2512.0,2641.0,600.0,166.0
83,2010,광진구,광장동,10033.0,937.0,1656.0,2563.0,3800.0,880.0,197.0
84,2010,광진구,자양1동,9103.0,2701.0,2292.0,1855.0,1683.0,413.0,159.0
85,2010,광진구,자양2동,9533.0,1906.0,2064.0,2311.0,2413.0,635.0,204.0
86,2010,광진구,자양3동,9879.0,1463.0,1925.0,2512.0,3031.0,755.0,193.0
87,2010,광진구,자양4동,10318.0,3337.0,2604.0,1987.0,1822.0,428.0,140.0
89,2010,동대문구,회기동,5040.0,2532.0,989.0,687.0,607.0,167.0,58.0
90,2010,동대문구,휘경1동,7088.0,2809.0,1569.0,1205.0,1117.0,281.0,107.0
91,2010,동대문구,휘경2동,8905.0,2458.0,1919.0,1799.0,2006.0,533.0,190.0
92,2010,동대문구,청량리동,8439.0,2076.0,2182.0,1909.0,1587.0,488.0,197.0
93,2010,동대문구,용신동,11494.0,4126.0,2599.0,2116.0,1947.0,531.0,175.0
94,2010,동대문구,제기동,10546.0,3749.0,2394.0,1941.0,1755.0,538.0,169.0
95,2010,동대문구,전농1동,9377.0,2813.0,2117.0,1951.0,1781.0,549.0,166.0
96,2010,동대문구,전농2동,5925.0,798.0,1376.0,1495.0,1635.0,435.0,186.0
97,2010,동대문구,답십리1동,7026.0,1854.0,1690.0,1472.0,1422.0,428.0,160.0
98,2010,동대문구,답십리2동,10299.0,1709.0,2259.0,2600.0,2719.0,724.0,288.0
99,2010,동대문구,장안1동,11874.0,2453.0,2510.0,2860.0,2917.0,843.0,291.0
100,2010,동대문구,장안2동,10124.0,1749.0,1999.0,2591.0,2814.0,737.0,234.0
101,2010,동대문구,이문1동,14094.0,6252.0,2919.0,2188.0,1986.0,564.0,185.0
102,2010,동대문구,이문2동,7811.0,1519.0,1656.0,1889.0,1985.0,590.0,172.0
104,2010,중랑구,면목2동,10089.0,2572.0,2368.0,2259.0,2129.0,585.0,176.0
105,2010,중랑구,면목4동,8169.0,1986.0,1912.0,1934.0,1724.0,466.0,147.0
106,2010,중랑구,면목5동,5033.0,1267.0,1173.0,1189.0,1030.0,284.0,90.0
107,2010,중랑구,면목7동,8921.0,2088.0,1970.0,2144.0,2038.0,526.0,155.0
108,2010,중랑구,상봉1동,8036.0,1186.0,1659.0,1961.0,2461.0,566.0,203.0
109,2010,중랑구,상봉2동,7143.0,2380.0,1769.0,1460.0,1122.0,322.0,90.0
110,2010,중랑구,중화1동,7117.0,1187.0,1654.0,1817.0,1845.0,460.0,154.0
111,2010,중랑구,중화2동,12131.0,4070.0,2962.0,2354.0,2036.0,553.0,156.0
112,2010,중랑구,묵1동,10876.0,1719.0,2331.0,2841.0,2883.0,867.0,235.0
113,2010,중랑구,묵2동,7100.0,1758.0,1733.0,1566.0,1535.0,405.0,103.0
114,2010,중랑구,망우3동,6775.0,1664.0,1609.0,1552.0,1461.0,366.0,123.0
115,2010,중랑구,신내1동,9430.0,956.0,1721.0,2520.0,3127.0,829.0,277.0
116,2010,중랑구,신내2동,8623.0,1505.0,1977.0,2172.0,2279.0,542.0,148.0
117,2010,중랑구,면목본동,13356.0,3625.0,3284.0,2930.0,2648.0,664.0,205.0
