기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.2/4,합계,합계,"4,193,712","10,260,972","5,040,526","5,220,446","9,989,795","4,910,202","5,079,593","271,177","130,324","140,853",2.38,"1,286,288"
2016.2/4,종로구,소계,"72,820","163,235","80,127","83,108","154,365","76,126","78,239","8,870","4,001","4,869",2.12,"25,009"
2016.2/4,종로구,사직동,"4,343","9,971","4,620","5,351","9,639","4,437","5,202",332,183,149,2.22,"1,692"
2016.2/4,종로구,삼청동,"1,406","3,144","1,487","1,657","2,932","1,379","1,553",212,108,104,2.09,623
2016.2/4,종로구,부암동,"4,390","11,092","5,402","5,690","10,688","5,215","5,473",404,187,217,2.43,"1,721"
2016.2/4,종로구,평창동,"7,571","19,607","9,304","10,303","19,422","9,217","10,205",185,87,98,2.57,"2,964"
2016.2/4,종로구,무악동,"3,057","8,515","4,016","4,499","8,443","3,991","4,452",72,25,47,2.76,"1,194"
2016.2/4,종로구,교남동,"2,317","4,828","2,302","2,526","4,758","2,273","2,485",70,29,41,2.05,885
2016.2/4,종로구,가회동,"2,172","4,866","2,257","2,609","4,736","2,190","2,546",130,67,63,2.18,880
2016.2/4,종로구,종로1.2.3.4가동,"5,454","8,761","5,115","3,646","7,842","4,593","3,249",919,522,397,1.44,"1,809"
2016.2/4,종로구,종로5·6가동,"3,241","5,942","3,246","2,696","5,643","3,116","2,527",299,130,169,1.74,"1,085"
2016.2/4,종로구,이화동,"4,528","9,191","4,342","4,849","8,670","4,076","4,594",521,266,255,1.91,"1,230"
2016.2/4,종로구,창신1동,"3,204","6,740","3,598","3,142","5,885","3,153","2,732",855,445,410,1.84,"1,098"
2016.2/4,종로구,창신2동,"4,431","10,873","5,500","5,373","9,684","4,944","4,740","1,189",556,633,2.19,"1,571"
2016.2/4,종로구,창신3동,"2,915","7,802","3,905","3,897","7,637","3,826","3,811",165,79,86,2.62,"1,051"
