기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014.4/4,영등포구,신길7동,"5,916","15,524","7,852","7,672","15,100","7,628","7,472",424,224,200,2.55,"1,536"
2014.4/4,영등포구,대림1동,"7,052","19,410","9,948","9,462","15,844","8,025","7,819","3,566","1,923","1,643",2.25,"2,451"
2014.4/4,영등포구,대림2동,"7,408","25,507","13,120","12,387","15,610","7,717","7,893","9,897","5,403","4,494",2.11,"2,667"
2014.4/4,영등포구,대림3동,"11,389","31,780","16,167","15,613","27,193","13,740","13,453","4,587","2,427","2,160",2.39,"3,292"
2014.4/4,영등포구,영등포본동,"10,602","27,313","13,840","13,473","24,050","12,139","11,911","3,263","1,701","1,562",2.27,"3,096"
2014.4/4,영등포구,영등포동,"12,284","20,606","11,627","8,979","19,782","11,209","8,573",824,418,406,1.61,"2,658"
2014.4/4,영등포구,도림동,"9,391","23,495","11,975","11,520","20,073","10,159","9,914","3,422","1,816","1,606",2.14,"2,636"
2014.4/4,영등포구,문래동,"12,364","32,224","16,010","16,214","31,960","15,878","16,082",264,132,132,2.58,"3,637"
2014.4/4,영등포구,기타,-,1,-,1,-,-,-,1,-,1,-,-
2014.4/4,동작구,소계,"172,389","419,261","205,962","213,299","407,470","200,328","207,142","11,791","5,634","6,157",2.36,"52,327"
2014.4/4,동작구,노량진2동,"7,186","15,712","8,034","7,678","14,523","7,409","7,114","1,189",625,564,2.02,"2,251"
2014.4/4,동작구,상도1동,"20,733","48,197","23,732","24,465","47,070","23,199","23,871","1,127",533,594,2.27,"5,449"
2014.4/4,동작구,상도2동,"11,002","25,927","12,627","13,300","25,539","12,415","13,124",388,212,176,2.32,"3,338"
2014.4/4,동작구,상도3동,"10,430","25,358","12,424","12,934","24,962","12,242","12,720",396,182,214,2.39,"3,497"
2014.4/4,동작구,상도4동,"12,098","30,010","14,903","15,107","29,643","14,734","14,909",367,169,198,2.45,"3,826"
2014.4/4,동작구,사당1동,"11,317","23,864","11,492","12,372","23,018","11,086","11,932",846,406,440,2.03,"2,771"
2014.4/4,동작구,사당3동,"10,346","26,174","12,846","13,328","25,867","12,694","13,173",307,152,155,2.5,"3,427"
2014.4/4,동작구,사당4동,"6,381","15,038","7,354","7,684","14,869","7,282","7,587",169,72,97,2.33,"2,025"
2014.4/4,동작구,사당5동,"6,270","15,161","7,563","7,598","14,970","7,459","7,511",191,104,87,2.39,"1,847"
