역명,요일,구분,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
강변,Monday,하차,3127249.0,3002429.0,3024771.0,2900566.0,2841182.0,2766308.0,2740501.0,2660454.0,2563720.0,2452327.0,2401486.5
강변,Saturday,하차,3314394.0,3165629.0,3239820.0,3171860.0,3055892.0,2986877.0,3059052.0,2933112.0,2932654.0,2770825.0,2428699.5
강변,Sunday,하차,2689260.0,2553459.0,2589022.0,2483470.0,2460479.0,2413153.0,2483750.0,2371026.0,2348335.0,2294201.0,2057641.5
강변,Thursday,하차,2999512.0,2988674.0,2909228.0,2763846.0,2718363.0,2675839.0,2685192.0,2646665.0,2506594.0,2431536.0,2119380.0
강변,Tuesday,하차,3009863.0,2781790.0,2867801.0,2792810.0,2651330.0,2689176.0,2612380.0,2538224.0,2443467.0,2336009.0,2098144.5
강변,Wednesday,하차,3017930.0,2872519.0,2817684.0,2766666.0,2652656.0,2651978.0,2715797.0,2548050.0,2471665.0,2352982.0,2149828.5
개롱,Friday,하차,375672.0,380039.0,402603.0,408378.0,419043.0,401140.0,403250.0,396617.0,408733.0,396826.0,349911.0
개롱,Monday,하차,380031.0,388273.0,403966.0,397652.0,410715.0,412291.0,408167.0,403621.0,394335.0,388949.0,394764.0
개롱,Saturday,하차,296566.0,290515.0,300129.0,311286.0,294937.0,290748.0,297469.0,286604.0,298401.0,281656.0,254445.0
개롱,Sunday,하차,213444.0,210277.0,214443.0,215168.0,216070.0,217496.0,222867.0,211437.0,213715.0,208401.0,196185.0
개롱,Thursday,하차,379408.0,395634.0,406869.0,404615.0,416087.0,400386.0,402284.0,412287.0,406582.0,404040.0,368829.0
개롱,Tuesday,하차,385044.0,379696.0,403730.0,397621.0,401573.0,415919.0,410292.0,405259.0,399334.0,387656.0,363538.5
개롱,Wednesday,하차,388368.0,399632.0,404994.0,413261.0,409889.0,412711.0,427843.0,418237.0,406685.0,400006.0,372016.5
개화산,Friday,하차,293085.0,305023.0,305210.0,326412.0,343957.0,342065.0,339621.0,320742.0,328822.0,320598.0,285789.0
개화산,Monday,하차,295240.0,312321.0,308103.0,320721.0,338261.0,351746.0,347021.0,324092.0,317544.0,312835.0,322524.0
개화산,Saturday,하차,226927.0,216369.0,214423.0,235354.0,235510.0,239315.0,243031.0,231033.0,238228.0,231635.0,208230.0
개화산,Sunday,하차,164027.0,160033.0,157904.0,170769.0,182497.0,185556.0,188192.0,178065.0,177956.0,181993.0,170088.0
개화산,Thursday,하차,294309.0,315464.0,308564.0,326555.0,342525.0,341995.0,341863.0,330730.0,325678.0,323664.0,297843.0
개화산,Tuesday,하차,305447.0,308161.0,309677.0,326414.0,335138.0,357852.0,349892.0,327173.0,323968.0,317208.0,299227.5
개화산,Wednesday,하차,301342.0,317154.0,304241.0,330398.0,332357.0,346286.0,353868.0,329148.0,322417.0,321323.0,304573.5
거여,Friday,하차,336810.0,337789.0,390962.0,413184.0,422944.0,407541.0,415114.0,400604.0,393461.0,377447.0,336013.5
거여,Monday,하차,335802.0,338939.0,384334.0,397948.0,412897.0,415992.0,420574.0,403335.0,378078.0,366507.0,372550.5
거여,Saturday,하차,279629.0,267230.0,300601.0,317417.0,297266.0,293396.0,302598.0,284889.0,278191.0,263981.0,240759.0
거여,Sunday,하차,196764.0,185809.0,207933.0,216366.0,219780.0,222426.0,228513.0,214246.0,202418.0,200763.0,190375.5
거여,Thursday,하차,337326.0,346003.0,388594.0,408122.0,418600.0,406874.0,414596.0,412195.0,388312.0,379248.0,348484.5
