기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
2010,중랑구,면목2동,10089,2572,2368,2259,2129,585,176
2010,중랑구,면목4동,8169,1986,1912,1934,1724,466,147
2010,중랑구,면목5동,5033,1267,1173,1189,1030,284,90
2010,중랑구,면목7동,8921,2088,1970,2144,2038,526,155
2010,중랑구,상봉1동,8036,1186,1659,1961,2461,566,203
2010,중랑구,상봉2동,7143,2380,1769,1460,1122,322,90
2010,중랑구,중화1동,7117,1187,1654,1817,1845,460,154
2010,중랑구,중화2동,12131,4070,2962,2354,2036,553,156
2010,중랑구,묵1동,10876,1719,2331,2841,2883,867,235
2010,중랑구,묵2동,7100,1758,1733,1566,1535,405,103
2010,중랑구,망우3동,6775,1664,1609,1552,1461,366,123
2010,중랑구,신내1동,9430,956,1721,2520,3127,829,277
2010,중랑구,신내2동,8623,1505,1977,2172,2279,542,148
2010,중랑구,면목본동,13356,3625,3284,2930,2648,664,205
2010,중랑구,면목3.8동,10724,2729,2629,2413,2298,486,169
2010,중랑구,망우본동,11428,2632,2718,2641,2513,710,214
2010,성북구,소계,162896,38652,36345,37098,37417,10113,3271
2010,성북구,돈암1동,5396,906,1331,1367,1332,349,111
2010,성북구,돈암2동,7281,824,1484,1955,2214,608,196
2010,성북구,안암동,8267,4295,1609,1011,1015,264,73
2010,성북구,보문동,5751,1820,1366,1101,1048,320,96
2010,성북구,정릉1동,6563,1077,1421,1656,1765,470,174
2010,성북구,정릉2동,7735,1210,1726,2026,2051,521,201
2010,성북구,정릉3동,6559,2154,1462,1238,1189,372,144
2010,성북구,정릉4동,8836,1336,2075,2307,2322,605,191
2010,성북구,길음1동,10679,1186,2312,2942,3220,784,235
2010,성북구,길음2동,6694,1516,1631,1581,1437,390,139
2010,성북구,월곡1동,9279,1528,2073,2323,2554,607,194
2010,성북구,월곡2동,7661,1992,1691,1720,1661,471,126
2010,성북구,장위1동,8464,1558,1931,2083,2098,572,222
2010,성북구,장위2동,7573,1555,1735,1852,1780,497,154
2010,성북구,장위3동,6391,1363,1449,1506,1487,439,147
2010,성북구,성북동,6326,1803,1573,1204,1211,408,127
2010,성북구,삼선동,9564,2897,2069,1987,1913,525,173
2010,성북구,동선동,6556,2894,1441,977,898,245,101
2010,성북구,종암동,14284,3695,2934,3149,3365,877,264
2010,성북구,석관동,13037,3043,3032,3113,2857,789,203
2010,강북구,소계,117072,26054,28303,27893,25488,6934,2400
2010,강북구,번1동,8316,2896,1981,1583,1372,362,122
2010,강북구,번2동,7021,1318,1837,1757,1592,414,103
2010,강북구,번3동,7292,1215,1830,1914,1715,463,155
2010,강북구,수유1동,7857,1760,1915,1876,1660,468,178
2010,강북구,수유2동,7827,1472,1932,1995,1711,516,201
2010,강북구,수유3동,9088,2793,2253,1961,1481,447,153
2010,강북구,삼양동,10701,2250,2531,2652,2378,663,227
2010,강북구,미아동,8384,2038,2078,2036,1643,433,156
2010,강북구,송중동,11935,2692,2925,2737,2572,774,235
2010,강북구,송천동,11350,2986,2748,2485,2345,576,210
2010,강북구,삼각산동,9408,1192,1917,2422,2954,693,230
2010,강북구,우이동,6862,1290,1657,1702,1549,470,194
2010,강북구,인수동,11031,2152,2699,2773,2516,655,236
2010,도봉구,소계,118947,21233,26510,29910,31272,7719,2303
