기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.1/4,합계,합계,"4,202,888","10,197,604","5,000,005","5,197,599","9,926,968","4,871,560","5,055,408","270,636","128,445","142,191",2.36,"1,321,458"
2017.1/4,종로구,소계,"72,654","162,820","79,675","83,145","153,589","75,611","77,978","9,231","4,064","5,167",2.11,"25,425"
2017.1/4,종로구,사직동,"4,370","9,831","4,507","5,324","9,529","4,340","5,189",302,167,135,2.18,"1,710"
2017.1/4,종로구,삼청동,"1,412","3,127","1,487","1,640","2,919","1,382","1,537",208,105,103,2.07,632
2017.1/4,종로구,부암동,"4,374","10,995","5,317","5,678","10,553","5,130","5,423",442,187,255,2.41,"1,740"
2017.1/4,종로구,평창동,"7,589","19,409","9,211","10,198","19,248","9,136","10,112",161,75,86,2.54,"2,968"
2017.1/4,종로구,무악동,"3,014","8,407","3,937","4,470","8,342","3,913","4,429",65,24,41,2.77,"1,220"
2017.1/4,종로구,교남동,"2,832","6,527","3,108","3,419","6,451","3,078","3,373",76,30,46,2.28,"1,032"
2017.1/4,종로구,가회동,"2,123","4,786","2,238","2,548","4,648","2,166","2,482",138,72,66,2.19,886
2017.1/4,종로구,종로1.2.3.4가동,"5,368","8,591","5,022","3,569","7,650","4,483","3,167",941,539,402,1.43,"1,819"
2017.1/4,종로구,종로5·6가동,"3,243","5,817","3,182","2,635","5,547","3,069","2,478",270,113,157,1.71,"1,098"
2017.1/4,종로구,이화동,"4,483","8,880","4,158","4,722","8,426","3,954","4,472",454,204,250,1.88,"1,278"
2017.1/4,종로구,창신1동,"3,100","6,504","3,484","3,020","5,687","3,075","2,612",817,409,408,1.83,"1,119"
2017.1/4,종로구,창신2동,"4,361","10,585","5,344","5,241","9,438","4,818","4,620","1,147",526,621,2.16,"1,581"
2017.1/4,종로구,창신3동,"2,886","7,647","3,807","3,840","7,454","3,712","3,742",193,95,98,2.58,"1,065"
