기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.4/4,합계,합계,"4,189,839","10,204,057","5,007,379","5,196,678","9,930,616","4,876,789","5,053,827","273,441","130,590","142,851",2.37,"1,300,877"
2016.4/4,종로구,소계,"72,118","161,922","79,322","82,600","152,737","75,201","77,536","9,185","4,121","5,064",2.12,"25,091"
2016.4/4,종로구,사직동,"4,399","10,013","4,605","5,408","9,695","4,429","5,266",318,176,142,2.2,"1,707"
2016.4/4,종로구,삼청동,"1,403","3,118","1,491","1,627","2,903","1,377","1,526",215,114,101,2.07,624
2016.4/4,종로구,부암동,"4,371","11,044","5,349","5,695","10,616","5,160","5,456",428,189,239,2.43,"1,723"
2016.4/4,종로구,평창동,"7,537","19,457","9,220","10,237","19,290","9,140","10,150",167,80,87,2.56,"2,952"
2016.4/4,종로구,무악동,"3,056","8,516","3,998","4,518","8,453","3,975","4,478",63,23,40,2.77,"1,206"
2016.4/4,종로구,교남동,"2,268","4,748","2,257","2,491","4,679","2,229","2,450",69,28,41,2.06,888
2016.4/4,종로구,가회동,"2,131","4,780","2,225","2,555","4,635","2,150","2,485",145,75,70,2.18,878
2016.4/4,종로구,종로1.2.3.4가동,"5,384","8,727","5,077","3,650","7,741","4,513","3,228",986,564,422,1.44,"1,814"
2016.4/4,종로구,종로5·6가동,"3,170","5,775","3,158","2,617","5,496","3,035","2,461",279,123,156,1.73,"1,089"
2016.4/4,종로구,이화동,"4,443","8,927","4,198","4,729","8,436","3,968","4,468",491,230,261,1.9,"1,259"
2016.4/4,종로구,창신1동,"3,132","6,590","3,543","3,047","5,744","3,112","2,632",846,431,415,1.83,"1,101"
2016.4/4,종로구,창신2동,"4,391","10,701","5,413","5,288","9,545","4,870","4,675","1,156",543,613,2.17,"1,566"
2016.4/4,종로구,창신3동,"2,894","7,753","3,879","3,874","7,560","3,778","3,782",193,101,92,2.61,"1,068"
