기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,송파구,방이2동,10811,4047,2701,2107,1521,345,68,22
2015,송파구,오륜동,5539,288,1094,1672,1969,410,75,31
2015,송파구,오금동,12233,2220,3021,3126,3014,676,139,37
2015,송파구,송파1동,10717,3697,2669,2167,1678,401,79,26
2015,송파구,송파2동,6802,859,1530,1933,1889,476,83,32
2015,송파구,석촌동,14241,5077,3644,2666,2209,506,103,36
2015,송파구,삼전동,13888,4861,3601,2703,2107,500,95,21
2015,송파구,가락본동,10227,2603,2467,2405,2138,491,97,26
2015,송파구,가락1동,215,20,48,56,65,20,X,X
2015,송파구,가락2동,11199,1805,2389,2914,3231,688,131,41
2015,송파구,문정1동,7457,1535,1800,1880,1721,407,91,23
2015,송파구,문정2동,6760,2129,1557,1418,1277,273,87,19
2015,송파구,장지동,12145,2257,3040,3065,2870,727,157,29
2015,송파구,위례동,3493,426,763,809,1039,361,79,16
2015,송파구,잠실본동,12782,5036,3147,2316,1774,400,87,22
2015,송파구,잠실4동,9545,1064,2229,2912,2670,544,93,33
2015,송파구,잠실6동,5409,546,1367,1629,1439,334,74,20
2015,송파구,잠실7동,3172,291,866,914,889,162,40,10
2015,송파구,잠실2동,10995,1136,2016,3157,3911,644,106,25
2015,송파구,잠실3동,11167,1010,2569,3365,3346,717,129,31
2015,강동구,소계,164094,39897,39877,38478,35173,8344,1867,458
2015,강동구,강일동,10109,1048,2206,2381,3110,1093,223,48
2015,강동구,상일동,8280,1268,2012,2286,2149,472,72,21
2015,강동구,명일1동,7661,1322,1662,2037,2061,449,110,20
2015,강동구,명일2동,5482,550,1098,1471,1856,409,79,19
2015,강동구,고덕1동,5209,878,1061,1346,1450,372,87,15
2015,강동구,고덕2동,3677,1254,888,758,592,147,28,10
2015,강동구,암사2동,5662,1254,1372,1404,1317,244,60,11
2015,강동구,암사3동,5808,589,1218,1696,1834,370,73,28
2015,강동구,천호1동,11174,3213,2919,2476,1961,463,118,24
2015,강동구,천호3동,10606,3830,2840,2051,1408,340,107,30
2015,강동구,성내1동,6686,1404,1560,1760,1477,380,88,17
2015,강동구,성내2동,10719,3945,2794,2010,1492,351,98,29
2015,강동구,성내3동,9339,2514,2371,2152,1769,430,79,24
2015,강동구,둔촌1동,5865,552,1338,1830,1784,313,40,8
2015,강동구,둔촌2동,9839,1957,2317,2510,2370,541,112,32
2015,강동구,암사1동,14086,3966,3543,3150,2619,614,158,36
2015,강동구,천호2동,14853,5212,3940,2825,2211,497,123,45
2015,강동구,길동,19039,5141,4738,4335,3713,859,212,41
,,,,,,,,,,
