기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,동대문구,답십리2동,10325,2262,2658,2499,2190,529,152,35
2015,동대문구,장안1동,13675,3841,3275,3041,2598,647,204,69
2015,동대문구,장안2동,11269,2668,2621,2738,2414,626,156,46
2015,동대문구,이문1동,15227,7966,3001,2071,1620,414,122,33
2015,동대문구,이문2동,8315,2182,2009,1831,1673,460,123,37
2015,중랑구,소계,157537,45138,40248,34528,28363,7145,1680,435
2015,중랑구,면목2동,10703,3369,2745,2238,1777,438,107,29
2015,중랑구,면목4동,8295,2292,2207,1892,1425,366,94,19
2015,중랑구,면목5동,4602,1397,1230,993,735,191,42,14
2015,중랑구,면목7동,9302,2839,2401,1999,1544,389,102,28
2015,중랑구,상봉1동,8922,1748,2062,2264,2207,506,95,40
2015,중랑구,상봉2동,8379,3707,2112,1375,913,188,63,21
2015,중랑구,중화1동,7604,1675,2079,1874,1498,361,86,31
2015,중랑구,중화2동,12234,4774,3181,2214,1563,412,69,21
2015,중랑구,묵1동,12134,2549,3009,3077,2595,713,158,33
2015,중랑구,묵2동,7659,2390,1973,1605,1238,361,74,18
2015,중랑구,망우3동,7150,2216,1905,1528,1147,254,81,19
2015,중랑구,신내1동,12987,1610,2963,3325,3676,1118,252,43
2015,중랑구,신내2동,8534,1771,2315,2145,1809,386,85,23
2015,중랑구,면목본동,14836,5225,3793,2878,2251,534,124,31
2015,중랑구,면목3.8동,11422,3756,2944,2350,1817,398,125,32
2015,중랑구,망우본동,12774,3820,3329,2771,2168,530,123,33
2015,성북구,소계,174257,52005,41763,37428,32357,8118,2009,577
2015,성북구,돈암1동,6017,1273,1639,1451,1247,325,62,20
2015,성북구,돈암2동,7372,965,1717,1977,2009,537,119,48
2015,성북구,안암동,9119,5492,1563,1036,775,197,42,14
2015,성북구,보문동,6139,2403,1436,1127,900,215,47,11
2015,성북구,정릉1동,6769,1527,1597,1713,1439,347,112,34
2015,성북구,정릉2동,8676,1948,2203,2127,1770,478,121,29
2015,성북구,정릉3동,7112,2874,1681,1217,990,253,76,21
2015,성북구,정릉4동,9775,2195,2512,2391,2004,513,125,35
2015,성북구,길음1동,11980,1636,2655,3332,3398,711,195,53
2015,성북구,길음2동,6065,1666,1540,1344,1160,258,77,20
2015,성북구,월곡1동,9655,1911,2349,2377,2275,571,128,44
2015,성북구,월곡2동,8247,2736,1857,1755,1397,373,104,25
2015,성북구,장위1동,8398,2012,2254,1930,1645,424,105,28
2015,성북구,장위2동,7644,1989,2128,1683,1364,384,74,22
2015,성북구,장위3동,5194,1338,1387,1167,967,254,62,19
2015,성북구,성북동,7026,2569,1817,1220,1013,295,84,28
2015,성북구,삼선동,11391,4382,2664,2026,1749,438,100,32
2015,성북구,동선동,8183,4376,1691,1055,762,228,60,11
2015,성북구,종암동,15619,4419,3608,3486,3118,758,174,56
2015,성북구,석관동,13876,4294,3465,3014,2375,559,142,27
2015,강북구,소계,125666,35787,33501,27585,21533,5501,1332,427
2015,강북구,번1동,8924,3723,2164,1531,1151,270,60,25
2015,강북구,번2동,6955,1635,2114,1642,1158,309,78,19
2015,강북구,번3동,7243,1479,2066,1814,1362,398,90,34
2015,강북구,수유1동,8725,2664,2306,1854,1421,369,83,28
2015,강북구,수유2동,8256,1978,2336,1965,1460,388,104,25
2015,강북구,수유3동,10033,3877,2600,1866,1257,313,91,29
2015,강북구,삼양동,10921,2836,2990,2460,1965,523,115,32
2015,강북구,미아동,9625,3486,2439,1877,1374,337,95,17
2015,강북구,송중동,11854,3626,3077,2493,1979,506,136,37
2015,강북구,송천동,11850,3866,3119,2388,1851,486,100,40
2015,강북구,삼각산동,11225,1690,2554,2952,3144,701,137,47
2015,강북구,우이동,7817,1844,2295,1858,1289,387,100,44
2015,강북구,인수동,12238,3083,3441,2885,2122,514,143,50
2015,도봉구,소계,124981,27348,33003,30482,26199,6138,1401,410
2015,도봉구,쌍문1동,8113,1966,2111,1886,1587,422,118,23
2015,도봉구,쌍문2동,7842,1962,2141,1856,1455,317,80,31
2015,도봉구,쌍문3동,7155,2208,1858,1502,1201,298,69,19
2015,도봉구,쌍문4동,6788,970,1588,1862,1859,411,74,24
2015,도봉구,방학1동,11616,2977,3082,2621,2243,531,121,41
2015,도봉구,방학2동,8382,2172,2391,1911,1403,403,76,26
2015,도봉구,방학3동,9601,1049,2292,2773,2699,628,125,35
2015,도봉구,창1동,10142,2411,2649,2441,2105,429,89,18
2015,도봉구,창2동,10946,2219,2931,2768,2291,550,136,51
2015,도봉구,창3동,6037,1695,1597,1319,1091,265,54,16
2015,도봉구,창4동,9887,1656,2397,2552,2588,548,124,22
2015,도봉구,창5동,9171,1585,2347,2463,2177,464,103,32
2015,도봉구,도봉1동,8878,2424,2691,1938,1338,367,91,29
2015,도봉구,도봉2동,10423,2054,2928,2590,2162,505,141,43
2015,노원구,소계,204836,46129,49939,49483,46752,10096,1950,487
2015,노원구,월계1동,9272,3236,2102,1824,1601,386,93,30
2015,노원구,월계2동,11137,2947,3107,2484,2033,429,109,28
2015,노원구,월계3동,12400,2505,3384,3233,2593,540,112,33
2015,노원구,공릉2동,15755,3903,3323,3710,3762,852,164,41
2015,노원구,하계1동,10522,2420,2523,2466,2478,527,84,24
2015,노원구,하계2동,8028,1119,1833,2111,2385,495,69,16
2015,노원구,중계본동,8494,1026,1639,2168,2823,685,118,35
2015,노원구,중계1동,8770,811,1482,2453,3319,603,92,10
2015,노원구,중계4동,7829,1550,1986,1905,1891,403,77,17
2015,노원구,상계1동,14507,2811,3522,3708,3387,833,198,48
2015,노원구,상계2동,7948,2073,1720,1887,1748,404,97,19
2015,노원구,상계5동,9278,2307,2443,2153,1788,447,110,30
2015,노원구,상계8동,8889,1349,2276,2497,2277,423,55,12
2015,노원구,상계9동,8070,1297,2005,2188,2123,389,60,8
2015,노원구,상계10동,7015,1364,1959,1831,1545,265,43,8
2015,노원구,상계3.4동,13242,3633,3573,2918,2326,622,125,45
2015,노원구,상계6.7동,12767,2814,3217,3239,2917,484,84,12
2015,노원구,중계2.3동,14562,3180,3980,3529,3082,644,119,28
2015,노원구,공릉1동,16351,5784,3865,3179,2674,665,141,43
2015,은평구,소계,179752,43936,48337,41330,34509,8975,2087,578
2015,은평구,녹번동,12221,3580,3398,2603,2002,518,94,26
2015,은평구,불광1동,15457,3669,4328,3771,2835,663,159,32
2015,은평구,갈현1동,9527,2438,2701,2195,1674,406,80,33
2015,은평구,갈현2동,10620,2322,2888,2580,2104,555,134,37
2015,은평구,구산동,10861,1845,2906,2830,2419,633,175,53
2015,은평구,대조동,13457,4677,3717,2555,1893,468,119,28
2015,은평구,응암1동,12220,3527,3278,2615,2113,529,129,29
2015,은평구,응암2동,8505,2038,2282,2025,1628,406,95,31
2015,은평구,신사1동,9945,2089,2624,2558,1994,514,122,44
2015,은평구,신사2동,7786,1689,2125,1860,1610,384,96,22
