기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2013.3/4,합계,합계,"4,184,537","10,413,232","5,139,376","5,273,856","10,166,691","5,020,717","5,145,974","246,541","118,659","127,882",2.43,"1,155,660"
2013.3/4,종로구,소계,"74,016","168,943","83,730","85,213","161,004","80,022","80,982","7,939","3,708","4,231",2.18,"23,955"
2013.3/4,종로구,사직동,"4,481","10,326","4,863","5,463","9,875","4,597","5,278",451,266,185,2.2,"1,632"
2013.3/4,종로구,삼청동,"1,551","3,399","1,647","1,752","3,267","1,573","1,694",132,74,58,2.11,637
2013.3/4,종로구,부암동,"4,579","11,525","5,655","5,870","11,172","5,498","5,674",353,157,196,2.44,"1,704"
2013.3/4,종로구,평창동,"7,357","19,758","9,425","10,333","19,513","9,301","10,212",245,124,121,2.65,"2,768"
2013.3/4,종로구,무악동,"3,226","8,650","4,123","4,527","8,603","4,103","4,500",47,20,27,2.67,"1,179"
2013.3/4,종로구,교남동,"2,790","5,641","2,803","2,838","5,527","2,750","2,777",114,53,61,1.98,861
2013.3/4,종로구,가회동,"2,339","5,325","2,497","2,828","5,217","2,450","2,767",108,47,61,2.23,886
2013.3/4,종로구,종로1.2.3.4가동,"5,249","8,882","5,153","3,729","7,860","4,556","3,304","1,022",597,425,1.5,"1,693"
2013.3/4,종로구,종로5·6가동,"3,130","6,265","3,376","2,889","5,952","3,242","2,710",313,134,179,1.9,"1,028"
2013.3/4,종로구,이화동,"4,495","9,470","4,511","4,959","9,012","4,307","4,705",458,204,254,2,"1,157"
2013.3/4,종로구,창신1동,"3,398","7,390","3,873","3,517","6,457","3,439","3,018",933,434,499,1.9,"1,026"
2013.3/4,종로구,창신2동,"4,817","11,813","5,940","5,873","10,800","5,493","5,307","1,013",447,566,2.24,"1,500"
2013.3/4,종로구,창신3동,"3,062","8,360","4,180","4,180","8,244","4,127","4,117",116,53,63,2.69,"1,009"
2013.3/4,종로구,숭인1동,"3,246","7,625","3,817","3,808","7,251","3,649","3,602",374,168,206,2.23,953
2013.3/4,종로구,숭인2동,"5,171","9,965","5,149","4,816","9,563","4,974","4,589",402,175,227,1.85,"1,421"
2013.3/4,종로구,청운효자동,"5,940","14,868","7,118","7,750","14,738","7,057","7,681",130,61,69,2.48,"2,089"
2013.3/4,종로구,혜화동,"9,185","19,681","9,600","10,081","17,953","8,906","9,047","1,728",694,"1,034",1.95,"2,412"
2013.3/4,중구,소계,"60,649","138,738","69,533","69,205","131,085","65,733","65,352","7,653","3,800","3,853",2.16,"19,262"
2013.3/4,중구,소공동,688,"1,828","1,011",817,"1,361",710,651,467,301,166,1.98,181
2013.3/4,중구,회현동,"3,590","6,567","3,577","2,990","5,896","3,217","2,679",671,360,311,1.64,"1,254"
2013.3/4,중구,명동,"1,590","4,101","1,953","2,148","3,316","1,453","1,863",785,500,285,2.09,643
2013.3/4,중구,필동,"2,410","4,842","2,552","2,290","4,466","2,365","2,101",376,187,189,1.85,728
2013.3/4,중구,장충동,"3,004","6,355","3,179","3,176","5,613","2,888","2,725",742,291,451,1.87,753
2013.3/4,중구,광희동,"2,938","6,181","3,276","2,905","5,406","2,909","2,497",775,367,408,1.84,963
2013.3/4,중구,을지로동,"1,345","2,058","1,255",803,"1,940","1,198",742,118,57,61,1.44,409
2013.3/4,중구,신당5동,"4,631","10,675","5,350","5,325","10,399","5,233","5,166",276,117,159,2.25,"1,380"
2013.3/4,중구,황학동,"5,745","13,005","6,610","6,395","12,197","6,231","5,966",808,379,429,2.12,"1,586"
2013.3/4,중구,중림동,"4,723","10,094","5,130","4,964","9,797","4,978","4,819",297,152,145,2.07,"1,564"
2013.3/4,중구,신당동,"3,933","9,062","4,627","4,435","7,699","3,975","3,724","1,363",652,711,1.96,"1,161"
2013.3/4,중구,다산동,"7,184","16,589","8,145","8,444","16,212","7,975","8,237",377,170,207,2.26,"2,183"
2013.3/4,중구,약수동,"7,943","19,336","9,317","10,019","19,100","9,212","9,888",236,105,131,2.4,"2,861"
2013.3/4,중구,청구동,"6,526","15,916","7,663","8,253","15,723","7,582","8,141",193,81,112,2.41,"2,182"
2013.3/4,중구,동화동,"4,399","12,129","5,888","6,241","11,960","5,807","6,153",169,81,88,2.72,"1,414"
2013.3/4,용산구,소계,"109,741","252,998","123,425","129,573","240,927","117,124","123,803","12,071","6,301","5,770",2.2,"33,869"
2013.3/4,용산구,후암동,"8,848","20,109","9,980","10,129","19,642","9,756","9,886",467,224,243,2.22,"2,684"
2013.3/4,용산구,용산2가동,"5,935","13,703","6,743","6,960","12,617","6,120","6,497","1,086",623,463,2.13,"1,847"
2013.3/4,용산구,남영동,"5,237","8,434","5,042","3,392","7,981","4,840","3,141",453,202,251,1.52,"1,311"
2013.3/4,용산구,원효로2동,"5,979","15,882","7,531","8,351","15,703","7,457","8,246",179,74,105,2.63,"2,009"
2013.3/4,용산구,효창동,"4,407","11,394","5,535","5,859","11,235","5,471","5,764",159,64,95,2.55,"1,503"
2013.3/4,용산구,용문동,"5,120","13,068","6,348","6,720","12,926","6,286","6,640",142,62,80,2.52,"1,666"
2013.3/4,용산구,이촌1동,"9,808","28,260","13,303","14,957","26,958","12,563","14,395","1,302",740,562,2.75,"3,488"
2013.3/4,용산구,이촌2동,"4,282","10,180","4,875","5,305","10,122","4,855","5,267",58,20,38,2.36,"1,587"
2013.3/4,용산구,이태원1동,"4,380","9,705","4,674","5,031","8,264","3,826","4,438","1,441",848,593,1.89,"1,461"
2013.3/4,용산구,이태원2동,"5,375","11,868","5,647","6,221","10,931","5,095","5,836",937,552,385,2.03,"1,839"
2013.3/4,용산구,서빙고동,"5,424","14,347","6,941","7,406","13,975","6,774","7,201",372,167,205,2.58,"1,949"
2013.3/4,용산구,보광동,"8,436","17,992","8,769","9,223","17,151","8,313","8,838",841,456,385,2.03,"2,436"
2013.3/4,용산구,청파동,"11,306","23,597","11,278","12,319","22,677","10,952","11,725",920,326,594,2.01,"2,893"
2013.3/4,용산구,원효로1동,"5,680","12,945","6,438","6,507","12,652","6,295","6,357",293,143,150,2.23,"1,495"
2013.3/4,용산구,한강로동,"7,760","16,393","8,205","8,188","15,208","7,594","7,614","1,185",611,574,1.96,"2,521"
2013.3/4,용산구,한남동,"11,764","25,121","12,116","13,005","22,885","10,927","11,958","2,236","1,189","1,047",1.95,"3,180"
2013.3/4,성동구,소계,"126,701","308,047","153,510","154,537","300,734","149,995","150,739","7,313","3,515","3,798",2.37,"35,299"
2013.3/4,성동구,왕십리2동,"6,963","17,271","8,522","8,749","16,981","8,392","8,589",290,130,160,2.44,"1,963"
2013.3/4,성동구,마장동,"10,351","25,540","12,754","12,786","24,963","12,492","12,471",577,262,315,2.41,"2,962"
2013.3/4,성동구,사근동,"6,004","11,873","6,175","5,698","10,604","5,580","5,024","1,269",595,674,1.77,"1,307"
2013.3/4,성동구,행당1동,"7,528","17,884","8,840","9,044","17,442","8,633","8,809",442,207,235,2.32,"2,195"
2013.3/4,성동구,행당2동,"9,558","26,869","12,819","14,050","26,775","12,783","13,992",94,36,58,2.8,"2,863"
2013.3/4,성동구,응봉동,"6,415","17,448","8,386","9,062","17,384","8,364","9,020",64,22,42,2.71,"2,122"
2013.3/4,성동구,금호1가동,"5,925","15,214","7,406","7,808","15,109","7,363","7,746",105,43,62,2.55,"1,971"
2013.3/4,성동구,금호4가동,"6,232","15,180","7,424","7,756","15,007","7,338","7,669",173,86,87,2.41,"1,723"
2013.3/4,성동구,성수1가1동,"7,256","18,243","9,293","8,950","17,836","9,069","8,767",407,224,183,2.46,"1,746"
2013.3/4,성동구,성수1가2동,"8,062","18,678","9,456","9,222","18,282","9,267","9,015",396,189,207,2.27,"1,848"
2013.3/4,성동구,성수2가1동,"9,012","21,162","11,021","10,141","20,329","10,619","9,710",833,402,431,2.26,"2,226"
2013.3/4,성동구,성수2가3동,"5,428","12,429","6,473","5,956","12,013","6,220","5,793",416,253,163,2.21,"1,441"
