기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2010.1/4,합계,합계,"4,121,193","10,464,171","5,181,117","5,283,054","10,208,670","5,059,504","5,149,166","255,501","121,613","133,888",2.48,"956,414"
2010.1/4,종로구,소계,"74,300","177,023","88,225","88,798","168,158","84,088","84,070","8,865","4,137","4,728",2.26,"20,925"
2010.1/4,종로구,사직동,"4,482","10,433","4,941","5,492","9,976","4,702","5,274",457,239,218,2.23,"1,400"
2010.1/4,종로구,삼청동,"1,607","3,689","1,793","1,896","3,511","1,692","1,819",178,101,77,2.18,562
2010.1/4,종로구,부암동,"4,487","11,566","5,740","5,826","11,302","5,629","5,673",264,111,153,2.52,"1,459"
2010.1/4,종로구,평창동,"7,077","19,713","9,535","10,178","19,328","9,355","9,973",385,180,205,2.73,"2,361"
2010.1/4,종로구,무악동,"3,144","8,636","4,147","4,489","8,537","4,108","4,429",99,39,60,2.72,974
2010.1/4,종로구,교남동,"4,274","9,137","4,506","4,631","8,935","4,412","4,523",202,94,108,2.09,"1,154"
2010.1/4,종로구,가회동,"2,460","5,916","2,850","3,066","5,733","2,766","2,967",183,84,99,2.33,817
2010.1/4,종로구,종로1.2.3.4가동,"4,612","8,608","4,942","3,666","7,342","4,273","3,069","1,266",669,597,1.59,"1,289"
2010.1/4,종로구,종로5·6가동,"3,010","6,562","3,474","3,088","6,234","3,336","2,898",328,138,190,2.07,873
2010.1/4,종로구,이화동,"4,382","9,863","4,767","5,096","9,221","4,474","4,747",642,293,349,2.1,983
2010.1/4,종로구,혜화동,"5,587","12,879","6,205","6,674","12,048","5,855","6,193",831,350,481,2.16,"1,351"
2010.1/4,종로구,명륜3가동,"3,594","7,290","3,845","3,445","6,414","3,466","2,948",876,379,497,1.78,836
2010.1/4,종로구,창신1동,"3,493","8,491","4,332","4,159","6,913","3,597","3,316","1,578",735,843,1.98,870
2010.1/4,종로구,창신2동,"5,076","12,143","6,150","5,993","11,678","5,930","5,748",465,220,245,2.3,"1,305"
2010.1/4,종로구,창신3동,"3,140","8,683","4,358","4,325","8,606","4,328","4,278",77,30,47,2.74,850
2010.1/4,종로구,숭인1동,"3,204","8,172","4,034","4,138","7,535","3,736","3,799",637,298,339,2.35,772
2010.1/4,종로구,숭인2동,"4,577","9,275","4,797","4,478","9,112","4,725","4,387",163,72,91,1.99,"1,162"
2010.1/4,종로구,청운효자동,"6,094","15,967","7,809","8,158","15,733","7,704","8,029",234,105,129,2.58,"1,907"
2010.1/4,중구,소계,"58,472","138,102","69,175","68,927","129,786","65,216","64,570","8,316","3,959","4,357",2.22,"16,208"
2010.1/4,중구,소공동,590,"1,572",855,717,"1,114",580,534,458,275,183,1.89,142
2010.1/4,중구,회현동,"2,769","5,459","3,033","2,426","4,678","2,602","2,076",781,431,350,1.69,801
2010.1/4,중구,명동,"1,409","3,509","1,668","1,841","2,891","1,297","1,594",618,371,247,2.05,499
2010.1/4,중구,필동,"2,304","5,057","2,679","2,378","4,551","2,442","2,109",506,237,269,1.98,647
2010.1/4,중구,장충동,"2,941","6,293","3,156","3,137","5,729","2,918","2,811",564,238,326,1.95,680
2010.1/4,중구,광희동,"2,892","6,534","3,425","3,109","5,459","2,941","2,518","1,075",484,591,1.89,766
2010.1/4,중구,을지로동,"1,279","2,057","1,260",797,"1,910","1,186",724,147,74,73,1.49,332
2010.1/4,중구,신당1동,"4,127","10,326","5,155","5,171","8,360","4,304","4,056","1,966",851,"1,115",2.03,"1,017"
2010.1/4,중구,신당2동,"7,287","17,174","8,440","8,734","16,884","8,311","8,573",290,129,161,2.32,"1,874"
2010.1/4,중구,신당3동,"7,978","19,930","9,635","10,295","19,701","9,530","10,171",229,105,124,2.47,"2,456"
2010.1/4,중구,신당4동,"6,543","16,499","7,963","8,536","16,359","7,900","8,459",140,63,77,2.5,"1,898"
2010.1/4,중구,신당5동,"3,712","8,388","4,243","4,145","8,149","4,133","4,016",239,110,129,2.2,"1,041"
