기간,구분,성별,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
2010,영등포구,여자,16609,72,1033,2480,1851,1401,1058,1022,1094,1012,1153,1237,1283,1070,577,266
2010,동작구,계,40256,654,5304,10122,5858,3640,2399,1939,1861,1524,1656,1672,1513,1127,663,324
2010,동작구,남자,20383,372,2440,5827,3724,2287,1454,1130,881,588,532,436,341,213,99,59
2010,동작구,여자,19873,282,2864,4295,2134,1353,945,809,980,936,1124,1236,1172,914,564,265
2010,관악구,계,84423,1217,11368,24944,15303,8485,4922,3601,3123,2364,2383,2305,1986,1347,729,346
2010,관악구,남자,46540,616,4664,14212,10330,5910,3301,2223,1707,1083,876,669,498,271,118,62
2010,관악구,여자,37883,601,6704,10732,4973,2575,1621,1378,1416,1281,1507,1636,1488,1076,611,284
2010,서초구,계,29188,397,1977,5423,5122,3992,2604,1913,1742,1354,1232,1119,872,649,515,277
2010,서초구,남자,12682,208,618,2273,2642,2130,1376,943,805,540,381,322,199,120,69,56
2010,서초구,여자,16506,189,1359,3150,2480,1862,1228,970,937,814,851,797,673,529,446,221
2010,강남구,계,59528,535,4614,13929,12155,7808,4698,3357,2935,2127,1995,1650,1271,1083,853,518
2010,강남구,남자,24010,235,1075,4804,5770,3972,2531,1713,1353,800,602,486,295,162,117,95
2010,강남구,여자,35518,300,3539,9125,6385,3836,2167,1644,1582,1327,1393,1164,976,921,736,423
2010,송파구,계,42222,155,1682,7155,7167,5597,3863,3099,2953,2313,2131,1868,1631,1338,863,407
2010,송파구,남자,18658,75,495,2924,3916,3144,2129,1625,1417,877,723,569,362,223,122,57
2010,송파구,여자,23564,80,1187,4231,3251,2453,1734,1474,1536,1436,1408,1299,1269,1115,741,350
2010,강동구,계,31719,116,1238,4369,4375,3692,2915,2868,2762,2211,1900,1589,1393,1205,730,356
2010,강동구,남자,14886,58,386,2048,2520,2249,1719,1625,1396,973,683,524,337,196,110,62
2010,강동구,여자,16833,58,852,2321,1855,1443,1196,1243,1366,1238,1217,1065,1056,1009,620,294
,,,,,,,,,,,,,,,,,,
