기간,구분,성별,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
2016,합계,계,"1,138,860","14,937","101,069","169,534","152,434","107,045","88,976","83,763","74,817","79,744","70,085","58,448","51,275","43,075","27,040","16,618"
2016,합계,남자,"544,607","6,174","39,091","84,947","85,936","60,794","52,144","50,151","43,972","39,741","29,683","20,312","14,274","9,731","4,860","2,797"
2016,합계,여자,"594,253","8,763","61,978","84,587","66,498","46,251","36,832","33,612","30,845","40,003","40,402","38,136","37,001","33,344","22,180","13,821"
2016,종로구,계,"22,835",526,"2,973","3,547","2,486","1,723","1,497","1,633","1,544","1,537","1,379","1,072","1,067",894,579,378
2016,종로구,남자,11185,169,1214,1948,1345,900,859,949,970,829,716,439,367,264,127,89
2016,종로구,여자,11650,357,1759,1599,1141,823,638,684,574,708,663,633,700,630,452,289
2016,중구,계,19671,567,2061,2521,2140,1595,1461,1575,1391,1482,1272,1076,882,849,485,314
2016,중구,남자,9730,172,874,1328,1211,886,846,981,840,841,646,456,280,199,106,64
2016,중구,여자,9941,395,1187,1193,929,709,615,594,551,641,626,620,602,650,379,250
2016,용산구,계,31641,250,2591,4108,4316,3191,2771,2604,2090,2102,1938,1484,1450,1280,872,594
2016,용산구,남자,14511,69,494,1945,2425,1746,1547,1477,1222,1132,953,565,407,306,134,89
2016,용산구,여자,17130,181,2097,2163,1891,1445,1224,1127,868,970,985,919,1043,974,738,505
2016,성동구,계,37074,878,4276,5706,4400,3225,2824,2833,2561,2548,2033,1664,1513,1356,801,456
2016,성동구,남자,19129,423,2046,3241,2576,1900,1701,1772,1638,1431,957,554,400,287,126,77
2016,성동구,여자,17945,455,2230,2465,1824,1325,1123,1061,923,1117,1076,1110,1113,1069,675,379
2016,광진구,계,53169,805,6136,9929,8069,5156,3903,3680,3278,3292,2590,1939,1679,1353,828,532
2016,광진구,남자,25927,334,2403,4884,4358,2866,2320,2221,1966,1692,1092,731,479,332,160,89
2016,광진구,여자,27242,471,3733,5045,3711,2290,1583,1459,1312,1600,1498,1208,1200,1021,668,443
2016,동대문구,계,52650,1779,8594,8575,5331,3700,3150,3152,3127,3318,2986,2645,2407,2080,1156,650
2016,동대문구,남자,27103,745,3915,5165,3210,2195,2039,2009,1983,1821,1427,1027,710,517,231,109
2016,동대문구,여자,25547,1034,4679,3410,2121,1505,1111,1143,1144,1497,1559,1618,1697,1563,925,541
2016,중랑구,계,45717,232,1853,4027,4736,3969,3801,4326,4585,4829,3846,3054,2559,2010,1195,695
2016,중랑구,남자,23176,92,712,1922,2804,2400,2331,2804,2922,2619,1828,1180,727,495,232,108
2016,중랑구,여자,22541,140,1141,2105,1932,1569,1470,1522,1663,2210,2018,1874,1832,1515,963,587
2016,성북구,계,54117,1680,9914,8350,5096,3577,3287,3399,3024,3245,3023,2574,2544,2236,1356,812
2016,성북구,남자,24615,587,3642,4544,2862,2135,1884,2046,1713,1594,1232,845,656,481,238,156
2016,성북구,여자,29502,1093,6272,3806,2234,1442,1403,1353,1311,1651,1791,1729,1888,1755,1118,656
2016,강북구,계,36668,199,1814,3119,3258,2892,2804,3089,3211,3548,3232,2887,2618,2079,1251,667
2016,강북구,남자,16871,56,544,1550,1887,1704,1669,1853,1879,1765,1394,1006,714,473,264,113
2016,강북구,여자,19797,143,1270,1569,1371,1188,1135,1236,1332,1783,1838,1881,1904,1606,987,554
2016,도봉구,계,28296,245,1335,1794,2121,2138,2256,2518,2435,2899,2511,2204,1989,1836,1232,783
2016,도봉구,남자,12607,65,316,904,1254,1260,1327,1457,1427,1424,1042,764,560,405,235,167
2016,도봉구,여자,15689,180,1019,890,867,878,929,1061,1008,1475,1469,1440,1429,1431,997,616
2016,노원구,계,47641,1246,5310,3811,3361,3107,3347,3316,3205,4010,3924,3511,3407,3028,1911,1147
2016,노원구,남자,20427,596,2545,2238,1991,1758,1838,1795,1619,1734,1406,1008,818,600,303,178
2016,노원구,여자,27214,650,2765,1573,1370,1349,1509,1521,1586,2276,2518,2503,2589,2428,1608,969
2016,은평구,계,44440,207,1773,4511,5106,4227,3890,3667,3345,3938,3445,3049,2853,2340,1379,710
2016,은평구,남자,19908,82,613,2199,2774,2349,2188,2051,1853,1788,1399,951,738,536,248,139
2016,은평구,여자,24532,125,1160,2312,2332,1878,1702,1616,1492,2150,2046,2098,2115,1804,1131,571
2016,서대문구,계,43298,980,7930,7560,4599,3127,2559,2525,2258,2337,2204,1928,1812,1809,1077,593
2016,서대문구,남자,18918,283,2627,3838,2500,1732,1399,1434,1327,1129,900,645,441,387,176,100
2016,서대문구,여자,24380,697,5303,3722,2099,1395,1160,1091,931,1208,1304,1283,1371,1422,901,493
2016,마포구,계,53382,637,5998,9908,8997,5840,4454,3450,2533,2465,2154,1925,1840,1552,1051,578
2016,마포구,남자,24004,281,2285,4714,4624,2978,2323,1890,1372,1153,790,571,428,323,176,96
2016,마포구,여자,29378,356,3713,5194,4373,2862,2131,1560,1161,1312,1364,1354,1412,1229,875,482
2016,양천구,계,32878,166,1112,2674,3429,2893,2909,2978,2771,3174,2925,2356,1939,1692,1144,716
2016,양천구,남자,15374,89,486,1301,2022,1712,1653,1710,1601,1574,1209,843,548,342,180,104
2016,양천구,여자,17504,77,626,1373,1407,1181,1256,1268,1170,1600,1716,1513,1391,1350,964,612
2016,강서구,계,60988,279,2839,8418,8827,6333,5100,4440,4049,4872,4362,3534,2877,2368,1589,1101
2016,강서구,남자,28199,124,827,3607,5007,3659,2973,2606,2208,2294,1804,1252,845,526,268,199
2016,강서구,여자,32789,155,2012,4811,3820,2674,2127,1834,1841,2578,2558,2282,2032,1842,1321,902
2016,구로구,계,42055,243,2217,5664,5767,4175,3594,3409,3073,3252,2902,2462,2037,1658,1053,549
2016,구로구,남자,21128,109,721,2616,3523,2611,2330,2223,1900,1686,1262,908,607,371,176,85
2016,구로구,여자,20927,134,1496,3048,2244,1564,1264,1186,1173,1566,1640,1554,1430,1287,877,464
2016,금천구,계,31728,98,1289,4058,3931,2666,2603,2895,3100,2889,2422,1795,1529,1264,739,450
2016,금천구,남자,17721,42,473,2401,2682,1834,1719,1952,2028,1631,1186,729,489,325,154,76
2016,금천구,여자,14007,56,816,1657,1249,832,884,943,1072,1258,1236,1066,1040,939,585,374
2016,영등포구,계,49453,223,2646,8417,7904,4677,3868,3766,3481,3427,2895,2495,2064,1766,1150,674
2016,영등포구,남자,25060,107,805,3935,4715,2794,2399,2441,2212,1880,1417,986,635,415,214,105
2016,영등포구,여자,24393,116,1841,4482,3189,1883,1469,1325,1269,1547,1478,1509,1429,1351,936,569
2016,동작구,계,52954,1140,6760,10569,7978,4665,3629,3059,2524,2751,2397,2215,1960,1632,1047,628
2016,동작구,남자,25960,539,3037,5674,4570,2770,2159,1796,1434,1273,898,681,497,344,179,109
2016,동작구,여자,26994,601,3723,4895,3408,1895,1470,1263,1090,1478,1499,1534,1463,1288,868,519
2016,관악구,계,103972,1053,12313,25782,18425,10026,7119,5673,4635,4627,3986,3294,2836,2261,1205,737
2016,관악구,남자,55799,539,5349,13971,11369,6321,4768,3756,2889,2340,1686,1130,800,530,254,97
2016,관악구,여자,48173,514,6964,11811,7056,3705,2351,1917,1746,2287,2300,2164,2036,1731,951,640
2016,서초구,계,38357,502,2364,5653,6542,4759,3629,3156,2282,2265,2053,1586,1310,1014,727,515
2016,서초구,남자,16947,189,773,2408,3307,2441,1962,1685,1183,997,735,472,380,201,135,79
2016,서초구,여자,21410,313,1591,3245,3235,2318,1667,1471,1099,1268,1318,1114,930,813,592,436
2016,강남구,계,61998,572,3290,9652,11904,8747,5937,4585,3313,3181,2911,2484,2016,1518,1011,877
2016,강남구,남자,26157,278,1066,3759,5498,4046,2968,2479,1725,1365,997,772,568,331,167,138
2016,강남구,여자,35841,294,2224,5893,6406,4701,2969,2106,1588,1816,1914,1712,1448,1187,844,739
2016,송파구,계,54409,272,2228,6994,8846,6708,5169,4579,3560,4077,3390,2683,2200,1723,1192,788
2016,송파구,남자,24833,132,805,2966,4572,3517,2850,2612,1992,1871,1312,880,621,375,188,140
2016,송파구,여자,29576,140,1423,4028,4274,3191,2319,1967,1568,2206,2078,1803,1579,1348,1004,648
2016,강동구,계,39469,158,1453,4187,4865,3929,3415,3456,3442,3679,3305,2532,1887,1477,1010,674
2016,강동구,남자,19318,72,519,1889,2850,2280,2092,2152,2069,1878,1395,917,559,366,189,91
2016,강동구,여자,20151,86,934,2298,2015,1649,1323,1304,1373,1801,1910,1615,1328,1111,821,583
,,,,,,,,,,,,,,,,,,
