기간,구분,성별,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
2015,강서구,계,56990,361,2720,7308,8368,5957,5086,4260,4123,4705,3712,3282,2674,2136,1365,933
2015,강서구,남자,26767,159,888,3211,4909,3406,3008,2449,2317,2194,1503,1112,743,476,230,162
2015,강서구,여자,30223,202,1832,4097,3459,2551,2078,1811,1806,2511,2209,2170,1931,1660,1135,771
2015,구로구,계,40988,248,2042,5354,5913,4192,3914,3287,3113,3168,2529,2314,1918,1564,939,493
2015,구로구,남자,21088,105,695,2589,3607,2659,2570,2169,1951,1642,1108,862,558,330,161,82
2015,구로구,여자,19900,143,1347,2765,2306,1533,1344,1118,1162,1526,1421,1452,1360,1234,778,411
2015,금천구,계,31219,122,1304,3922,4098,2691,2751,2945,3105,2808,2121,1698,1490,1148,667,349
2015,금천구,남자,17699,61,484,2338,2852,1833,1829,2002,2027,1610,1025,696,463,292,131,56
2015,금천구,여자,13520,61,820,1584,1246,858,922,943,1078,1198,1096,1002,1027,856,536,293
2015,영등포구,계,48433,233,2584,7787,7624,4559,4187,3748,3642,3477,2694,2460,2022,1685,1095,636
2015,영등포구,남자,24963,97,876,3680,4607,2748,2639,2505,2342,1896,1256,1005,599,399,203,111
2015,영등포구,여자,23470,136,1708,4107,3017,1811,1548,1243,1300,1581,1438,1455,1423,1286,892,525
2015,동작구,계,53954,938,6382,11313,9296,4847,3682,2944,2568,2627,2180,2153,1922,1557,953,592
2015,동작구,남자,27184,420,2956,6069,5602,2947,2279,1758,1474,1195,786,650,472,309,172,95
2015,동작구,여자,26770,518,3426,5244,3694,1900,1403,1186,1094,1432,1394,1503,1450,1248,781,497
2015,관악구,계,100302,1094,11303,24445,18543,9745,7437,5439,4770,4428,3458,3152,2728,2045,1072,643
2015,관악구,남자,54471,572,4989,13326,11517,6223,5038,3609,2949,2243,1456,1059,736,451,200,103
2015,관악구,여자,45831,522,6314,11119,7026,3522,2399,1830,1821,2185,2002,2093,1992,1594,872,540
2015,서초구,계,37496,535,2383,5574,6574,4471,3862,2957,2323,2167,1795,1526,1277,913,645,494
2015,서초구,남자,17019,212,867,2458,3374,2330,2136,1628,1227,953,635,463,362,179,116,79
2015,서초구,여자,20477,323,1516,3116,3200,2141,1726,1329,1096,1214,1160,1063,915,734,529,415
2015,강남구,계,61897,535,3310,9687,12514,8530,6271,4385,3392,3144,2615,2398,1912,1399,978,827
2015,강남구,남자,26483,230,1138,3805,5691,4079,3254,2388,1804,1338,918,762,513,295,142,126
2015,강남구,여자,35414,305,2172,5882,6823,4451,3017,1997,1588,1806,1697,1636,1399,1104,836,701
2015,송파구,계,53481,357,2289,6837,8887,6426,5316,4388,3801,3996,3103,2598,2060,1619,1091,713
2015,송파구,남자,25147,162,889,3036,4624,3505,3050,2609,2148,1879,1207,840,577,322,186,113
2015,송파구,여자,28334,195,1400,3801,4263,2921,2266,1779,1653,2117,1896,1758,1483,1297,905,600
2015,강동구,계,39897,213,1585,4126,4965,3942,3775,3626,3642,3756,2949,2433,1835,1454,975,621
2015,강동구,남자,19820,98,617,1867,2868,2313,2354,2312,2183,1900,1257,909,552,352,157,81
2015,강동구,여자,20077,115,968,2259,2097,1629,1421,1314,1459,1856,1692,1524,1283,1102,818,540
,,,,,,,,,,,,,,,,,,
