기간,구분,성별,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
2015,합계,계,"1,115,744","13,721","93,068","165,410","157,667","105,540","94,750","82,138","77,390","77,679","62,250","56,374","50,095","39,946","24,674","15,042"
2015,합계,남자,"544,059","5,604","37,155","84,013","89,993","60,969","56,732","50,215","45,825","38,696","26,040","19,525","13,667","8,777","4,257","2,591"
2015,합계,여자,"571,685","8,117","55,913","81,397","67,674","44,571","38,018","31,923","31,565","38,983","36,210","36,849","36,428","31,169","20,417","12,451"
2015,종로구,계,"22,776",396,"2,455","3,634","2,754","1,739","1,707","1,651","1,625","1,534","1,299","1,107","1,120",802,577,376
2015,종로구,남자,11608,134,1122,2001,1540,951,983,982,1075,850,668,475,390,213,131,93
2015,종로구,여자,11168,262,1333,1633,1214,788,724,669,550,684,631,632,730,589,446,283
2015,중구,계,19161,282,1412,2512,2291,1586,1666,1615,1534,1499,1176,1031,938,810,476,333
2015,중구,남자,9934,83,606,1267,1382,946,1034,1057,970,871,607,449,291,213,88,70
2015,중구,여자,9227,199,806,1245,909,640,632,558,564,628,569,582,647,597,388,263
2015,용산구,계,31025,212,2105,3949,4414,3133,3055,2531,2236,2113,1682,1492,1439,1258,826,580
2015,용산구,남자,14556,62,537,1922,2418,1729,1723,1468,1304,1135,799,561,390,284,137,87
2015,용산구,여자,16469,150,1568,2027,1996,1404,1332,1063,932,978,883,931,1049,974,689,493
2015,성동구,계,35259,634,3313,5338,4443,3174,3038,2807,2633,2391,1861,1598,1540,1321,749,419
2015,성동구,남자,18401,291,1565,3000,2635,1930,1878,1829,1704,1311,839,569,399,263,117,71
2015,성동구,여자,16858,343,1748,2338,1808,1244,1160,978,929,1080,1022,1029,1141,1058,632,348
2015,광진구,계,54210,787,6116,10270,8746,5233,4235,3728,3446,3271,2365,1936,1629,1230,758,460
2015,광진구,남자,27186,311,2511,5140,4775,3035,2538,2329,2128,1719,1011,725,462,292,138,72
2015,광진구,여자,27024,476,3605,5130,3971,2198,1697,1399,1318,1552,1354,1211,1167,938,620,388
2015,동대문구,계,52884,1572,8404,8901,5762,3744,3450,3175,3215,3323,2765,2564,2451,1894,1081,583
2015,동대문구,남자,27587,654,3799,5436,3466,2246,2224,2103,2057,1817,1259,1010,742,457,204,113
2015,동대문구,여자,25297,918,4605,3465,2296,1498,1226,1072,1158,1506,1506,1554,1709,1437,877,470
2015,중랑구,계,45138,270,2025,3955,4921,3861,4161,4392,4680,4565,3408,2901,2504,1785,1079,631
2015,중랑구,남자,23317,111,782,1969,2959,2362,2639,2883,2983,2520,1597,1100,695,405,203,109
2015,중랑구,여자,21821,159,1243,1986,1962,1499,1522,1509,1697,2045,1811,1801,1809,1380,876,522
2015,성북구,계,52005,1250,8342,8242,5430,3654,3652,3272,3166,3204,2639,2549,2514,2070,1277,744
2015,성북구,남자,24024,426,3035,4470,3110,2153,2182,1973,1839,1558,1058,805,643,421,213,138
2015,성북구,여자,27981,824,5307,3772,2320,1501,1470,1299,1327,1646,1581,1744,1871,1649,1064,606
2015,강북구,계,35787,226,1788,2822,3418,2881,3046,3036,3242,3468,2811,2821,2628,1976,1058,566
2015,강북구,남자,16600,69,542,1368,2000,1702,1797,1847,1904,1741,1216,948,702,472,197,95
2015,강북구,여자,19187,157,1246,1454,1418,1179,1249,1189,1338,1727,1595,1873,1926,1504,861,471
2015,도봉구,계,27348,249,1475,1922,2238,2059,2422,2434,2471,2651,2146,2003,1928,1641,1099,610
2015,도봉구,남자,12315,71,383,978,1322,1200,1439,1438,1418,1279,880,693,514,371,203,126
2015,도봉구,여자,15033,178,1092,944,916,859,983,996,1053,1372,1266,1310,1414,1270,896,484
2015,노원구,계,46129,1147,4562,3968,3582,3232,3551,3217,3290,3890,3450,3394,3283,2730,1762,1071
2015,노원구,남자,20078,537,2198,2350,2128,1838,1997,1775,1691,1642,1190,970,779,542,264,177
2015,노원구,여자,26051,610,2364,1618,1454,1394,1554,1442,1599,2248,2260,2424,2504,2188,1498,894
2015,은평구,계,43936,287,1820,4407,5398,4227,4076,3603,3463,3832,3055,2991,2787,2152,1187,651
2015,은평구,남자,20042,113,645,2121,3009,2395,2371,2065,1891,1756,1186,961,719,478,193,139
2015,은평구,여자,23894,174,1175,2286,2389,1832,1705,1538,1572,2076,1869,2030,2068,1674,994,512
2015,서대문구,계,40160,873,6401,6928,4675,3008,2669,2415,2266,2179,1894,1844,1831,1673,953,551
2015,서대문구,남자,18156,231,2255,3708,2592,1718,1495,1384,1323,1044,771,583,443,355,160,94
2015,서대문구,여자,22004,642,4146,3220,2083,1290,1174,1031,943,1135,1123,1261,1388,1318,793,457
2015,마포구,계,52437,675,5605,9540,9106,5696,4620,3333,2706,2432,1943,1937,1814,1502,998,530
2015,마포구,남자,23877,277,2118,4578,4813,2949,2467,1875,1446,1104,711,543,434,302,160,100
2015,마포구,여자,28560,398,3487,4962,4293,2747,2153,1458,1260,1328,1232,1394,1380,1200,838,430
2015,양천구,계,32832,225,1343,2669,3707,2953,3121,2950,2938,3051,2600,2192,1851,1582,1014,636
2015,양천구,남자,15737,118,658,1326,2193,1772,1808,1778,1670,1499,1097,775,489,304,151,99
2015,양천구,여자,17095,107,685,1343,1514,1181,1313,1172,1268,1552,1503,1417,1362,1278,863,537
