,기간,자치구,동,세대,계_계,계_남,계_여,한국인_계,한국인_남,한국인_여,외국인_계,외국인_남,외국인_여,세대당인구,65세이상고령자
53,2008,성동구,소계,"128,658","322,679","161,744","160,935","314,212","157,602","156,610","8,467","4,142","4,325",2.44,"29,525"
54,2008,성동구,왕십리2동,"7,447","19,128","9,487","9,641","18,993","9,433","9,560",135,54,81,2.55,"1,749"
55,2008,성동구,마장동,"10,103","26,587","13,394","13,193","26,084","13,145","12,939",503,249,254,2.58,"2,456"
56,2008,성동구,사근동,"5,476","12,014","6,442","5,572","10,835","5,849","4,986","1,179",593,586,1.98,"1,106"
57,2008,성동구,행당1동,"7,790","18,438","9,082","9,356","18,229","8,987","9,242",209,95,114,2.34,"1,799"
58,2008,성동구,행당2동,"8,943","25,406","12,277","13,129","25,334","12,247","13,087",72,30,42,2.83,"2,117"
59,2008,성동구,응봉동,"6,525","17,785","8,534","9,251","17,693","8,496","9,197",92,38,54,2.71,"1,665"
60,2008,성동구,금호1가동,"6,814","17,706","8,626","9,080","17,526","8,550","8,976",180,76,104,2.57,"1,724"
61,2008,성동구,금호4가동,"6,510","15,846","7,843","8,003","15,568","7,715","7,853",278,128,150,2.39,"1,475"
62,2008,성동구,성수1가1동,"7,448","19,368","9,950","9,418","18,690","9,592","9,098",678,358,320,2.51,"1,391"
63,2008,성동구,성수1가2동,"8,253","19,703","9,968","9,735","19,400","9,819","9,581",303,149,154,2.35,"1,510"
64,2008,성동구,성수2가1동,"8,404","21,151","10,962","10,189","19,995","10,375","9,620","1,156",587,569,2.38,"1,672"
65,2008,성동구,성수2가3동,"5,166","12,427","6,381","6,046","12,033","6,147","5,886",394,234,160,2.33,"1,091"
66,2008,성동구,송정동,"5,505","12,470","6,600","5,870","11,978","6,374","5,604",492,226,266,2.18,"1,011"
67,2008,성동구,용답동,"7,492","18,218","9,390","8,828","17,238","8,931","8,307",980,459,521,2.3,"1,635"
68,2008,성동구,왕십리도선동,"6,436","15,790","7,986","7,804","14,959","7,588","7,371",831,398,433,2.32,"1,709"
69,2008,성동구,금호2.3가동,"9,564","23,827","11,643","12,184","23,519","11,504","12,015",308,139,169,2.46,"2,532"
70,2008,성동구,옥수동,"10,782","26,815","13,179","13,636","26,138","12,850","13,288",677,329,348,2.42,"2,883"
71,2008,광진구,소계,"155,676","387,254","191,676","195,578","375,482","186,237","189,245","11,772","5,439","6,333",2.41,"28,702"
72,2008,광진구,화양동,"11,898","23,695","11,656","12,039","21,333","10,531","10,802","2,362","1,125","1,237",1.79,"1,641"
73,2008,광진구,군자동,"9,943","22,500","11,308","11,192","21,766","10,970","10,796",734,338,396,2.19,"1,821"
74,2008,광진구,중곡1동,"7,437","17,728","8,738","8,990","16,991","8,432","8,559",737,306,431,2.28,"1,395"
75,2008,광진구,중곡2동,"9,205","23,061","11,337","11,724","22,880","11,273","11,607",181,64,117,2.49,"1,710"
76,2008,광진구,중곡3동,"8,304","20,223","10,158","10,065","20,059","10,085","9,974",164,73,91,2.42,"1,556"
77,2008,광진구,중곡4동,"12,288","32,503","16,147","16,356","32,365","16,095","16,270",138,52,86,2.63,"2,531"
78,2008,광진구,능동,"4,997","10,978","5,336","5,642","10,774","5,239","5,535",204,97,107,2.16,920
79,2008,광진구,구의1동,"10,822","24,356","11,810","12,546","23,265","11,308","11,957","1,091",502,589,2.15,"1,839"
80,2008,광진구,구의2동,"10,351","26,785","13,298","13,487","26,560","13,220","13,340",225,78,147,2.57,"2,289"
81,2008,광진구,구의3동,"11,465","30,122","14,667","15,455","29,984","14,608","15,376",138,59,79,2.62,"2,189"
82,2008,광진구,광장동,"12,201","36,464","17,772","18,692","36,127","17,609","18,518",337,163,174,2.96,"2,326"
83,2008,광진구,자양1동,"11,002","26,456","13,097","13,359","24,804","12,344","12,460","1,652",753,899,2.25,"2,046"
84,2008,광진구,자양2동,"11,422","29,398","14,812","14,586","29,237","14,738","14,499",161,74,87,2.56,"2,065"
85,2008,광진구,자양3동,"11,456","32,199","16,002","16,197","31,680","15,758","15,922",519,244,275,2.77,"1,902"
86,2008,광진구,자양4동,"12,885","30,786","15,538","15,248","27,657","14,027","13,630","3,129","1,511","1,618",2.15,"2,472"
87,2008,동대문구,소계,"156,267","381,663","191,888","189,775","370,250","186,744","183,506","11,413","5,144","6,269",2.37,"38,563"
