Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2009.2/4,영등포구,신길7동,"7,566","20,549","10,300","10,249","19,731","9,902","9,829",818,398,420,2.61,"1,708"
2009.2/4,영등포구,대림1동,"7,567","20,548","10,360","10,188","17,792","8,973","8,819","2,756","1,387","1,369",2.35,"1,836"
2009.2/4,영등포구,대림2동,"8,817","27,888","14,089","13,799","19,710","9,854","9,856","8,178","4,235","3,943",2.24,"2,226"
2009.2/4,영등포구,대림3동,"12,104","33,747","17,079","16,668","30,216","15,288","14,928","3,531","1,791","1,740",2.5,"2,534"
2009.2/4,영등포구,영등포본동,"11,082","28,498","14,475","14,023","26,022","13,188","12,834","2,476","1,287","1,189",2.35,"2,427"
2009.2/4,영등포구,영등포동,"9,513","19,233","10,701","8,532","18,306","10,248","8,058",927,453,474,1.92,"2,184"
2009.2/4,영등포구,도림동,"9,800","25,033","12,713","12,320","21,376","10,870","10,506","3,657","1,843","1,814",2.18,"2,185"
2009.2/4,영등포구,문래동,"11,626","32,097","16,101","15,996","31,778","15,917","15,861",319,184,135,2.73,"2,743"
2009.2/4,동작구,소계,"163,953","411,575","202,824","208,751","401,126","198,001","203,125","10,449","4,823","5,626",2.45,"39,419"
2009.2/4,동작구,노량진2동,"8,037","18,021","8,966","9,055","17,178","8,548","8,630",843,418,425,2.14,"1,890"
2009.2/4,동작구,상도1동,"16,619","40,236","19,761","20,475","39,229","19,359","19,870","1,007",402,605,2.36,"3,910"
2009.2/4,동작구,상도2동,"10,889","26,391","13,008","13,383","26,164","12,900","13,264",227,108,119,2.4,"2,605"
2009.2/4,동작구,상도3동,"9,783","24,703","12,135","12,568","24,526","12,060","12,466",177,75,102,2.51,"2,571"
2009.2/4,동작구,상도4동,"11,892","30,230","15,008","15,222","30,002","14,908","15,094",228,100,128,2.52,"2,991"
2009.2/4,동작구,사당1동,"10,527","23,513","11,331","12,182","23,074","11,120","11,954",439,211,228,2.19,"1,908"
2009.2/4,동작구,사당3동,"9,995","25,788","12,768","13,020","25,493","12,616","12,877",295,152,143,2.55,"2,439"
2009.2/4,동작구,사당4동,"6,342","15,557","7,638","7,919","15,425","7,589","7,836",132,49,83,2.43,"1,453"
2009.2/4,동작구,사당5동,"6,341","15,996","8,010","7,986","15,894","7,962","7,932",102,48,54,2.51,"1,327"
2009.2/4,동작구,대방동,"14,602","39,650","19,478","20,172","39,256","19,295","19,961",394,183,211,2.69,"3,465"
2009.2/4,동작구,신대방1동,"10,149","30,001","14,761","15,240","26,723","13,131","13,592","3,278","1,630","1,648",2.63,"2,383"
2009.2/4,동작구,신대방2동,"7,715","20,514","9,998","10,516","20,285","9,899","10,386",229,99,130,2.63,"1,879"
2009.2/4,동작구,흑석동,"14,790","34,102","16,828","17,274","33,206","16,486","16,720",896,342,554,2.25,"3,925"
2009.2/4,동작구,노량진1동,"13,911","34,966","17,535","17,431","34,102","17,131","16,971",864,404,460,2.45,"3,687"
2009.2/4,동작구,사당2동,"12,361","31,907","15,599","16,308","30,569","14,997","15,572","1,338",602,736,2.47,"2,986"
2009.2/4,관악구,소계,"242,315","552,354","280,174","272,180","534,238","271,522","262,716","18,116","8,652","9,464",2.2,"46,410"
2009.2/4,관악구,보라매동,"11,471","27,519","13,735","13,784","27,222","13,609","13,613",297,126,171,2.37,"2,523"
2009.2/4,관악구,청림동,"6,766","17,634","8,689","8,945","17,552","8,653","8,899",82,36,46,2.59,"1,591"
2009.2/4,관악구,행운동,"14,982","30,824","15,396","15,428","30,482","15,240","15,242",342,156,186,2.03,"2,502"
2009.2/4,관악구,낙성대동,"9,519","18,302","9,422","8,880","17,837","9,202","8,635",465,220,245,1.87,"1,345"
2009.2/4,관악구,중앙동,"7,069","15,042","7,524","7,518","14,642","7,331","7,311",400,193,207,2.07,"1,448"
2009.2/4,관악구,인헌동,"13,284","29,454","14,622","14,832","29,183","14,504","14,679",271,118,153,2.2,"2,421"
2009.2/4,관악구,남현동,"7,903","18,165","8,897","9,268","17,881","8,755","9,126",284,142,142,2.26,"1,535"
2009.2/4,관악구,서원동,"12,149","28,461","14,221","14,240","24,406","12,263","12,143","4,055","1,958","2,097",2.01,"2,025"
2009.2/4,관악구,신원동,"9,499","21,492","10,639","10,853","20,749","10,281","10,468",743,358,385,2.18,"1,932"
2009.2/4,관악구,서림동,"13,104","25,158","13,830","11,328","24,956","13,741","11,215",202,89,113,1.9,"2,003"
2009.2/4,관악구,신사동,"12,092","28,102","14,107","13,995","25,961","13,030","12,931","2,141","1,077","1,064",2.15,"2,030"
2009.2/4,관악구,신림동,"10,801","18,045","8,990","9,055","17,604","8,796","8,808",441,194,247,1.63,"1,175"
2009.2/4,관악구,난향동,"6,781","18,449","9,193","9,256","18,316","9,115","9,201",133,78,55,2.7,"1,485"
2009.2/4,관악구,조원동,"8,305","20,047","10,148","9,899","17,989","9,101","8,888","2,058","1,047","1,011",2.17,"1,749"
2009.2/4,관악구,대학동,"13,634","23,643","14,107","9,536","23,246","13,914","9,332",397,193,204,1.71,"1,672"
2009.2/4,관악구,은천동,"14,972","40,631","20,244","20,387","37,484","18,791","18,693","3,147","1,453","1,694",2.5,"3,378"
2009.2/4,관악구,성현동,"12,818","35,577","17,641","17,936","35,410","17,575","17,835",167,66,101,2.76,"3,353"
2009.2/4,관악구,청룡동,"17,581","35,323","17,646","17,677","33,732","16,896","16,836","1,591",750,841,1.92,"2,839"
