Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2009.4/4,합계,합계,"4,116,660","10,464,051","5,181,359","5,282,692","10,208,302","5,059,269","5,149,033","255,749","122,090","133,659",2.48,"942,946"
2009.4/4,종로구,소계,"74,315","177,543","88,432","89,111","168,603","84,257","84,346","8,940","4,175","4,765",2.27,"20,753"
2009.4/4,종로구,사직동,"4,476","10,464","4,945","5,519","10,029","4,732","5,297",435,213,222,2.24,"1,389"
2009.4/4,종로구,삼청동,"1,630","3,717","1,811","1,906","3,548","1,715","1,833",169,96,73,2.18,568
2009.4/4,종로구,부암동,"4,508","11,602","5,744","5,858","11,330","5,627","5,703",272,117,155,2.51,"1,448"
2009.4/4,종로구,평창동,"7,057","19,780","9,543","10,237","19,384","9,355","10,029",396,188,208,2.75,"2,362"
2009.4/4,종로구,무악동,"3,179","8,714","4,193","4,521","8,615","4,154","4,461",99,39,60,2.71,971
2009.4/4,종로구,교남동,"4,268","9,145","4,500","4,645","8,936","4,404","4,532",209,96,113,2.09,"1,141"
2009.4/4,종로구,가회동,"2,458","5,948","2,858","3,090","5,749","2,768","2,981",199,90,109,2.34,800
2009.4/4,종로구,종로1.2.3.4가동,"4,576","8,575","4,874","3,701","7,306","4,215","3,091","1,269",659,610,1.6,"1,277"
2009.4/4,종로구,종로5·6가동,"3,017","6,618","3,500","3,118","6,287","3,366","2,921",331,134,197,2.08,877
2009.4/4,종로구,이화동,"4,448","9,984","4,834","5,150","9,296","4,510","4,786",688,324,364,2.09,976
2009.4/4,종로구,혜화동,"5,574","12,965","6,294","6,671","12,136","5,936","6,200",829,358,471,2.18,"1,330"
2009.4/4,종로구,명륜3가동,"3,618","7,320","3,872","3,448","6,467","3,506","2,961",853,366,487,1.79,836
2009.4/4,종로구,창신1동,"3,465","8,495","4,314","4,181","6,915","3,575","3,340","1,580",739,841,2,855
2009.4/4,종로구,창신2동,"5,051","12,113","6,151","5,962","11,651","5,926","5,725",462,225,237,2.31,"1,292"
2009.4/4,종로구,창신3동,"3,158","8,683","4,369","4,314","8,601","4,334","4,267",82,35,47,2.72,833
2009.4/4,종로구,숭인1동,"3,170","8,131","3,999","4,132","7,482","3,697","3,785",649,302,347,2.36,761
2009.4/4,종로구,숭인2동,"4,557","9,270","4,775","4,495","9,102","4,698","4,404",168,77,91,2,"1,149"
2009.4/4,종로구,청운효자동,"6,105","16,019","7,856","8,163","15,769","7,739","8,030",250,117,133,2.58,"1,888"
2009.4/4,중구,소계,"58,249","137,861","69,046","68,815","129,465","65,025","64,440","8,396","4,021","4,375",2.22,"16,008"
2009.4/4,중구,소공동,578,"1,572",837,735,"1,095",561,534,477,276,201,1.89,145
2009.4/4,중구,회현동,"2,671","5,210","2,916","2,294","4,429","2,475","1,954",781,441,340,1.66,779
2009.4/4,중구,명동,"1,409","3,508","1,672","1,836","2,892","1,302","1,590",616,370,246,2.05,492
2009.4/4,중구,필동,"2,310","5,058","2,666","2,392","4,551","2,433","2,118",507,233,274,1.97,630
2009.4/4,중구,장충동,"2,945","6,329","3,167","3,162","5,742","2,917","2,825",587,250,337,1.95,662
2009.4/4,중구,광희동,"2,782","6,256","3,296","2,960","5,165","2,795","2,370","1,091",501,590,1.86,740
2009.4/4,중구,을지로동,"1,270","2,045","1,249",796,"1,906","1,182",724,139,67,72,1.5,331
2009.4/4,중구,신당1동,"4,106","10,417","5,202","5,215","8,408","4,317","4,091","2,009",885,"1,124",2.05,"1,015"
2009.4/4,중구,신당2동,"7,304","17,243","8,482","8,761","16,964","8,353","8,611",279,129,150,2.32,"1,866"
2009.4/4,중구,신당3동,"7,960","19,873","9,607","10,266","19,655","9,506","10,149",218,101,117,2.47,"2,414"
2009.4/4,중구,신당4동,"6,558","16,578","8,028","8,550","16,418","7,955","8,463",160,73,87,2.5,"1,871"
2009.4/4,중구,신당5동,"3,684","8,360","4,219","4,141","8,132","4,114","4,018",228,105,123,2.21,"1,026"
2009.4/4,중구,신당6동,"3,653","9,791","4,798","4,993","9,666","4,748","4,918",125,50,75,2.65,"1,040"
2009.4/4,중구,황학동,"5,502","12,691","6,446","6,245","11,864","6,068","5,796",827,378,449,2.16,"1,341"
2009.4/4,중구,중림동,"5,517","12,930","6,461","6,469","12,578","6,299","6,279",352,162,190,2.28,"1,656"
2009.4/4,용산구,소계,"107,456","251,200","123,528","127,672","238,708","116,954","121,754","12,492","6,574","5,918",2.22,"28,167"
2009.4/4,용산구,후암동,"8,783","20,509","10,234","10,275","19,934","9,964","9,970",575,270,305,2.27,"2,271"
2009.4/4,용산구,용산2가동,"6,018","14,076","7,004","7,072","13,133","6,464","6,669",943,540,403,2.18,"1,595"
2009.4/4,용산구,남영동,"4,619","8,025","4,659","3,366","7,474","4,393","3,081",551,266,285,1.62,"1,005"
2009.4/4,용산구,원효로2동,"6,150","16,272","7,821","8,451","16,063","7,730","8,333",209,91,118,2.61,"1,682"
2009.4/4,용산구,효창동,"4,195","10,802","5,287","5,515","10,666","5,227","5,439",136,60,76,2.54,"1,223"
2009.4/4,용산구,용문동,"4,803","13,022","6,384","6,638","12,846","6,300","6,546",176,84,92,2.67,"1,383"
2009.4/4,용산구,이촌1동,"9,932","28,914","13,761","15,153","27,209","12,790","14,419","1,705",971,734,2.74,"3,025"
2009.4/4,용산구,이촌2동,"4,361","10,492","5,062","5,430","10,442","5,039","5,403",50,23,27,2.39,"1,307"
2009.4/4,용산구,이태원1동,"4,124","10,103","4,942","5,161","8,184","3,846","4,338","1,919","1,096",823,1.98,"1,186"
2009.4/4,용산구,이태원2동,"5,183","11,493","5,502","5,991","11,080","5,261","5,819",413,241,172,2.14,"1,589"
2009.4/4,용산구,서빙고동,"4,829","11,820","5,724","6,096","11,349","5,496","5,853",471,228,243,2.35,"1,637"
2009.4/4,용산구,보광동,"8,869","19,281","9,432","9,849","18,408","8,977","9,431",873,455,418,2.08,"2,116"
2009.4/4,용산구,청파동,"11,539","24,553","11,930","12,623","23,798","11,627","12,171",755,303,452,2.06,"2,431"
2009.4/4,용산구,원효로1동,"4,638","10,453","5,244","5,209","10,188","5,111","5,077",265,133,132,2.2,"1,086"
2009.4/4,용산구,한강로동,"7,703","16,394","8,234","8,160","15,536","7,796","7,740",858,438,420,2.02,"1,974"
2009.4/4,용산구,한남동,"11,710","24,991","12,308","12,683","22,398","10,933","11,465","2,593","1,375","1,218",1.91,"2,657"
2009.4/4,성동구,소계,"126,670","316,064","158,203","157,861","308,058","154,333","153,725","8,006","3,870","4,136",2.43,"30,300"
2009.4/4,성동구,왕십리2동,"7,522","19,265","9,534","9,731","19,152","9,489","9,663",113,45,68,2.55,"1,831"
2009.4/4,성동구,마장동,"10,152","26,406","13,327","13,079","25,921","13,077","12,844",485,250,235,2.55,"2,575"
2009.4/4,성동구,사근동,"5,579","11,800","6,293","5,507","10,699","5,761","4,938","1,101",532,569,1.92,"1,119"
2009.4/4,성동구,행당1동,"7,676","18,333","9,009","9,324","18,084","8,902","9,182",249,107,142,2.36,"1,868"
2009.4/4,성동구,행당2동,"8,728","24,886","12,011","12,875","24,817","11,983","12,834",69,28,41,2.84,"2,206"
2009.4/4,성동구,응봉동,"6,537","17,738","8,522","9,216","17,662","8,487","9,175",76,35,41,2.7,"1,719"
2009.4/4,성동구,금호1가동,"6,318","16,442","8,016","8,426","16,279","7,945","8,334",163,71,92,2.58,"1,719"
2009.4/4,성동구,금호4가동,"6,428","15,564","7,668","7,896","15,326","7,558","7,768",238,110,128,2.38,"1,543"
2009.4/4,성동구,성수1가1동,"7,393","19,011","9,762","9,249","18,348","9,405","8,943",663,357,306,2.48,"1,437"
2009.4/4,성동구,성수1가2동,"8,166","19,289","9,794","9,495","18,989","9,648","9,341",300,146,154,2.33,"1,571"
2009.4/4,성동구,성수2가1동,"9,059","22,303","11,498","10,805","21,186","10,946","10,240","1,117",552,565,2.34,"1,841"
2009.4/4,성동구,성수2가3동,"5,263","12,396","6,365","6,031","12,040","6,141","5,899",356,224,132,2.29,"1,128"
2009.4/4,성동구,송정동,"5,690","13,000","6,803","6,197","12,495","6,583","5,912",505,220,285,2.2,"1,096"
2009.4/4,성동구,용답동,"7,457","18,121","9,381","8,740","17,106","8,914","8,192","1,015",467,548,2.29,"1,721"
2009.4/4,성동구,왕십리도선동,"5,559","13,682","6,853","6,829","12,998","6,536","6,462",684,317,367,2.34,"1,547"
2009.4/4,성동구,금호2.3가동,"9,124","22,804","11,102","11,702","22,533","10,984","11,549",271,118,153,2.47,"2,597"
2009.4/4,성동구,옥수동,"10,019","25,024","12,265","12,759","24,423","11,974","12,449",601,291,310,2.44,"2,782"
2009.4/4,광진구,소계,"156,140","386,513","190,967","195,546","373,998","185,190","188,808","12,515","5,777","6,738",2.4,"30,288"
2009.4/4,광진구,화양동,"12,014","23,576","11,571","12,005","21,003","10,360","10,643","2,573","1,211","1,362",1.75,"1,679"
2009.4/4,광진구,군자동,"10,024","22,538","11,330","11,208","21,761","10,949","10,812",777,381,396,2.17,"1,960"
2009.4/4,광진구,중곡1동,"7,575","17,705","8,746","8,959","17,007","8,442","8,565",698,304,394,2.25,"1,481"
