Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2008.3/4,합계,합계,"4,089,495","10,457,601","5,187,173","5,270,428","10,198,705","5,062,194","5,136,511","258,896","124,979","133,917",2.49,"888,577"
2008.3/4,종로구,소계,"74,471","179,330","89,522","89,808","170,348","85,249","85,099","8,982","4,273","4,709",2.29,"19,997"
2008.3/4,종로구,청운동,"1,677","4,861","2,480","2,381","4,718","2,411","2,307",143,69,74,2.81,490
2008.3/4,종로구,효자동,"4,807","12,131","5,846","6,285","12,028","5,814","6,214",103,32,71,2.5,"1,433"
2008.3/4,종로구,사직동,"4,360","10,316","4,895","5,421","9,803","4,639","5,164",513,256,257,2.25,"1,333"
2008.3/4,종로구,삼청동,"1,712","3,867","1,885","1,982","3,736","1,810","1,926",131,75,56,2.18,591
2008.3/4,종로구,부암동,"4,595","11,937","5,904","6,033","11,582","5,745","5,837",355,159,196,2.52,"1,413"
2008.3/4,종로구,평창동,"7,035","19,730","9,608","10,122","19,334","9,419","9,915",396,189,207,2.75,"2,285"
2008.3/4,종로구,무악동,"3,158","8,700","4,199","4,501","8,624","4,163","4,461",76,36,40,2.73,867
2008.3/4,종로구,교남동,"4,398","9,352","4,580","4,772","9,110","4,476","4,634",242,104,138,2.07,"1,068"
2008.3/4,종로구,가회동,"2,500","6,059","2,934","3,125","5,852","2,841","3,011",207,93,114,2.34,790
2008.3/4,종로구,종로1.2.3.4가동,"4,396","8,557","4,762","3,795","7,207","4,059","3,148","1,350",703,647,1.64,"1,247"
2008.3/4,종로구,종로5·6가동,"3,060","6,923","3,662","3,261","6,546","3,497","3,049",377,165,212,2.14,852
2008.3/4,종로구,이화동,"4,530","10,520","5,078","5,442","9,577","4,629","4,948",943,449,494,2.11,924
2008.3/4,종로구,혜화동,"5,611","12,902","6,300","6,602","12,237","6,000","6,237",665,300,365,2.18,"1,252"
2008.3/4,종로구,명륜3가동,"3,741","7,444","4,016","3,428","6,768","3,720","3,048",676,296,380,1.81,793
2008.3/4,종로구,창신1동,"3,489","8,598","4,392","4,206","7,099","3,660","3,439","1,499",732,767,2.03,855
2008.3/4,종로구,창신2동,"5,097","12,372","6,284","6,088","11,933","6,078","5,855",439,206,233,2.34,"1,237"
2008.3/4,종로구,창신3동,"3,175","8,774","4,423","4,351","8,687","4,383","4,304",87,40,47,2.74,808
2008.3/4,종로구,숭인1동,"3,070","7,898","3,902","3,996","7,271","3,602","3,669",627,300,327,2.37,737
2008.3/4,종로구,숭인2동,"4,060","8,389","4,372","4,017","8,236","4,303","3,933",153,69,84,2.03,"1,022"
2008.3/4,중구,소계,"58,288","139,438","69,569","69,869","130,879","65,363","65,516","8,559","4,206","4,353",2.25,"15,403"
2008.3/4,중구,소공동,539,"1,727",933,794,"1,031",526,505,696,407,289,1.91,134
2008.3/4,중구,회현동,"2,632","5,339","2,943","2,396","4,529","2,473","2,056",810,470,340,1.72,773
2008.3/4,중구,명동,"1,314","3,438","1,608","1,830","2,811","1,232","1,579",627,376,251,2.14,466
2008.3/4,중구,필동,"2,301","5,090","2,675","2,415","4,660","2,456","2,204",430,219,211,2.03,620
2008.3/4,중구,장충동,"2,965","6,344","3,136","3,208","5,864","2,944","2,920",480,192,288,1.98,661
2008.3/4,중구,광희동,"2,688","5,968","3,163","2,805","4,973","2,691","2,282",995,472,523,1.85,720
2008.3/4,중구,을지로동,"1,187","1,937","1,131",806,"1,811","1,079",732,126,52,74,1.53,322
2008.3/4,중구,신당1동,"3,993","10,378","5,153","5,225","8,318","4,221","4,097","2,060",932,"1,128",2.08,957
2008.3/4,중구,신당2동,"7,112","17,068","8,380","8,688","16,786","8,247","8,539",282,133,149,2.36,"1,736"
2008.3/4,중구,신당3동,"8,124","20,211","9,771","10,440","19,965","9,656","10,309",246,115,131,2.46,"2,260"
2008.3/4,중구,신당4동,"6,458","16,561","8,037","8,524","16,382","7,958","8,424",179,79,100,2.54,"1,769"
2008.3/4,중구,신당5동,"4,015","9,192","4,629","4,563","8,910","4,502","4,408",282,127,155,2.22,"1,078"
2008.3/4,중구,신당6동,"4,257","11,081","5,460","5,621","10,915","5,383","5,532",166,77,89,2.56,"1,121"
2008.3/4,중구,황학동,"5,083","11,801","5,976","5,825","10,981","5,584","5,397",820,392,428,2.16,"1,194"
2008.3/4,중구,중림동,"5,620","13,303","6,574","6,729","12,943","6,411","6,532",360,163,197,2.3,"1,592"
2008.3/4,용산구,소계,"106,641","250,775","123,444","127,331","237,821","116,622","121,199","12,954","6,822","6,132",2.23,"26,912"
2008.3/4,용산구,후암동,"8,852","20,715","10,318","10,397","20,109","10,046","10,063",606,272,334,2.27,"2,153"
2008.3/4,용산구,용산2가동,"5,926","14,232","7,149","7,083","13,287","6,588","6,699",945,561,384,2.24,"1,540"
2008.3/4,용산구,남영동,"4,502","7,989","4,545","3,444","7,460","4,301","3,159",529,244,285,1.66,963
2008.3/4,용산구,원효로2동,"6,239","16,512","7,916","8,596","16,277","7,812","8,465",235,104,131,2.61,"1,631"
2008.3/4,용산구,효창동,"4,192","10,787","5,318","5,469","10,644","5,253","5,391",143,65,78,2.54,"1,165"
2008.3/4,용산구,용문동,"4,783","12,908","6,351","6,557","12,715","6,260","6,455",193,91,102,2.66,"1,301"
2008.3/4,용산구,이촌1동,"9,879","28,890","13,783","15,107","26,988","12,732","14,256","1,902","1,051",851,2.73,"2,929"
2008.3/4,용산구,이촌2동,"4,401","10,565","5,053","5,512","10,519","5,029","5,490",46,24,22,2.39,"1,229"
2008.3/4,용산구,이태원1동,"4,326","10,428","5,133","5,295","8,505","4,025","4,480","1,923","1,108",815,1.97,"1,200"
2008.3/4,용산구,이태원2동,"5,209","11,678","5,580","6,098","11,320","5,373","5,947",358,207,151,2.17,"1,529"
2008.3/4,용산구,서빙고동,"4,828","11,927","5,824","6,103","11,419","5,578","5,841",508,246,262,2.37,"1,581"
2008.3/4,용산구,보광동,"8,947","19,437","9,455","9,982","18,622","9,028","9,594",815,427,388,2.08,"2,059"
2008.3/4,용산구,청파동,"11,235","24,221","11,775","12,446","23,438","11,441","11,997",783,334,449,2.09,"2,322"
2008.3/4,용산구,원효로1동,"4,676","10,625","5,386","5,239","10,258","5,169","5,089",367,217,150,2.19,"1,046"
2008.3/4,용산구,한강로동,"7,200","15,043","7,595","7,448","14,144","7,167","6,977",899,428,471,1.96,"1,771"
2008.3/4,용산구,한남동,"11,446","24,818","12,263","12,555","22,116","10,820","11,296","2,702","1,443","1,259",1.93,"2,493"
2008.3/4,성동구,소계,"131,725","330,698","165,792","164,906","321,891","161,526","160,365","8,807","4,266","4,541",2.44,"29,942"
2008.3/4,성동구,왕십리2동,"7,433","19,099","9,456","9,643","18,933","9,390","9,543",166,66,100,2.55,"1,708"
2008.3/4,성동구,마장동,"10,082","26,571","13,391","13,180","26,046","13,141","12,905",525,250,275,2.58,"2,438"
2008.3/4,성동구,사근동,"5,481","12,127","6,489","5,638","10,918","5,883","5,035","1,209",606,603,1.99,"1,104"
2008.3/4,성동구,행당1동,"7,784","18,417","9,110","9,307","18,185","9,001","9,184",232,109,123,2.34,"1,764"
2008.3/4,성동구,행당2동,"8,987","25,493","12,322","13,171","25,416","12,293","13,123",77,29,48,2.83,"2,084"
2008.3/4,성동구,응봉동,"6,519","17,757","8,522","9,235","17,666","8,485","9,181",91,37,54,2.71,"1,649"
2008.3/4,성동구,금호1가동,"7,080","18,479","9,020","9,459","18,300","8,948","9,352",179,72,107,2.58,"1,785"
2008.3/4,성동구,금호4가동,"6,519","15,781","7,830","7,951","15,513","7,709","7,804",268,121,147,2.38,"1,466"
2008.3/4,성동구,성수1가1동,"7,488","19,447","9,992","9,455","18,773","9,645","9,128",674,347,327,2.51,"1,385"
2008.3/4,성동구,성수1가2동,"8,295","19,781","10,020","9,761","19,482","9,869","9,613",299,151,148,2.35,"1,490"
2008.3/4,성동구,성수2가1동,"8,408","21,226","11,015","10,211","20,074","10,433","9,641","1,152",582,570,2.39,"1,658"
2008.3/4,성동구,성수2가3동,"5,187","12,539","6,415","6,124","12,131","6,187","5,944",408,228,180,2.34,"1,075"
2008.3/4,성동구,송정동,"5,456","12,453","6,571","5,882","11,953","6,340","5,613",500,231,269,2.19,991
2008.3/4,성동구,용답동,"7,483","18,256","9,397","8,859","17,230","8,917","8,313","1,026",480,546,2.3,"1,631"
2008.3/4,성동구,왕십리도선동,"7,521","18,523","9,362","9,161","17,585","8,910","8,675",938,452,486,2.34,"1,976"
2008.3/4,성동구,금호2.3가동,"10,196","25,350","12,398","12,952","25,024","12,250","12,774",326,148,178,2.45,"2,630"
2008.3/4,성동구,옥수동,"11,806","29,399","14,482","14,917","28,662","14,125","14,537",737,357,380,2.43,"3,108"
2008.3/4,광진구,소계,"155,629","388,527","192,313","196,214","376,821","186,874","189,947","11,706","5,439","6,267",2.42,"28,391"
2008.3/4,광진구,화양동,"11,864","23,709","11,686","12,023","21,401","10,592","10,809","2,308","1,094","1,214",1.8,"1,619"
2008.3/4,광진구,군자동,"9,909","22,477","11,297","11,180","21,795","10,981","10,814",682,316,366,2.2,"1,788"
