기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2013.1/4,총계,총계,"4,182,314","10,437,737","5,155,053","5,282,684","10,192,057","5,037,288","5,154,769","245,680","117,765","127,915",2.44,"1,130,508"
2013.1/4,종로구,소계,"74,581","170,681","84,719","85,962","162,777","81,033","81,744","7,904","3,686","4,218",2.18,"23,853"
2013.1/4,종로구,사직동,"4,535","10,436","4,915","5,521","9,996","4,653","5,343",440,262,178,2.2,"1,640"
2013.1/4,종로구,삼청동,"1,550","3,411","1,646","1,765","3,271","1,569","1,702",140,77,63,2.11,620
2013.1/4,종로구,부암동,"4,611","11,573","5,692","5,881","11,279","5,570","5,709",294,122,172,2.45,"1,663"
2013.1/4,종로구,평창동,"7,381","19,771","9,477","10,294","19,509","9,346","10,163",262,131,131,2.64,"2,755"
2013.1/4,종로구,무악동,"3,247","8,656","4,103","4,553","8,608","4,083","4,525",48,20,28,2.65,"1,171"
2013.1/4,종로구,교남동,"3,160","6,365","3,175","3,190","6,223","3,114","3,109",142,61,81,1.97,975
2013.1/4,종로구,가회동,"2,404","5,493","2,597","2,896","5,381","2,549","2,832",112,48,64,2.24,878
2013.1/4,종로구,종로1.2.3.4가동,"5,255","8,897","5,147","3,750","7,894","4,573","3,321","1,003",574,429,1.5,"1,688"
2013.1/4,종로구,종로5·6가동,"3,144","6,357","3,404","2,953","6,047","3,271","2,776",310,133,177,1.92,984
2013.1/4,종로구,이화동,"4,538","9,526","4,539","4,987","9,054","4,324","4,730",472,215,257,2,"1,139"
2013.1/4,종로구,창신1동,"3,482","7,603","3,984","3,619","6,613","3,511","3,102",990,473,517,1.9,"1,016"
2013.1/4,종로구,창신2동,"4,889","11,932","6,011","5,921","10,963","5,580","5,383",969,431,538,2.24,"1,496"
2013.1/4,종로구,창신3동,"3,065","8,445","4,204","4,241","8,337","4,160","4,177",108,44,64,2.72,"1,004"
2013.1/4,종로구,숭인1동,"3,249","7,650","3,855","3,795","7,255","3,678","3,577",395,177,218,2.23,936
2013.1/4,종로구,숭인2동,"4,839","9,572","4,999","4,573","9,204","4,836","4,368",368,163,205,1.9,"1,416"
2013.1/4,종로구,청운효자동,"6,034","15,188","7,294","7,894","15,061","7,238","7,823",127,56,71,2.5,"2,105"
2013.1/4,종로구,혜화동,"9,198","19,806","9,677","10,129","18,082","8,978","9,104","1,724",699,"1,025",1.97,"2,367"
2013.1/4,중구,소계,"61,217","140,127","70,339","69,788","132,652","66,605","66,047","7,475","3,734","3,741",2.17,"19,100"
2013.1/4,중구,소공동,675,"1,764",984,780,"1,337",706,631,427,278,149,1.98,175
2013.1/4,중구,회현동,"3,588","6,583","3,601","2,982","5,885","3,226","2,659",698,375,323,1.64,"1,230"
2013.1/4,중구,명동,"1,643","4,157","2,018","2,139","3,390","1,504","1,886",767,514,253,2.06,639
2013.1/4,중구,필동,"2,419","4,916","2,629","2,287","4,526","2,435","2,091",390,194,196,1.87,727
2013.1/4,중구,장충동,"2,997","6,271","3,150","3,121","5,627","2,885","2,742",644,265,379,1.88,743
2013.1/4,중구,광희동,"3,008","6,306","3,327","2,979","5,498","2,953","2,545",808,374,434,1.83,959
2013.1/4,중구,을지로동,"1,363","2,070","1,284",786,"1,964","1,233",731,106,51,55,1.44,412
2013.1/4,중구,신당1동,"3,986","9,234","4,696","4,538","7,810","4,007","3,803","1,424",689,735,1.96,"1,135"
2013.1/4,중구,신당2동,"7,181","16,661","8,182","8,479","16,317","8,041","8,276",344,141,203,2.27,"2,148"
2013.1/4,중구,신당3동,"8,011","19,545","9,410","10,135","19,331","9,314","10,017",214,96,118,2.41,"2,825"
2013.1/4,중구,신당4동,"6,516","16,009","7,703","8,306","15,822","7,624","8,198",187,79,108,2.43,"2,145"
2013.1/4,중구,신당5동,"4,667","10,752","5,402","5,350","10,491","5,290","5,201",261,112,149,2.25,"1,371"
2013.1/4,중구,신당6동,"4,401","12,058","5,869","6,189","11,914","5,803","6,111",144,66,78,2.71,"1,407"
2013.1/4,중구,황학동,"5,776","13,104","6,648","6,456","12,335","6,290","6,045",769,358,411,2.14,"1,575"
2013.1/4,중구,중림동,"4,986","10,697","5,436","5,261","10,405","5,294","5,111",292,142,150,2.09,"1,609"
2013.1/4,용산구,소계,"110,479","254,749","124,300","130,449","242,630","118,012","124,618","12,119","6,288","5,831",2.2,"33,404"
2013.1/4,용산구,후암동,"8,978","20,380","10,154","10,226","19,912","9,934","9,978",468,220,248,2.22,"2,645"
2013.1/4,용산구,용산2가동,"5,956","13,810","6,782","7,028","12,731","6,166","6,565","1,079",616,463,2.14,"1,824"
2013.1/4,용산구,남영동,"5,238","8,348","4,991","3,357","7,921","4,797","3,124",427,194,233,1.51,"1,278"
2013.1/4,용산구,원효로2동,"5,983","15,924","7,576","8,348","15,736","7,498","8,238",188,78,110,2.63,"1,978"
2013.1/4,용산구,효창동,"4,397","11,361","5,524","5,837","11,217","5,462","5,755",144,62,82,2.55,"1,472"
2013.1/4,용산구,용문동,"5,110","13,171","6,458","6,713","13,023","6,390","6,633",148,68,80,2.55,"1,639"
