기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2015.4/4,합계,합계,"4,189,948","10,297,138","5,063,550","5,233,588","10,022,181","4,930,943","5,091,238","274,957","132,607","142,350",2.39,"1,267,563"
2015.4/4,종로구,소계,"72,645","163,822","80,531","83,291","154,986","76,548","78,438","8,836","3,983","4,853",2.13,"24,892"
2015.4/4,종로구,사직동,"4,372","10,033","4,689","5,344","9,700","4,506","5,194",333,183,150,2.22,"1,688"
2015.4/4,종로구,삼청동,"1,407","3,174","1,506","1,668","2,960","1,393","1,567",214,113,101,2.1,633
2015.4/4,종로구,부암동,"4,427","11,217","5,433","5,784","10,780","5,250","5,530",437,183,254,2.44,"1,696"
2015.4/4,종로구,평창동,"7,350","19,414","9,209","10,205","19,212","9,112","10,100",202,97,105,2.61,"2,953"
2015.4/4,종로구,무악동,"3,142","8,619","4,070","4,549","8,541","4,042","4,499",78,28,50,2.72,"1,217"
2015.4/4,종로구,교남동,"2,333","4,875","2,339","2,536","4,797","2,305","2,492",78,34,44,2.06,872
2015.4/4,종로구,가회동,"2,195","4,961","2,307","2,654","4,837","2,246","2,591",124,61,63,2.2,882
2015.4/4,종로구,종로1.2.3.4가동,"5,487","8,786","5,040","3,746","7,876","4,553","3,323",910,487,423,1.44,"1,788"
2015.4/4,종로구,종로5·6가동,"3,237","6,057","3,322","2,735","5,719","3,174","2,545",338,148,190,1.77,"1,081"
2015.4/4,종로구,이화동,"4,508","9,216","4,372","4,844","8,690","4,103","4,587",526,269,257,1.93,"1,211"
2015.4/4,종로구,창신1동,"3,252","6,862","3,666","3,196","5,983","3,221","2,762",879,445,434,1.84,"1,084"
2015.4/4,종로구,창신2동,"4,483","11,040","5,564","5,476","9,831","4,996","4,835","1,209",568,641,2.19,"1,561"
2015.4/4,종로구,창신3동,"2,961","7,933","3,981","3,952","7,767","3,901","3,866",166,80,86,2.62,"1,060"
