기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.2/4,합계,합계,"4,210,933","10,178,395","4,988,267","5,190,128","9,914,381","4,862,573","5,051,808","264,014","125,694","138,320",2.35,"1,339,211"
2017.2/4,종로구,소계,"73,091","163,521","79,905","83,616","154,408","75,924","78,484","9,113","3,981","5,132",2.11,"25,745"
2017.2/4,종로구,사직동,"4,380","9,702","4,440","5,262","9,409","4,282","5,127",293,158,135,2.15,"1,718"
2017.2/4,종로구,삼청동,"1,417","3,131","1,488","1,643","2,935","1,389","1,546",196,99,97,2.07,638
2017.2/4,종로구,부암동,"4,335","10,833","5,226","5,607","10,420","5,048","5,372",413,178,235,2.4,"1,734"
2017.2/4,종로구,평창동,"7,547","19,340","9,159","10,181","19,171","9,079","10,092",169,80,89,2.54,"2,980"
2017.2/4,종로구,무악동,"3,015","8,384","3,917","4,467","8,325","3,897","4,428",59,20,39,2.76,"1,240"
2017.2/4,종로구,교남동,"3,575","8,526","4,039","4,487","8,431","3,997","4,434",95,42,53,2.36,"1,205"
2017.2/4,종로구,가회동,"2,112","4,746","2,221","2,525","4,612","2,150","2,462",134,71,63,2.18,885
2017.2/4,종로구,종로1.2.3.4가동,"5,355","8,509","5,021","3,488","7,587","4,494","3,093",922,527,395,1.42,"1,839"
2017.2/4,종로구,종로5·6가동,"3,214","5,732","3,128","2,604","5,455","3,007","2,448",277,121,156,1.7,"1,101"
2017.2/4,종로구,이화동,"4,483","8,839","4,115","4,724","8,377","3,919","4,458",462,196,266,1.87,"1,297"
2017.2/4,종로구,창신1동,"3,090","6,430","3,444","2,986","5,651","3,058","2,593",779,386,393,1.83,"1,121"
2017.2/4,종로구,창신2동,"4,334","10,433","5,261","5,172","9,339","4,764","4,575","1,094",497,597,2.15,"1,611"
2017.2/4,종로구,창신3동,"2,877","7,620","3,781","3,839","7,428","3,688","3,740",192,93,99,2.58,"1,074"
