기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.3/4,영등포구,대림1동,"6,309","16,923","8,705","8,218","13,695","6,883","6,812","3,228","1,822","1,406",2.17,"2,576"
2017.3/4,영등포구,대림2동,"6,466","21,733","11,290","10,443","13,191","6,481","6,710","8,542","4,809","3,733",2.04,"2,669"
2017.3/4,영등포구,대림3동,"10,711","29,774","15,241","14,533","25,382","12,858","12,524","4,392","2,383","2,009",2.37,"3,730"
2017.3/4,영등포구,영등포본동,"10,211","25,804","13,207","12,597","22,909","11,604","11,305","2,895","1,603","1,292",2.24,"3,519"
2017.3/4,영등포구,영등포동,"13,918","22,422","12,532","9,890","21,778","12,228","9,550",644,304,340,1.56,"2,912"
2017.3/4,영등포구,도림동,"9,313","22,457","11,392","11,065","19,498","9,854","9,644","2,959","1,538","1,421",2.09,"2,966"
2017.3/4,영등포구,문래동,"12,120","31,618","15,722","15,896","31,350","15,582","15,768",268,140,128,2.59,"4,071"
2017.3/4,동작구,소계,"173,474","410,703","199,978","210,725","398,501","194,549","203,952","12,202","5,429","6,773",2.3,"56,902"
2017.3/4,동작구,노량진2동,"7,190","14,706","7,526","7,180","13,714","7,020","6,694",992,506,486,1.91,"2,472"
2017.3/4,동작구,상도1동,"20,912","48,453","23,648","24,805","46,600","22,880","23,720","1,853",768,"1,085",2.23,"5,964"
2017.3/4,동작구,상도2동,"11,852","27,628","13,342","14,286","27,239","13,173","14,066",389,169,220,2.3,"3,721"
2017.3/4,동작구,상도3동,"11,312","26,319","12,687","13,632","25,910","12,490","13,420",409,197,212,2.29,"3,890"
2017.3/4,동작구,상도4동,"12,669","30,344","14,984","15,360","29,955","14,811","15,144",389,173,216,2.36,"4,273"
2017.3/4,동작구,사당1동,"12,047","24,009","11,514","12,495","23,331","11,197","12,134",678,317,361,1.94,"3,178"
2017.3/4,동작구,사당3동,"9,795","24,480","11,963","12,517","24,181","11,832","12,349",299,131,168,2.47,"3,751"
2017.3/4,동작구,사당4동,"6,598","14,999","7,286","7,713","14,827","7,205","7,622",172,81,91,2.25,"2,237"
2017.3/4,동작구,사당5동,"5,690","13,346","6,504","6,842","13,199","6,451","6,748",147,53,94,2.32,"1,807"
2017.3/4,동작구,대방동,"16,510","40,777","19,534","21,243","40,372","19,335","21,037",405,199,206,2.45,"4,904"
2017.3/4,동작구,신대방1동,"9,850","27,394","13,381","14,013","24,649","11,956","12,693","2,745","1,425","1,320",2.5,"3,198"
2017.3/4,동작구,신대방2동,"8,695","20,907","10,130","10,777","20,557","9,970","10,587",350,160,190,2.36,"2,694"
2017.3/4,동작구,흑석동,"14,036","35,100","16,820","18,280","32,557","15,966","16,591","2,543",854,"1,689",2.32,"5,318"
2017.3/4,동작구,노량진1동,"14,514","33,079","16,533","16,546","32,734","16,370","16,364",345,163,182,2.26,"4,988"
