기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2018.2/4,합계,합계,"4,241,547","10,089,517","4,935,944","5,153,573","9,814,049","4,802,769","5,011,280","275,468","133,175","142,293",2.31,"1,393,671"
2018.2/4,종로구,소계,"73,655","163,569","79,522","84,047","153,780","75,247","78,533","9,789","4,275","5,514",2.09,"26,512"
2018.2/4,종로구,사직동,"4,471","9,722","4,416","5,306","9,463","4,277","5,186",259,139,120,2.12,"1,735"
2018.2/4,종로구,삼청동,"1,415","3,067","1,461","1,606","2,852","1,352","1,500",215,109,106,2.02,628
2018.2/4,종로구,부암동,"4,279","10,540","5,072","5,468","10,146","4,893","5,253",394,179,215,2.37,"1,753"
2018.2/4,종로구,평창동,"7,599","19,154","9,021","10,133","18,995","8,946","10,049",159,75,84,2.5,"3,104"
2018.2/4,종로구,무악동,"3,018","8,282","3,863","4,419","8,229","3,840","4,389",53,23,30,2.73,"1,270"
2018.2/4,종로구,교남동,"4,506","10,748","5,035","5,713","10,571","4,933","5,638",177,102,75,2.35,"1,453"
2018.2/4,종로구,가회동,"2,074","4,608","2,148","2,460","4,479","2,079","2,400",129,69,60,2.16,907
2018.2/4,종로구,종로1.2.3.4가동,"5,329","8,485","4,968","3,517","7,520","4,448","3,072",965,520,445,1.41,"1,883"
2018.2/4,종로구,종로5·6가동,"3,168","5,615","3,060","2,555","5,292","2,903","2,389",323,157,166,1.67,"1,096"
2018.2/4,종로구,이화동,"4,487","8,667","4,035","4,632","8,159","3,859","4,300",508,176,332,1.82,"1,325"
2018.2/4,종로구,창신1동,"3,022","6,259","3,389","2,870","5,410","2,938","2,472",849,451,398,1.79,"1,138"
2018.2/4,종로구,창신2동,"4,228","10,213","5,164","5,049","9,013","4,600","4,413","1,200",564,636,2.13,"1,669"
2018.2/4,종로구,창신3동,"2,878","7,476","3,679","3,797","7,300","3,586","3,714",176,93,83,2.54,"1,118"
