2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
광장동 (23),명륜2가 (24),도림동 (27),동선동1가 (30),하계동 (28),한강로3가 (31),증산동 (31),자곡동 (44),구산동 (42),용답동 (51),능동 (58),영등포동6가 (10)
동숭동 (22),이촌동 (23),아현동 (27),신수동 (29),남대문로5가 (27),충무로1가 (30),숭인동 (31),녹번동 (44),신설동 (42),노고산동 (51),영등포동 (58),송정동 (10)
당산동1가 (22),상수동 (23),광장동 (26),일원동 (29),용답동 (26),용답동 (30),당산동3가 (30),풍납동 (43),우면동 (41),영등포동3가 (51),청진동 (57),구수동 (9)
도림동 (22),가리봉동 (23),한강로3가 (26),도림동 (28),강일동 (26),노고산동 (30),고덕동 (30),양평동4가 (42),황학동 (41),명륜4가 (50),영등포동3가 (57),성북동1가 (9)
하계동 (22),당산동1가 (23),충무로2가 (26),황학동 (27),신설동 (26),통의동 (29),양평동4가 (30),숭인동 (42),남현동 (40),능동 (50),명륜4가 (57),상월곡동 (9)
마장동 (21),도선동 (22),가리봉동 (25),관철동 (27),관훈동 (26),신수동 (28),구산동 (29),을지로6가 (40),보광동 (39),보광동 (50),을지로2가 (56),양평동5가 (8)
명륜2가 (21),창전동 (22),대방동 (25),동숭동 (27),황학동 (26),창전동 (28),황학동 (29),대흥동 (39),아현동 (39),동자동 (49),노고산동 (56),보문동7가 (8)
숭인동 (21),한강로2가 (22),남대문로5가 (25),청파동2가 (26),영등포동4가 (25),옥수동 (28),명륜2가 (29),다동 (38),염리동 (39),용산동2가 (49),풍납동 (56),문래동1가 (8)
이촌동 (20),한강로3가 (22),염리동 (24),연남동 (26),청량리동 (25),동선동1가 (27),우면동 (28),낙원동 (37),노고산동 (39),숭인동 (48),숭인동 (55),동선동3가 (8)
도선동 (20),마장동 (21),도선동 (23),명동2가 (25),다동 (25),명륜2가 (27),용산동2가 (28),을지로2가 (37),명동2가 (38),한강로2가 (47),대흥동 (54),홍익동 (8)
장충동2가 (20),후암동 (21),마장동 (22),능동 (25),대방동 (24),신공덕동 (26),가리봉동 (28),우이동 (36),광장동 (38),신설동 (47),거여동 (54),동소문동5가 (8)
내수동 (20),종로5가 (20),한강로2가 (21),종로5가 (25),증산동 (24),영등포동 (26),우이동 (27),증산동 (36),당산동4가 (38),일원동 (46),신설동 (53),동선동5가 (8)
충정로2가 (19),명동2가 (20),한강로1가 (21),가리봉동 (25),당산동6가 (24),명륜4가 (24),한강로2가 (27),신수동 (36),동자동 (36),하계동 (45),신수동 (53),안암동1가 (8)
영등포동2가 (19),남대문로5가 (20),수색동 (21),창전동 (24),명륜2가 (24),명동2가 (24),이촌동 (27),용산동2가 (34),자곡동 (36),아현동 (44),을지로7가 (53),영등포동1가 (7)
남대문로5가 (19),대방동 (20),창전동 (21),신설동 (22),염리동 (23),아현동 (23),명륜4가 (27),상왕십리동 (34),영등포동 (35),용강동 (44),다동 (53),보문동1가 (7)
영등포동4가 (19),증산동 (19),용답동 (21),염리동 (22),보광동 (23),강일동 (22),하계동 (27),신설동 (33),고덕동 (35),중림동 (43),성북동 (52),문래동5가 (7)
상도1동 (19),남현동 (19),황학동 (21),후암동 (22),신수동 (23),보광동 (22),신공덕동 (26),노고산동 (33),증산동 (35),동선동2가 (43),동선동2가 (52),본동 (6)
평창동 (19),충무로2가 (18),동숭동 (20),증산동 (22),당주동 (22),을지로2가 (22),염리동 (26),당산동1가 (31),다동 (34),당산동6가 (42),양평동3가 (52),문래동6가 (6)
능동 (19),도림동 (18),용강동 (19),용산동2가 (21),후암동 (22),중림동 (22),창전동 (26),옥수동 (31),신수동 (34),후암동 (41),창전동 (51),합동 (5)
상수동 (18),남창동 (18),보광동 (19),용강동 (21),명륜4가 (22),성북동 (22),당산동1가 (26),명륜2가 (31),명륜2가 (34),청진동 (41),중림동 (50),내곡동 (5)
용강동 (18),수색동 (18),우이동 (19),아현동 (21),마장동 (22),마장동 (22),당주동 (25),하왕십리동 (30),대방동 (33),창전동 (41),상일동 (50),보문동2가 (5)
충정로3가 (18),서소문동 (17),종로5가 (19),당산동5가 (20),도선동 (22),신촌동 (21),노고산동 (25),보광동 (29),을지로2가 (33),을지로7가 (40),도선동 (49),응봉동 (5)
동자동 (18),연남동 (17),구산동 (18),을지로2가 (20),냉천동 (22),충정로3가 (21),후암동 (24),남대문로5가 (29),태평로1가 (33),고덕동 (40),이촌동 (47),중동 (5)
구산동 (18),신수동 (17),을지로2가 (18),도선동 (20),양평동4가 (21),당산동6가 (21),보광동 (24),상도1동 (28),중림동 (33),익선동 (40),당주동 (47),동소문동1가 (4)
신설동 (18),을지로2가 (17),종로1가 (18),강일동 (20),명동2가 (21),구산동 (21),당산동6가 (23),하계동 (28),을지로6가 (32),남대문로5가 (39),염리동 (47),보문동4가 (4)
당산동3가 (18),당산동5가 (17),명륜4가 (18),수색동 (20),수색동 (21),능동 (20),대방동 (22),용강동 (27),창전동 (32),청파동2가 (39),일원동 (46),온수동 (4)
소공동 (17),인사동 (17),증산동 (18),명륜4가 (19),광희동1가 (21),충정로2가 (20),영등포동 (22),삼청동 (27),성북동 (32),명륜2가 (39),명동2가 (46),보문동5가 (4)
금호동1가 (17),영등포동4가 (17),양평동4가 (17),구산동 (19),성북동 (21),하왕십리동 (20),마장동 (22),한강로2가 (27),수서동 (32),우면동 (39),아현동 (45),삼선동4가 (4)
영등포동7가 (17),평창동 (16),당산동1가 (17),북아현동 (19),용강동 (20),금호동1가 (20),봉래동2가 (22),마장동 (27),대흥동 (31),낙원동 (39),익선동 (45),보문동6가 (4)
다동 (17),종로1가 (16),후암동 (17),이촌동 (19),한강로2가 (19),당산동1가 (20),북창동 (22),마곡동 (26),용강동 (31),옥수동 (37),구산동 (45),마포동 (4)
양평동1가 (17),온수동 (15),낙원동 (17),원효로1가 (18),충무로2가 (19),마곡동 (20),중림동 (21),수색동 (26),숭인동 (31),이촌동 (37),태평로2가 (45),영천동 (4)
명륜4가 (16),진관동 (15),중림동 (16),명륜2가 (18),아현동 (19),서소문동 (19),서소문동 (20),도림동 (26),도선동 (29),무교동 (35),갈월동 (43),대신동 (4)
삼청동 (16),회현동1가 (15),금호동4가 (16),금호동4가 (17),능동 (19),염리동 (19),능동 (20),창전동 (26),양평동1가 (29),증산동 (35),남현동 (43),원지동 (4)
온수동 (16),황학동 (15),금호동3가 (16),용문동 (16),청파동2가 (19),갈월동 (19),당산동4가 (20),중림동 (26),이촌동 (28),명동2가 (35),용답동 (43),양화동 (4)
옥수동 (16),하왕십리동 (15),내수동 (16),동자동 (16),충정로2가 (18),청파동2가 (19),성북동 (20),통인동 (25),관훈동 (27),대흥동 (35),원효로1가 (42),안암동2가 (3)
종로2가 (16),내수동 (15),인사동 (16),보광동 (16),인사동 (18),하계동 (19),상도1동 (20),신공덕동 (25),옥수동 (27),염리동 (35),낙원동 (41),동소문동3가 (3)
금호동2가 (16),명륜4가 (15),효제동 (15),당주동 (16),중림동 (18),충무로3가 (18),충정로3가 (20),충정로3가 (25),통인동 (26),관훈동 (34),보광동 (41),항동 (3)
양평동4가 (16),사직동 (14),당주동 (15),당산동6가 (16),장충동2가 (18),수색동 (18),청파동2가 (19),구산동 (25),내수동 (26),당주동 (34),인사동 (41),문래동4가 (3)
남영동 (15),양평동3가 (14),진관동 (15),당산동1가 (16),충무로4가 (17),삼청동 (18),한강로3가 (19),후암동 (25),용문동 (26),양평동1가 (32),옥수동 (41),천연동 (2)
신수동 (15),양평동4가 (14),갈월동 (15),영등포동2가 (16),동자동 (17),송정동 (18),다동 (19),금호동4가 (24),청파동2가 (26),당산동4가 (32),우면동 (40),안암동4가 (2)
신공덕동 (15),충정로3가 (14),충정로2가 (14),충무로4가 (15),회현동1가 (17),신설동 (18),충무로2가 (19),양평동5가 (24),당산동1가 (26),황학동 (32),북아현동 (40),안암동3가 (2)
수송동 (15),장지동 (13),성북동 (14),장충동2가 (15),충무로3가 (17),당산동5가 (18),금호동2가 (19),명륜4가 (23),남영동 (25),우이동 (31),동자동 (39),동소문동7가 (1)
관철동 (15),관수동 (13),충무로3가 (14),내수동 (15),낙원동 (16),후암동 (18),삼청동 (19),동자동 (23),하왕십리동 (25),당산동2가 (31),도림동 (39),당산동 (1)
창전동 (15),영등포동8가 (13),서계동 (14),삼선동2가 (15),구산동 (16),명륜3가 (18),용강동 (18),세곡동 (23),종로5가 (24),구산동 (31),장충동2가 (37),옥천동 (1)
갈월동 (14),한강로1가 (13),청파동2가 (14),충정로3가 (15),을지로2가 (16),금호동3가 (18),종로5가 (18),강일동 (23),북아현동 (24),충정로3가 (30),양평동2가 (37),삼선동3가 (1)
당산동2가 (14),순화동 (13),다동 (14),효제동 (15),평창동 (16),금호동4가 (17),효제동 (18),청파동2가 (22),회현동1가 (24),도선동 (30),종로5가 (36),당인동 (1)
금호동3가 (14),보광동 (13),돈암동 (14),관훈동 (15),신공덕동 (16),돈암동 (16),동자동 (18),종로5가 (22),세곡동 (24),도림동 (30),마장동 (35),현석동 (1)
보광동 (14),영등포동2가 (13),명동1가 (14),서소문동 (15),내수동 (16),남창동 (16),낙원동 (18),우면동 (22),서소문동 (23),원효로1가 (30),양평동1가 (35),한강로1가 (0)
순화동 (14),당주동 (13),무악동 (14),마장동 (15),충정로3가 (16),다동 (16),내수동 (18),염리동 (22),삼청동 (23),태평로2가 (29),필동2가 (35),의주로2가 (0)
인의동 (14),필동2가 (13),강일동 (14),충무로2가 (14),돈암동 (16),영등포동5가 (16),남창동 (17),관훈동 (22),충정로2가 (22),상도1동 (29),수송동 (35),봉래동1가 (0)
충무로2가 (14),돈암동 (13),청진동 (14),필동2가 (14),궁동 (15),도선동 (16),인사동 (17),남영동 (22),우이동 (22),신원동 (29),용강동 (35),갈월동 (0)
종로5가 (14),다동 (13),광희동1가 (13),평창동 (14),쌍림동 (15),영등포동7가 (15),혜화동 (17),도선동 (22),동선동2가 (22),성북동 (29),내수동 (34),모진동 (0)
수색동 (13),종로2가 (13),영등포동7가 (13),회현동2가 (14),정동 (15),충무로2가 (15),한강로1가 (17),원효로1가 (21),충무로4가 (22),충무로2가 (29),흥인동 (34),충정로1가 (0)
증산동 (13),동자동 (13),재동 (13),다동 (14),서소문동 (15),양평동1가 (15),도림동 (17),갈월동 (20),금호동4가 (22),당산동5가 (28),관훈동 (34),을지로7가 (0)
영등포동6가 (13),무교동 (12),원효로3가 (13),영등포동7가 (14),용산동2가 (15),돈의동 (15),당산동5가 (17),북아현동 (20),낙원동 (22),내수동 (28),종로2가 (34),남학동 (0)
구기동 (12),당산동2가 (12),남산동2가 (13),갈월동 (14),청파동3가 (15),상도1동 (15),수송동 (16),충무로2가 (20),문래동6가 (22),태평로1가 (28),돈암동 (34),광희동2가 (0)
낙원동 (12),옥수동 (12),양평동1가 (13),옥수동 (13),양평동2가 (15),소공동 (15),충무로4가 (16),용문동 (20),능동 (21),북아현동 (28),명륜2가 (34),삼각동 (0)
돈암동 (12),인의동 (12),종로6가 (13),낙원동 (13),영등포동2가 (15),내수동 (15),북아현동 (16),명동1가 (20),영등포동5가 (21),강일동 (27),회현동1가 (34),회현동3가 (0)
을지로2가 (12),수송동 (12),종로3가 (13),신촌동 (13),상도1동 (15),관훈동 (15),돈암동 (16),양평동1가 (20),원효로2가 (21),수송동 (27),금호동4가 (33),한남동 (0)
종로1가 (12),냉천동 (12),보문동7가 (13),금호동3가 (13),당산동1가 (15),광희동1가 (15),구기동 (16),인사동 (20),상왕십리동 (21),인의동 (27),우이동 (33),남대문로1가 (0)
강일동 (12),영등포동7가 (12),태평로2가 (12),인사동 (13),도림동 (15),용산동2가 (15),당산동2가 (16),청파동3가 (19),금호동3가 (21),장충동2가 (27),을지로3가 (33),천왕동 (0)
당산동4가 (11),용강동 (12),필동2가 (12),남창동 (13),필동2가 (14),용강동 (15),을지로2가 (16),능동 (19),평창동 (21),다동 (26),충정로3가 (32),청파동2가 (0)
연남동 (11),흥인동 (11),청파동3가 (12),양평동2가 (13),원효로2가 (14),남대문로5가 (14),금호동3가 (16),당산동4가 (19),장지동 (21),자곡동 (26),충무로3가 (32),신사동 (0)
영등포동8가 (11),부암동 (11),영등포동2가 (12),서계동 (13),돈의동 (14),동자동 (14),쌍림동 (16),당산동6가 (19),연건동 (21),당산동1가 (26),세곡동 (32),효창동 (0)
신계동 (11),금호동2가 (11),삼청동 (12),명륜3가 (12),상월곡동 (14),북아현동 (14),원효로1가 (15),당주동 (19),북창동 (20),수하동 (26),상도1동 (31),상가동 (0)
관훈동 (11),청진동 (11),능동 (12),청진동 (12),옥수동 (14),북창동 (14),중학동 (15),당산동5가 (19),남창동 (20),금호동3가 (26),신촌동 (31),서빙고동 (0)
광희동1가 (11),성북동 (11),미근동 (12),삼청동 (12),동선동2가 (14),양평동2가 (14),용문동 (15),서소문동 (18),냉천동 (20),서소문동 (25),순화동 (31),신창동 (0)
용산동2가 (11),당산동6가 (11),사직동 (12),내자동 (12),태평로2가 (14),충무로4가 (14),계동 (15),을지로3가 (18),당산동5가 (20),신공덕동 (25),당산동1가 (30),도원동 (0)
당산동6가 (11),우면동 (11),당산동6가 (12),삼선동4가 (12),혜화동 (14),영등포동2가 (14),양평동5가 (15),내수동 (18),마장동 (20),청파동3가 (25),당산동4가 (30),용산동5가 (0)
금호동4가 (11),능동 (11),삼선동2가 (12),영등포동6가 (12),서계동 (14),당산동2가 (14),수색동 (15),부암동 (18),원효로1가 (20),충정로2가 (25),관수동 (30),문배동 (0)
하왕십리동 (11),궁동 (11),하왕십리동 (12),태평로2가 (11),금호동2가 (14),온수동 (13),세곡동 (15),수송동 (18),금호동2가 (20),적선동 (24),증산동 (29),청암동 (0)
궁동 (11),마곡동 (11),명륜2가 (11),돈암동 (11),금호동4가 (13),낙원동 (13),관훈동 (15),장충동2가 (18),익선동 (19),평창동 (24),평창동 (29),산천동 (0)
묘동 (10),서계동 (11),평창동 (11),신문로2가 (11),남창동 (13),미근동 (13),궁동 (14),종로1가 (18),돈의동 (19),하왕십리동 (24),금호동3가 (29),동작동 (0)
청파동2가 (10),충무로4가 (11),용산동2가 (11),보문동1가 (11),신계동 (13),신계동 (13),평창동 (14),북창동 (18),상도1동 (19),양평동2가 (24),동소문동2가 (29),가동 (0)
태평로2가 (10),중림동 (11),관수동 (11),통의동 (11),남영동 (13),을지로1가 (13),송정동 (14),순화동 (17),돈암동 (19),연지동 (24),태평로1가 (29),용산동1가 (0)
당주동 (10),통인동 (11),당산동2가 (11),초동 (11),갈월동 (13),삼선동2가 (13),도선동 (14),천왕동 (17),도림동 (19),내자동 (24),명륜3가 (29),상가동동 (0)
상왕십리동 (10),팔판동 (10),용문동 (11),상도1동 (11),수하동 (13),체부동 (13),장충동2가 (14),회현동1가 (17),종로1가 (19),종로5가 (24),서린동 (28),묵정동 (0)
냉천동 (10),청파동2가 (10),온수동 (11),신문로1가 (11),온수동 (13),종로5가 (13),양평동2가 (14),종로6가 (17),양평동2가 (19),종로1가 (24),남창동 (28),토정동 (0)
회현동1가 (10),금호동4가 (10),장충동2가 (11),종로2가 (11),양평동1가 (13),용문동 (13),영등포동6가 (14),팔판동 (17),인사동 (18),마장동 (23),당산동6가 (28),하중동 (0)
용문동 (10),충신동 (10),남창동 (11),연지동 (11),금호동3가 (13),청파동3가 (12),내자동 (14),돈의동 (17),충무로2가 (18),신문로1가 (23),초동 (28),염곡동 (0)
저동2가 (10),신공덕동 (10),금호동2가 (11),양평동1가 (11),효창동 (12),서계동 (12),필운동 (13),문래동6가 (17),충정로3가 (18),용문동 (23),신공덕동 (28),현저동 (0)
남산동2가 (10),미근동 (10),궁동 (10),한강로1가 (11),종로6가 (12),평창동 (12),갈월동 (13),충무로3가 (17),수송동 (18),갈월동 (23),영등포동5가 (28),봉원동 (0)
삼선동2가 (10),구기동 (10),송정동 (10),양평동3가 (11),북아현동 (12),한강로1가 (12),초동 (13),광희동1가 (16),충무로3가 (18),신촌동 (23),충무로2가 (27),보문동3가 (0)
부암동 (10),태평로1가 (10),북창동 (10),충무로3가 (11),삼청동 (12),무학동 (12),하왕십리동 (13),삼선동2가 (16),신촌동 (17),남영동 (23),자곡동 (27),용산동6가 (0)
북창동 (10),도렴동 (10),영등포동5가 (10),팔판동 (11),세곡동 (12),원효로1가 (11),필동2가 (13),종로2가 (16),당산동2가 (17),금호동2가 (23),영등포동7가 (26),원효로4가 (0)
양평동2가 (10),광희동1가 (9),연건동 (10),궁동 (10),미근동 (12),동선동2가 (11),충무로3가 (13),궁동 (16),초동 (17),상월곡동 (23),쌍림동 (26),용산동4가 (0)
삼선동5가 (9),금호동3가 (9),옥수동 (10),하왕십리동 (10),당산동4가 (11),부암동 (11),체부동 (13),을지로7가 (16),소격동 (17),금호동4가 (23),종로1가 (26),서계동 (0)
마곡동 (9),삼청동 (9),돈의동 (10),명동1가 (10),문래동6가 (11),금호동2가 (11),충정로2가 (13),홍익동 (16),청파동3가 (17),명륜3가 (23),혜화동 (26),후암동 (0)
적선동 (9),삼선동2가 (9),신문로1가 (10),영등포동8가 (10),양평동3가 (11),양평동5가 (11),삼선동2가 (13),금호동3가 (16),순화동 (17),한강로1가 (22),삼선동2가 (26),원효로2가 (0)
필동2가 (9),구산동 (9),동자동 (10),부암동 (10),영등포동7가 (11),도림동 (11),신문로1가 (13),내자동 (16),명륜3가 (16),관수동 (22),금호동2가 (25),이태원동 (0)
성북동 (9),중동 (9),수송동 (10),을지로5가 (10),삼선동2가 (11),당산동4가 (11),을지로3가 (13),남산동2가 (15),송정동 (16),인사동 (22),청파동2가 (25),한강로3가 (0)
상월곡동 (9),장충동2가 (9),종로2가 (10),화동 (10),우면동 (11),냉천동 (11),과해동 (13),익선동 (15),당주동 (16),사근동 (21),당산동5가 (24),한강로2가 (0)
혜화동 (9),남영동 (9),부암동 (10),을지로1가 (9),재동 (11),관수동 (11),효창동 (12),평창동 (15),체부동 (16),명동1가 (21),저동1가 (24),용산동2가 (0)
영등포동5가 (9),용문동 (9),원효로1가 (10),온수동 (9),관수동 (11),흥인동 (10),남영동 (12),충정로2가 (15),서계동 (16),회현동1가 (21),삼선동5가 (24),보광동 (0)
동선동2가 (9),동선동2가 (9),순화동 (10),동선동3가 (9),종로5가 (11),구기동 (10),연지동 (12),동선동2가 (15),홍익동 (16),효제동 (20),강일동 (24),남영동 (0)
효제동 (9),당산동 (9),필동1가 (9),혜화동 (9),통의동 (11),원효로2가 (10),영등포동8가 (12),충무로4가 (15),혜화동 (16),돈암동 (20),충정로2가 (24),원효로3가 (0)
무교동 (9),영등포동6가 (9),영등포동6가 (9),중림동 (9),하왕십리동 (11),장충동2가 (10),원효로2가 (12),동소문동5가 (15),삼선동2가 (16),을지로3가 (20),누하동 (24),원효로1가 (0)
양평동3가 (8),적선동 (9),당산동 (9),송정동 (9),북창동 (10),본동 (10),태평로2가 (12),성북동 (15),관수동 (15),삼선동2가 (19),서소문동 (24),청파동3가 (0)
원지동 (8),효제동 (9),상도1동 (9),무교동 (9),본동 (10),소격동 (10),흥인동 (12),필동2가 (15),갈월동 (15),혜화동 (19),효제동 (24),용문동 (0)
연건동 (8),필운동 (8),교남동 (9),종로6가 (9),명륜3가 (10),상월곡동 (10),명동1가 (11),무교동 (15),묘동 (15),종로2가 (19),계동 (23),용산동3가 (0)
홍익동 (8),홍익동 (8),삼선동5가 (9),정동 (9),을지로3가 (10),우면동 (10),영등포동5가 (11),재동 (14),을지로3가 (15),종로3가 (19),한강로1가 (23),동자동 (0)
대신동 (8),영등포동5가 (8),장지동 (9),필동3가 (9),부암동 (10),무악동 (10),연건동 (11),통의동 (14),동소문동5가 (15),삼청동 (18),상월곡동 (23),이촌동 (0)
중동 (8),내자동 (8),무교동 (9),광희동1가 (9),인의동 (10),태평로2가 (10),충무로5가 (11),정동 (14),흥인동 (14),온수동 (18),양평동5가 (23),동빙고동 (0)
원효로2가 (8),상도1동 (8),우면동 (9),필운동 (9),원효로1가 (10),영등포동6가 (10),적선동 (11),옥인동 (14),구기동 (14),초동 (18),내자동 (22),청파동1가 (0)
종로6가 (8),충무로3가 (8),만리동2가 (9),인현동2가 (9),동선동3가 (10),인의동 (9),재동 (11),체부동 (14),연지동 (14),필동2가 (17),북창동 (22),신계동 (0)
봉익동 (8),교북동 (8),묘동 (9),북창동 (8),한강로1가 (10),인사동 (9),수표동 (11),계동 (14),신문로2가 (14),문래동6가 (17),온수동 (21),의주로1가 (0)
송정동 (8),태평로2가 (8),당산동4가 (9),남영동 (8),초동 (10),당주동 (9),당산동 (11),금호동2가 (14),부암동 (14),체부동 (17),돈의동 (21),명동1가 (0)
한강로1가 (8),혜화동 (8),신영동 (9),대신동 (8),무교동 (10),궁동 (9),청진동 (11),금호동1가 (14),영등포동6가 (14),통인동 (17),상왕십리동 (21),남산동3가 (0)
청파동3가 (8),낙원동 (8),금호동1가 (9),청파동3가 (8),금호동1가 (9),당산동 (9),양평동1가 (11),양평동3가 (13),통의동 (14),양평동3가 (17),필운동 (21),필운동 (0)
마포동 (8),신계동 (8),문래동2가 (8),회현동1가 (8),용문동 (9),종로1가 (9),영등포동2가 (11),양평동2가 (13),신문로1가 (14),세곡동 (17),청파동3가 (21),무악동 (0)
삼선동1가 (8),청파동3가 (8),당산동5가 (8),돈의동 (8),대신동 (9),혜화동 (9),종로6가 (11),한강로1가 (13),당산동6가 (13),금호동1가 (17),홍익동 (20),봉익동 (0)
후암동 (7),삼선동5가 (8),신공덕동 (8),태평로1가 (8),인현동2가 (9),종로3가 (9),종로2가 (10),장지동 (13),사근동 (13),원효로2가 (17),명륜1가 (20),이화동 (0)
미근동 (7),동소문동6가 (7),중동 (8),금호동1가 (8),송정동 (9),순화동 (9),동선동2가 (10),신문로2가 (13),필동2가 (13),영등포동6가 (17),무교동 (20),홍지동 (0)
동선동4가 (7),금호동1가 (7),원효로4가 (8),원효로3가 (8),동선동4가 (9),필동2가 (9),명륜3가 (10),신촌동 (13),궁동 (13),수색동 (16),냉천동 (20),적선동 (0)
영천동 (7),용산동2가 (7),적선동 (8),금호동2가 (8),영등포동5가 (9),청파동1가 (9),영등포동1가 (10),온수동 (13),양평동5가 (13),동소문동5가 (16),남영동 (20),원남동 (0)
서계동 (7),명동1가 (7),홍익동 (8),동소문동5가 (8),당산동5가 (9),삼선동1가 (9),태평로1가 (10),영등포동7가 (13),영등포동7가 (13),영등포동5가 (16),원효로2가 (19),효제동 (0)
우면동 (7),저동1가 (7),동소문동2가 (8),봉래동1가 (8),을지로1가 (9),회현동1가 (9),냉천동 (10),초동 (13),재동 (13),필운동 (16),신문로1가 (19),장사동 (0)
명동1가 (7),종로6가 (7),명륜3가 (8),인의동 (8),당산동2가 (9),청진동 (9),회현동1가 (10),관수동 (13),원남동 (13),영등포동7가 (16),문래동2가 (19),청진동 (0)
관수동 (7),묘동 (7),충무로4가 (8),원효로2가 (8),수송동 (9),을지로3가 (8),서계동 (9),저동2가 (13),필운동 (13),원효로3가 (16),0 (19),사간동 (0)
당산동5가 (7),통의동 (7),관훈동 (7),동소문동2가 (8),홍익동 (8),영등포동8가 (8),원효로3가 (9),응봉동 (13),상월곡동 (13),부암동 (16),성북동1가 (19),종로1가 (0)
충무로3가 (7),을지로4가 (7),서소문동 (7),동선동2가 (8),보문동7가 (8),태평로1가 (8),인의동 (9),송정동 (13),오장동 (13),묘동 (16),삼청동 (19),화동 (0)
저동1가 (7),양평동5가 (7),구기동 (7),교남동 (8),동소문동5가 (8),저동2가 (8),필동1가 (9),적선동 (12),원효로3가 (13),상왕십리동 (16),영등포동8가 (19),종로4가 (0)
주교동 (7),돈의동 (7),충신동 (7),연건동 (8),삼선동5가 (8),문래동6가 (8),무교동 (9),남창동 (12),수색동 (13),양평동5가 (15),저동2가 (18),체부동 (0)
흥인동 (7),명륜3가 (7),혜화동 (7),신영동 (8),성북동1가 (8),신문로1가 (8),금호동4가 (9),문래동2가 (12),삼선동5가 (12),필동1가 (15),교남동 (18),교북동 (0)
인현동1가 (7),을지로1가 (6),주교동 (7),종로3가 (8),원지동 (8),초동 (8),양평동3가 (9),당산동2가 (12),한강로1가 (12),서계동 (15),통의동 (18),인의동 (0)
문래동4가 (7),상월곡동 (6),응봉동 (7),수송동 (7),안암동1가 (8),대신동 (8),신계동 (9),영등포동2가 (12),명동1가 (12),홍익동 (15),종로3가 (18),종로6가 (0)
문래동1가 (7),세곡동 (6),외발산동 (7),당산동2가 (7),명동1가 (8),용산동5가 (8),홍지동 (9),효제동 (12),문래동1가 (12),순화동 (15),미근동 (18),서린동 (0)
소격동 (7),주교동 (6),회현동1가 (7),관수동 (7),영등포동8가 (8),필동3가 (8),을지로1가 (9),원효로2가 (12),장충동2가 (12),누하동 (15),궁동 (18),동숭동 (0)
진관동 (7),보문동2가 (6),상월곡동 (7),중동 (7),도렴동 (8),천왕동 (8),홍익동 (9),문배동 (12),영등포동2가 (12),송정동 (15),수하동 (17),팔판동 (0)
영등포동1가 (7),동소문동4가 (6),신계동 (7),영등포동5가 (7),태평로1가 (8),연건동 (8),청파동3가 (9),신원동 (11),영등포동8가 (12),이화동 (15),삼선동4가 (17),통인동 (0)
인사동 (7),보문동1가 (6),양평동5가 (7),충정로2가 (7),청진동 (8),효창동 (8),정동 (9),상월곡동 (11),수표동 (12),영등포동8가 (14),종로6가 (17),소격동 (0)
돈의동 (7),신문로1가 (6),효창동 (7),남대문로4가 (7),계동 (8),동소문동2가 (7),종로1가 (9),서계동 (11),태평로2가 (12),삼선동4가 (14),광희동1가 (17),교남동 (0)
외발산동 (7),북창동 (6),남영동 (7),적선동 (7),저동2가 (8),응봉동 (7),서린동 (8),영등포동6가 (11),필동3가 (11),계동 (14),문래동4가 (17),사직동 (0)
무악동 (6),사근동 (6),냉천동 (7),계동 (7),영등포동6가 (8),동소문동5가 (7),동선동3가 (8),신문로1가 (11),종로6가 (11),미근동 (14),당산동2가 (17),권농동 (0)
원효로1가 (6),충정로2가 (6),내자동 (7),응봉동 (7),주교동 (8),남영동 (7),영천동 (8),인의동 (11),신계동 (11),남산동2가 (14),원효로3가 (17),신교동 (0)
무학동 (6),신문로2가 (6),문래동4가 (7),체부동 (6),신문로1가 (8),영천동 (7),필동3가 (8),홍지동 (11),금호동1가 (11),종로6가 (14),신원동 (16),중화동 (0)
남창동 (6),송정동 (6),견지동 (6),신공덕동 (6),효제동 (7),사근동 (7),천왕동 (8),0 (11),문배동 (11),충무로3가 (13),명동1가 (16),신내동 (0)
종로3가 (6),원남동 (6),연지동 (6),홍지동 (6),무악동 (7),홍익동 (7),영등포동7가 (8),동소문동2가 (11),이화동 (11),광희동1가 (13),신문로2가 (16),양평동 (0)
공평동 (6),원효로1가 (5),신문로2가 (6),상월곡동 (6),서린동 (7),명동1가 (7),문래동2가 (8),동선동3가 (11),가회동 (11),홍지동 (13),적선동 (16),양평동6가 (0)
도렴동 (6),저동2가 (5),무학동 (6),문래동4가 (6),삼선동4가 (7),인현동2가 (7),무악동 (8),혜화동 (11),도렴동 (11),연건동 (13),용문동 (15),공항동 (0)
신촌동 (6),문래동4가 (5),충무로5가 (6),우면동 (6),마곡동 (7),팔판동 (7),이화동 (8),영등포동5가 (10),동소문동2가 (11),을지로1가 (13),동선동4가 (15),역삼동 (0)
과해동 (6),무악동 (5),동선동3가 (6),미근동 (6),무학동 (7),세곡동 (7),종로3가 (8),가회동 (10),문래동4가 (11),중동 (13),서계동 (15),궁정동 (0)
신문로1가 (6),교남동 (5),서린동 (6),안국동 (6),필동3가 (7),외발산동 (7),금호동1가 (8),냉천동 (10),누하동 (11),수표동 (13),사근동 (15),행촌동 (0)
