2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
도곡동 (126),장안동 (124),중곡동 (136),장안동 (150),암사동 (145),신당동 (139),시흥동 (151),창천동 (190),대림동 (192),창천동 (232),신월동 (262),성수동1가 (139)
구의동 (126),대림동 (119),장안동 (135),방이동 (149),가산동 (145),장안동 (139),방이동 (142),시흥동 (187),시흥동 (189),대림동 (230),방이동 (261),중계동 (136)
대림동 (119),번동 (118),방학동 (134),응암동 (145),길동 (144),사당동 (138),화양동 (141),화양동 (181),방이동 (189),창동 (229),장안동 (260),고척동 (129)
명일동 (114),도곡동 (118),대림동 (133),시흥동 (142),가락동 (142),구의동 (137),구의동 (137),대림동 (168),구의동 (188),행당동 (225),창천동 (255),신천동 (125)
장안동 (114),암사동 (115),도곡동 (129),구의동 (142),응암동 (134),가락동 (136),행당동 (136),가락동 (164),가락동 (182),등촌동 (223),가락동 (252),석촌동 (125)
사당동 (110),신길동 (114),신길동 (129),사당동 (138),창천동 (133),명일동 (131),창동 (135),신천동 (163),등촌동 (178),시흥동 (219),성수동2가 (239),합정동 (122)
개포동 (110),화양동 (110),사당동 (127),문정동 (138),명일동 (133),창천동 (129),중곡동 (133),상암동 (162),공릉동 (172),응암동 (206),시흥동 (236),상도동 (121)
중계동 (108),창천동 (109),창동 (126),가산동 (133),도곡동 (132),중곡동 (126),신길동 (128),방이동 (162),신길동 (171),성수동2가 (204),한남동 (234),도화동 (120)
방학동 (105),신당동 (106),가산동 (122),중곡동 (132),번동 (127),방학동 (122),가락동 (123),중곡동 (159),갈현동 (167),구의동 (200),상암동 (233),신길동 (120)
가산동 (103),응암동 (105),신당동 (114),창천동 (130),대림동 (124),상도동 (120),이태원동 (123),구의동 (158),도곡동 (166),갈현동 (198),화양동 (232),회기동 (117)
신당동 (103),중계동 (105),개포동 (113),도곡동 (127),공릉동 (119),개포동 (118),대림동 (119),문정동 (149),화양동 (164),상도동 (194),신당동 (225),잠원동 (117)
