,2012,2013,2014,2015,2016,2017,2018
신사동,2418,1934,2000,2049,2171,2322,2547
삼청동,744,2036,null,1617,1306,1057,1615
명동1가,6091,null,null,8863,5931,null,null
명동2가,8099,7221,null,4677,13633,12320,19529
