,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
연남동,147,156,151,155,155,147,143,123,109,84,62,53
연희동,105,102,101,100,94,93,94,90,89,92,87,83
익선동,407,404,390,394,384,380,358,318,290,249,215,223
성수동,52,56,60,56,54,47,48,48,47,46,45,42
삼성동,34,24,20,13,11,11,13,13,14,14,15,20
망원동,78,80,79,82,74,73,84,85,74,63,59,52
봉천동,3,1,1,1,2,4,4,4,5,5,7,9
