2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
봉익동 (-42.105),통의동 (-25.0),천호동 (-27.273),마천동 (-24.779),통의동 (-27.273),평창동 (-28.571),혜화동 (-7.143),교남동 (-25.385),마곡동 (-9.375),당산동5가 (-8.696),연지동 (-53.061)
염창동 (-42.857),중학동 (-25.0),안국동 (-28.571),갈현동 (-24.832),당산동5가 (-27.586),송파동 (-31.25),신림동 (-7.143),고덕동 (-25.926),공항동 (-9.434),증산동 (-10.0),남현동 (-54.545)
신영동 (-42.857),양화동 (-25.0),와룡동 (-30.0),개포동 (-26.667),방화동 (-28.571),와룡동 (-31.25),신문로1가 (-8.654),누하동 (-26.923),신정동 (-10.256),원남동 (-10.081),양평동5가 (-55.325)
망우동 (-50.0),도렴동 (-26.087),고덕동 (-31.818),당산동6가 (-27.941),영등포동3가 (-28.571),잠실동 (-31.818),관훈동 (-8.772),양평동6가 (-28.0),경운동 (-12.36),당주동 (-11.765),녹번동 (-55.556)
양평동4가 (-50.0),내수동 (-26.667),녹번동 (-32.877),관철동 (-28.571),번동 (-29.204),가양동 (-33.333),와룡동 (-9.091),종로5가 (-31.579),녹번동 (-13.415),원서동 (-14.286),양평동4가 (-55.556)
장지동 (-50.0),우이동 (-27.66),영등포동5가 (-33.333),양평동5가 (-28.571),종로6가 (-30.612),면목동 (-33.333),문래동4가 (-14.103),수유동 (-33.333),세곡동 (-14.583),성내동 (-15.686),암사동 (-56.098)
삼성동 (-50.0),성내동 (-30.0),양화동 (-33.333),당산동3가 (-28.889),문정동 (-30.769),수서동 (-33.333),신정동 (-15.385),효제동 (-33.333),문래동1가 (-14.634),번동 (-16.444),통의동 (-57.143)
개화동 (-50.0),구산동 (-30.769),일원동 (-33.333),송파동 (-31.429),청담동 (-30.769),문래동5가 (-35.0),명륜1가 (-16.667),명륜2가 (-35.185),서린동 (-15.385),과해동 (-16.667),효제동 (-57.778)
수유동 (-50.0),구기동 (-33.333),신영동 (-33.333),숭인동 (-33.333),창성동 (-32.143),명일동 (-35.0),종로5가 (-17.391),거여동 (-37.037),영등포동1가 (-15.596),둔촌동 (-17.647),율현동 (-58.824)
수서동 (-50.0),외발산동 (-33.333),nan (-36.364),당주동 (-33.333),역촌동 (-32.203),선유동 (-37.5),공평동 (-18.182),망우동 (-37.5),견지동 (-15.789),통의동 (-17.647),강일동 (-60.0)
당산동2가 (-50.0),내발산동 (-33.333),삼청동 (-37.5),경운동 (-33.929),외발산동 (-33.333),녹번동 (-43.548),미아동 (-20.0),송파동 (-37.736),인사동 (-16.393),영등포동 (-20.455),개화동 (-60.0)
견지동 (-54.545),면목동 (-33.333),영등포동2가 (-42.424),석촌동 (-34.211),권농동 (-38.462),내수동 (-46.154),암사동 (-20.513),외발산동 (-42.857),개화동 (-16.667),압구정동 (-21.359),방화동 (-60.87)
