,2012,2013,2014,2015,2016,2017,2018
상도동,538,751,705,771,829,981,827
상도1동,902,942,977,919,1177,1195,1598
목동,639,798,727,707,793,764,912
신정동,681,586,639,677,746,755,1375
상계동,480,570,544,513,565,661,675
