,2012,2013,2014,2015,2016,2017,2018
연남동,654,833,913,1084,1215,1236,1814
익선동,825,1183,null,746,1169,1333,1725
성수동1가,672,665,899,974,953,970,1142
성수동2가,734,695,666,829,855,990,1204
봉천동,818,783,823,824,945,1074,1072
망원동,742,737,711,819,997,1287,1023
