,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
255,삼청동 (14),남영동 (22),부암동 (26),원효로1가 (32),갈월동 (37),무교동 (43),연건동 (49),명륜3가 (57),종로6가 (67),종로6가 (79),통의동 (93),영등포동8가 (97)
256,사근동 (14),보문동1가 (21),신원동 (26),순화동 (31),용문동 (37),돈의동 (43),종로6가 (49),양평동5가 (57),종로1가 (67),상월곡동 (78),태평로1가 (92),수색동 (97)
257,종로5가 (14),장지동 (21),문래동6가 (26),마포동 (31),북창동 (36),혜화동 (43),원효로1가 (49),서계동 (57),영등포동6가 (67),통의동 (78),종로6가 (92),원효로2가 (96)
258,순화동 (14),삼선동4가 (20),영천동 (25),보문동7가 (31),동선동4가 (36),영등포동8가 (42),돈의동 (49),신문로1가 (57),신문로1가 (67),을지로3가 (77),혜화동 (90),광희동1가 (95)
259,증산동 (13),삼선동1가 (20),서계동 (25),갈월동 (30),명동1가 (36),동소문동2가 (41),신문로1가 (48),동선동2가 (56),서계동 (67),양평동3가 (76),온수동 (90),초동 (95)
260,장지동 (13),응봉동 (20),응봉동 (25),명동1가 (30),중동 (36),수송동 (41),부암동 (48),관수동 (56),세곡동 (67),순화동 (76),상월곡동 (90),온수동 (94)
261,인의동 (13),서소문동 (20),종로6가 (25),관수동 (30),혜화동 (36),연건동 (41),구기동 (48),순화동 (55),양평동3가 (66),강일동 (75),동소문동2가 (89),신문로1가 (93)
262,충무로2가 (13),필동2가 (19),묘동 (25),묘동 (30),본동 (36),종로6가 (40),관수동 (47),연건동 (55),영등포동8가 (65),부암동 (75),영등포동6가 (88),양평동5가 (93)
263,동소문동6가 (13),부암동 (19),관수동 (25),응봉동 (29),종로2가 (35),신촌동 (40),상월곡동 (47),대신동 (54),양평동5가 (65),혜화동 (75),궁동 (86),통의동 (93)
264,낙원동 (12),한강로1가 (19),회현동1가 (25),태평로2가 (29),신문로1가 (35),신계동 (40),신계동 (46),태평로2가 (54),혜화동 (64),체부동 (75),영등포동8가 (86),태평로1가 (92)
265,안암동4가 (12),구기동 (19),내곡동 (24),광희동1가 (29),돈의동 (35),원효로1가 (40),동소문동2가 (46),상월곡동 (53),신촌동 (64),서계동 (74),체부동 (86),종로6가 (92)
266,갈월동 (12),당주동 (19),구기동 (24),종로6가 (29),종로1가 (35),구기동 (39),원효로2가 (44),원효로2가 (53),동선동2가 (63),송정동 (74),연건동 (85),혜화동 (90)
267,구기동 (12),낙원동 (19),태평로2가 (24),충무로4가 (29),동소문동2가 (35),삼선동5가 (39),명동1가 (44),을지로3가 (53),을지로3가 (63),동소문동5가 (73),양평동5가 (85),신원동 (89)
268,보광동 (12),외발산동 (18),진관동 (23),신문로1가 (28),문래동4가 (34),원효로2가 (38),당산동 (43),세곡동 (53),체부동 (63),양평동5가 (73),종로2가 (84),동소문동5가 (89)
269,동소문동7가 (12),태평로2가 (18),장지동 (23),회현동1가 (28),연건동 (34),명동1가 (38),신촌동 (42),종로1가 (53),태평로2가 (62),묘동 (72),묘동 (84),삼선동5가 (89)
270,동소문동1가 (12),무교동 (18),원지동 (23),북창동 (28),문래동1가 (33),종로1가 (38),종로1가 (42),정동 (53),문래동2가 (62),연지동 (72),흥인동 (84),송정동 (87)
271,을지로2가 (11),관수동 (17),용문동 (23),마곡동 (28),원효로1가 (33),본동 (38),정동 (42),계동 (51),상월곡동 (61),영등포동8가 (72),서계동 (83),체부동 (86)
272,과해동 (11),진관동 (17),청파동3가 (23),당산동 (28),묘동 (33),문래동4가 (37),양평동5가 (41),신촌동 (50),정동 (61),인의동 (72),적선동 (83),연건동 (85)
273,문래동5가 (11),신계동 (17),남영동 (23),문래동6가 (28),보문동7가 (32),신문로1가 (37),순화동 (41),구기동 (50),무교동 (59),적선동 (71),세곡동 (83),금호동1가 (85)
274,수색동 (11),흥인동 (17),용산동2가 (23),신원동 (28),인의동 (31),중동 (36),인의동 (40),인의동 (49),구기동 (59),세곡동 (69),계동 (82),묘동 (84)
275,관훈동 (11),청파동2가 (17),남산동2가 (22),청파동3가 (28),마포동 (31),양평동5가 (36),종로3가 (38),체부동 (49),대신동 (58),문래동2가 (69),인의동 (82),종로2가 (84)
276,천연동 (11),용산동2가 (16),신계동 (22),연건동 (28),신계동 (31),순화동 (36),묘동 (38),동소문동2가 (48),묘동 (58),초동 (69),무교동 (82),흥인동 (84)
277,용산동2가 (11),용문동 (16),양평동5가 (22),보문동1가 (27),순화동 (30),동선동4가 (36),삼선동5가 (38),묘동 (47),문래동6가 (58),태평로1가 (68),문래동2가 (81),적선동 (83)
278,종로1가 (10),묘동 (16),북창동 (22),남영동 (27),원효로2가 (30),인의동 (35),연지동 (38),적선동 (47),초동 (57),계동 (68),부암동 (81),세곡동 (83)
279,신계동 (10),혜화동 (16),혜화동 (22),구기동 (26),구기동 (30),묘동 (35),적선동 (38),초동 (47),재동 (56),정동 (67),동소문동5가 (81),서계동 (83)
280,현저동 (10),사근동 (16),외발산동 (22),강일동 (26),삼선동4가 (29),당산동 (34),계동 (38),종로2가 (45),인의동 (56),무교동 (67),종로3가 (79),인의동 (82)
281,동소문동3가 (10),양평동6가 (15),광희동1가 (22),삼선동4가 (26),정동 (29),신문로2가 (33),을지로3가 (37),재동 (45),계동 (55),문래동6가 (65),송정동 (77),무교동 (82)
282,보문동2가 (10),동소문동6가 (15),갈월동 (22),양평동5가 (25),명륜3가 (29),정동 (33),필동3가 (37),마곡동 (45),동소문동2가 (54),금호동1가 (64),신원동 (76),계동 (82)
283,남산동2가 (10),구수동 (15),명동1가 (21),혜화동 (25),당산동 (29),문래동1가 (32),초동 (37),신계동 (44),적선동 (53),동소문동2가 (64),연지동 (75),부암동 (81)
284,태평로2가 (10),적선동 (15),삼선동1가 (21),영천동 (25),신원동 (28),마포동 (32),마곡동 (37),종로3가 (43),필동3가 (50),구기동 (64),필운동 (73),사근동 (81)
285,북창동 (10),효제동 (15),연건동 (21),돈의동 (24),보문동1가 (28),종로3가 (32),흥인동 (37),당산동 (43),당산동 (50),신원동 (63),삼선동5가 (72),상왕십리동 (79)
286,청파동2가 (10),충무로3가 (14),인의동 (21),남산동2가 (24),응봉동 (28),효창동 (32),본동 (36),문래동6가 (43),연지동 (50),대신동 (63),정동 (72),종로3가 (79)
287,광희동1가 (10),보문동4가 (14),신문로1가 (20),인의동 (24),효창동 (28),문래동6가 (31),보문동7가 (36),필동3가 (42),필운동 (49),종로2가 (62),대신동 (72),문래동6가 (77)
288,묘동 (9),북창동 (14),충무로4가 (20),외발산동 (24),남산동2가 (28),보문동7가 (31),무악동 (36),저동2가 (41),흥인동 (48),종로3가 (62),문래동6가 (71),대신동 (76)
289,부암동 (9),동선동3가 (14),돈의동 (19),장지동 (24),문래동6가 (28),무악동 (31),문래동4가 (36),태평로1가 (41),상왕십리동 (48),재동 (60),원효로3가 (70),연지동 (75)
290,동소문동4가 (9),광희동1가 (14),관훈동 (19),원지동 (24),통의동 (28),원지동 (31),종로2가 (35),무악동 (41),익선동 (48),원효로3가 (58),재동 (69),필운동 (73)
291,회현동1가 (9),충무로4가 (14),원효로3가 (19),내곡동 (24),마곡동 (27),응봉동 (30),체부동 (35),보문동7가 (41),종로2가 (48),필동3가 (57),필동3가 (69),정동 (72)
292,저동2가 (9),동작동 (14),보문동1가 (19),신문로2가 (23),원지동 (27),을지로1가 (30),재동 (35),삼선동5가 (40),신계동 (47),필운동 (57),저동2가 (67),원효로3가 (70)
293,효제동 (9),서계동 (14),적선동 (19),신계동 (22),양평동5가 (27),필동3가 (30),태평로1가 (35),효창동 (40),삼선동5가 (47),흥인동 (57),금호동1가 (67),재동 (69)
294,적선동 (9),도렴동 (13),무악동 (18),상왕십리동 (22),신문로2가 (27),초동 (30),세곡동 (35),필운동 (39),신문로2가 (47),신계동 (56),상왕십리동 (65),필동3가 (69)
295,성북동1가 (9),필운동 (13),영등포동1가 (18),명륜3가 (22),영천동 (27),영천동 (29),문래동1가 (35),필동1가 (39),저동2가 (47),저동2가 (56),문래동4가 (65),문래동4가 (68)
296,용문동 (9),보문동2가 (13),주교동 (17),적선동 (21),적선동 (26),적선동 (29),효창동 (35),남산동2가 (39),종로3가 (46),삼선동5가 (55),서린동 (64),동선동4가 (68)
297,혜화동 (9),저동1가 (13),삼선동4가 (17),무악동 (21),재동 (26),내곡동 (29),동선동4가 (34),응봉동 (38),문래동1가 (45),남산동2가 (55),구기동 (63),저동2가 (67)
298,봉익동 (8),동선동5가 (13),원효로1가 (17),통의동 (21),종로3가 (26),삼선동4가 (28),쌍림동 (34),상왕십리동 (38),문래동4가 (45),상왕십리동 (53),강일동 (63),보문동7가 (65)
299,연건동 (8),동소문동1가 (13),동선동3가 (17),종로3가 (21),무악동 (25),흥인동 (28),문래동6가 (33),연지동 (38),원효로3가 (45),당산동 (53),남산동2가 (63),서린동 (64)
300,청파동3가 (8),관훈동 (13),흥인동 (17),원효로3가 (21),주교동 (25),삼선동1가 (28),을지로1가 (33),흥인동 (38),소격동 (44),소격동 (52),필동1가 (62),구기동 (63)
301,원효로2가 (8),청파동3가 (13),동소문동6가 (16),필동1가 (21),초동 (25),종로2가 (28),필동1가 (33),신문로2가 (38),장지동 (44),필동1가 (52),을지로1가 (62),강일동 (63)
302,당주동 (8),저동2가 (12),동작동 (16),영등포동1가 (20),필동3가 (25),연지동 (28),영천동 (33),문래동4가 (38),동선동4가 (43),수표동 (52),사근동 (62),남산동2가 (63)
303,현석동 (8),명동1가 (12),세곡동 (16),연지동 (20),태평로1가 (25),보문동1가 (28),필운동 (32),동선동4가 (37),남산동2가 (42),문래동4가 (51),쌍림동 (62),을지로1가 (62)
304,율현동 (8),세곡동 (12),도렴동 (16),흥인동 (20),원효로3가 (25),세곡동 (28),원지동 (31),문래동1가 (37),필동1가 (42),을지로1가 (51),신문로2가 (60),필동1가 (62)
305,인사동 (7),과해동 (12),과해동 (15),도렴동 (20),필동1가 (24),원효로3가 (27),신문로2가 (31),본동 (36),도렴동 (41),사근동 (50),신계동 (59),쌍림동 (62)
306,옥천동 (7),보문동5가 (12),사근동 (15),삼선동1가 (19),세곡동 (23),태평로1가 (27),과해동 (31),원효로3가 (36),주교동 (40),신문로2가 (49),당산동 (58),삼선동4가 (61)
307,안암동2가 (7),돈의동 (12),종로3가 (15),과해동 (19),내곡동 (23),재동 (27),청파동1가 (31),쌍림동 (36),수표동 (40),안국동 (48),보문동7가 (57),신문로2가 (60)
308,흥인동 (7),연건동 (12),보문동2가 (15),원효로2가 (19),쌍림동 (23),인현동2가 (26),보문동1가 (31),영천동 (34),응봉동 (40),주교동 (48),삼선동4가 (57),신계동 (59)
309,충무로3가 (7),주교동 (12),필동1가 (15),필동3가 (18),연지동 (23),주교동 (26),삼선동1가 (30),을지로1가 (34),을지로1가 (40),보문동7가 (47),소격동 (57),당산동 (59)
