area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
인의동,13.0,22.0,21.0,24.0,31.0,35.0,40.0,49.0,56.0,72.0,82.0,82.0
교북동,3.0,11.0,15.0,17.0,20.0,21.0,16.0,14.0,15.0,16.0,18.0,18.0
체부동,3.0,6.0,7.0,12.0,15.0,26.0,35.0,49.0,63.0,75.0,86.0,86.0
종로4가,4.0,6.0,9.0,12.0,15.0,16.0,18.0,20.0,22.0,25.0,31.0,31.0
종로1가,10.0,22.0,37.0,33.0,35.0,38.0,42.0,53.0,67.0,84.0,103.0,103.0
필운동,5.0,13.0,11.0,16.0,18.0,22.0,32.0,39.0,49.0,57.0,73.0,73.0
사간동,0.0,0.0,0.0,1.0,3.0,7.0,8.0,10.0,10.0,10.0,20.0,20.0
청진동,24.0,28.0,36.0,45.0,50.0,54.0,55.0,95.0,140.0,166.0,208.0,208.0
장사동,2.0,3.0,6.0,8.0,7.0,7.0,7.0,8.0,8.0,10.0,14.0,14.0
효제동,9.0,15.0,27.0,38.0,39.0,44.0,60.0,69.0,75.0,89.0,111.0,111.0
원남동,2.0,8.0,11.0,12.0,14.0,12.0,15.0,22.0,34.0,37.0,39.0,39.0
적선동,9.0,15.0,19.0,21.0,26.0,29.0,38.0,47.0,53.0,71.0,83.0,83.0
홍지동,4.0,6.0,11.0,16.0,17.0,19.0,24.0,31.0,34.0,45.0,49.0,49.0
이화동,0.0,2.0,4.0,5.0,10.0,13.0,20.0,23.0,32.0,44.0,54.0,54.0
봉익동,8.0,8.0,7.0,9.0,11.0,16.0,16.0,23.0,25.0,25.0,28.0,28.0
무악동,6.0,11.0,18.0,21.0,25.0,31.0,36.0,41.0,40.0,39.0,40.0,40.0
교남동,5.0,10.0,15.0,18.0,17.0,17.0,19.0,24.0,23.0,23.0,38.0,38.0
화동,2.0,4.0,6.0,15.0,16.0,20.0,20.0,25.0,26.0,28.0,39.0,39.0
사직동,0.0,12.0,16.0,19.0,21.0,23.0,23.0,30.0,37.0,37.0,42.0,42.0
충신동,0.0,10.0,12.0,13.0,15.0,16.0,16.0,18.0,24.0,24.0,26.0,26.0
창성동,1.0,2.0,3.0,4.0,6.0,7.0,7.0,8.0,9.0,17.0,21.0,21.0
연건동,8.0,12.0,21.0,28.0,34.0,41.0,49.0,55.0,70.0,81.0,85.0,85.0
내자동,0.0,8.0,14.0,24.0,26.0,29.0,39.0,53.0,56.0,73.0,91.0,91.0
신문로2가,6.0,10.0,14.0,23.0,27.0,33.0,31.0,38.0,47.0,49.0,60.0,60.0
옥인동,2.0,2.0,2.0,3.0,3.0,6.0,12.0,21.0,25.0,30.0,34.0,34.0
운니동,5.0,4.0,6.0,5.0,5.0,7.0,12.0,12.0,14.0,20.0,25.0,25.0
누상동,0.0,1.0,3.0,3.0,2.0,4.0,5.0,14.0,18.0,23.0,27.0,27.0
청운동,2.0,5.0,5.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,20.0,20.0
중학동,1.0,1.0,2.0,2.0,9.0,10.0,21.0,24.0,27.0,23.0,28.0,28.0
홍파동,1.0,5.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0
예지동,0.0,3.0,4.0,4.0,4.0,4.0,8.0,10.0,12.0,13.0,14.0,14.0
신교동,0.0,0.0,3.0,4.0,5.0,4.0,6.0,9.0,10.0,12.0,14.0,14.0
효자동,0.0,3.0,2.0,3.0,7.0,9.0,9.0,14.0,16.0,18.0,17.0,17.0
송현동,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
행촌동,0.0,0.0,1.0,2.0,2.0,3.0,3.0,5.0,6.0,6.0,10.0,10.0
궁정동,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
역삼동,982.0,1298.0,1514.0,1763.0,2011.0,2211.0,2437.0,2756.0,2958.0,3243.0,3526.0,3526.0
문정동,300.0,312.0,339.0,411.0,429.0,440.0,485.0,557.0,631.0,855.0,1298.0,1619.0
석촌동,354.0,369.0,375.0,412.0,366.0,373.0,398.0,429.0,459.0,521.0,579.0,704.0
잠실동,729.0,746.0,788.0,828.0,792.0,820.0,932.0,995.0,1151.0,1363.0,1585.0,1886.0
방이동,482.0,494.0,523.0,598.0,592.0,558.0,620.0,701.0,812.0,928.0,1085.0,1337.0
삼전동,251.0,259.0,271.0,298.0,274.0,263.0,293.0,292.0,325.0,366.0,399.0,480.0
마천동,284.0,310.0,314.0,310.0,313.0,333.0,324.0,310.0,360.0,385.0,374.0,410.0
신천동,182.0,192.0,231.0,248.0,255.0,235.0,266.0,397.0,448.0,503.0,604.0,729.0
가락동,607.0,647.0,707.0,744.0,703.0,672.0,701.0,778.0,872.0,974.0,1059.0,1249.0
송파동,321.0,340.0,358.0,372.0,334.0,307.0,331.0,402.0,445.0,509.0,575.0,719.0
장지동,13.0,21.0,23.0,24.0,23.0,25.0,29.0,30.0,44.0,116.0,210.0,254.0
거여동,245.0,249.0,246.0,268.0,274.0,283.0,307.0,276.0,293.0,305.0,305.0,341.0
오금동,254.0,261.0,266.0,290.0,286.0,295.0,316.0,328.0,358.0,382.0,345.0,409.0
풍납동,220.0,229.0,236.0,243.0,244.0,237.0,251.0,262.0,290.0,324.0,314.0,351.0
신정동,752.0,771.0,800.0,863.0,881.0,936.0,999.0,1087.0,1198.0,1298.0,1411.0,1656.0
