GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2005203051334619645200000000,1132010500100130000,1132010500,서울특별시 도봉구 쌍문동,1,일반,13,552,1,일반건축물,2,일반건축물대방,,C동,0,주건축물,641,57.75,57.75,9.01,9.01,32,경량철골구조,04000,제2종근린생활시설,04999,기타제2종근생활시설,2,상업용,4.6,1,0,2005-07-21,2005-08-10,2018-07-06
2001203052234619898200000000,1132010500100130000,1132010500,서울특별시 도봉구 쌍문동,1,일반,13,550,1,일반건축물,2,일반건축물대방,,A동,0,주건축물,641,83.97,75.63,11.8,13.1,32,경량철골구조,04000,제2종근린생활시설,04006,수리점,2,상업용,6.1,1,0,2001-04-09,2001-06-13,2018-07-06
1989203086924619401300000000,1132010500100130002,1132010500,서울특별시 도봉구 쌍문동,1,일반,13-2,4167,2,집합건축물,3,표제부,,3동,0,주건축물,0,0,2911.2,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,0,5,1,1987-05-29,1989-08-11,2018-07-06
1989203069104619203300000000,1132010500100130002,1132010500,서울특별시 도봉구 쌍문동,1,일반,13-2,4168,2,집합건축물,3,표제부,,4동,0,주건축물,0,0,4363.2,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,0,5,1,1987-05-29,1989-08-11,2018-07-06
1989203083384619660400000000,1132010500100130002,1132010500,서울특별시 도봉구 쌍문동,1,일반,13-2,4169,2,집합건축물,3,표제부,,2동,0,주건축물,0,0,1798.92,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,0,5,1,1987-05-29,1989-08-11,2018-07-06
1989203090214619931900000000,1132010500100130002,1132010500,서울특별시 도봉구 쌍문동,1,일반,13-2,4166,2,집합건축물,3,표제부,,1동,0,주건축물,0,0,2058.12,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,0,5,1,1987-05-29,1989-08-11,2018-07-06
1994203035284619572100000000,1132010500100130007,1132010500,서울특별시 도봉구 쌍문동,1,일반,13-7,553,1,일반건축물,2,일반건축물대방,,,0,주건축물,434,244.79,244.79,56.4,56.4,32,경량철골구조,03000,제1종근린생활시설,03001,소매점,2,상업용,4.5,1,0,1994-10-11,1994-12-15,2018-07-06
1999203048114618593500000000,1132010500100190000,1132010500,서울특별시 도봉구 쌍문동,1,일반,19,4170,2,집합건축물,3,표제부,쌍문동L.G드윈빌1,,0,주건축물,2224,1256.53,11455,313.59,56.5,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,41.35,14,3,1997-03-20,1999-06-28,2018-07-06
1994203074124618971100000000,1132010500100190001,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-1,555,1,일반건축물,2,일반건축물대방,,,0,주건축물,137,65.77,275.38,135.43,48.01,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,8.2,3,1,1993-12-21,1994-04-15,2018-07-06
2014203059844618968400000000,1132010500100190002,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-2,100197683,1,일반건축물,2,일반건축물대방,,주건축물제1동,0,주건축물,172,99,99,57.5581,57.5581,31,일반철골구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,6.2,1,0,2013-09-09,2014-01-23,2018-07-06
2000203104994618398500000000,1132010500100190012,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-12,556,1,일반건축물,2,일반건축물대방,시립도봉노인종합복지관,,0,주건축물,1708,645.68,2771.37,103.35,37.8,21,철근콘크리트구조,11000,노유자시설,11202,사회복지시설,6,문교사회용,15.35,4,1,1998-12-14,2000-07-18,2018-07-06
