GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1969189462854425459200000000,1154510100100040006,1154510100,서울특별시 금천구 가산동,1,일반,4-6,12831,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,90.28,180.56,0,0,11,벽돌구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,0,2,0,,1969-12-26,2018-07-06
2001189454764425377600000000,1154510100100040007,1154510100,서울특별시 금천구 가산동,1,일반,4-7,15612,1,일반건축물,2,일반건축물대방,,,0,주건축물,138.77,33.24,33.24,23.95,23.95,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,3.15,1,0,2001-03-08,2001-05-03,2018-07-06
1992189473884425370600000000,1154510100100040009,1154510100,서울특별시 금천구 가산동,1,일반,4-9,3314,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,69.3,277.2,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,3,1,,1992-07-03,2018-07-06
1992189452474425530200000000,1154510100100040013,1154510100,서울특별시 금천구 가산동,1,일반,4-13,9135,1,일반건축물,2,일반건축물대방,,,0,주건축물,92,49.73,198.92,216.22,54.05,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,13.3,4,0,1992-03-31,1992-11-25,2018-07-06
1970189445984425594400000000,1154510100100040022,1154510100,서울특별시 금천구 가산동,1,일반,4-22,12701,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,105.55,105.55,0,0,12,블록구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,0,1,0,,1970-09-20,2018-07-06
1992189449504425445400000000,1154510100100040023,1154510100,서울특별시 금천구 가산동,1,일반,4-23,9138,1,일반건축물,2,일반건축물대방,,,0,주건축물,138,69.67,215.37,100.36,50.48,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,7.7,2,1,1992-06-10,1992-11-03,2018-07-06
1991189466224425276500000000,1154510100100050011,1154510100,서울특별시 금천구 가산동,1,일반,5-11,12527,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,65.88,197.64,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,1991-01-19,1991-09-20,2018-07-06
1992189474504425200900000000,1154510100100050014,1154510100,서울특별시 금천구 가산동,1,일반,5-14,9741,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,40.08,120.24,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,,1992-08-21,2018-07-06
1969189472294424992000000000,1154510100100050019,1154510100,서울특별시 금천구 가산동,1,일반,5-19,14323,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,45.22,45.22,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1969-12-11,2018-07-06
1997189466044424910600000000,1154510100100050021,1154510100,서울특별시 금천구 가산동,1,일반,5-21,9935,1,일반건축물,2,일반건축물대방,,,0,주건축물,88.9,53.57,104.89,117.99,60.25,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,5.7,2,0,1996-07-13,1997-07-30,2018-07-06
1993189482144425295700000000,1154510100100050024,1154510100,서울특별시 금천구 가산동,1,일반,5-24,15949,1,일반건축물,2,일반건축물대방,,,0,주건축물,107.59,59.28,254.4,220.39,55.09,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,12.9,4,1,1992-05-27,1993-12-30,2018-07-06
1991189459944425206700000000,1154510100100050033,1154510100,서울특별시 금천구 가산동,1,일반,5-33,15237,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,59.55,178.65,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,1991-01-14,1991-08-26,2018-07-06
1993189468144425133100000000,1154510100100050034,1154510100,서울특별시 금천구 가산동,1,일반,5-34,16172,1,일반건축물,2,일반건축물대방,,,0,주건축물,84.42,48.98,138.24,109.17,58.01,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.8,2,1,1991-06-17,1993-11-27,2018-07-06
1992189462384425073300000000,1154510100100050035,1154510100,서울특별시 금천구 가산동,1,일반,5-35,16025,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,27.22,81.66,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,,1992-08-20,2018-07-06
1991189485964425129400000000,1154510100100060004,1154510100,서울특별시 금천구 가산동,1,일반,6-4,13787,1,일반건축물,2,일반건축물대방,,,0,주건축물,108.2,59.85,179.55,110.63,49.44,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.7,2,1,1990-04-13,1991-01-23,2018-07-06
1969189478424425056000000000,1154510100100060005,1154510100,서울특별시 금천구 가산동,1,일반,6-5,10222,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,44.26,44.26,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1969-06-23,2018-07-06
1996189475074424878700000000,1154510100100070004,1154510100,서울특별시 금천구 가산동,1,일반,7-4,11788,1,일반건축물,2,일반건축물대방,,,0,주건축물,140.08,83.2,219.9,156.98,59.39,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,8.1,3,0,1996-07-15,1996-12-16,2018-07-06
1994189493294425064000000000,1154510100100070008,1154510100,서울특별시 금천구 가산동,1,일반,7-8,15156,1,일반건축물,2,일반건축물대방,,,0,주건축물,97.8,58.11,149.55,103.72,59.41,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.8,2,1,1993-02-22,1994-05-20,2018-07-06
1994189485224424988800000000,1154510100100070009,1154510100,서울특별시 금천구 가산동,1,일반,7-9,6281,1,일반건축물,2,일반건축물대방,,,0,주건축물,91.4,54.81,149.38,113.04,59.96,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.8,2,1,1992-12-28,1994-04-15,2018-07-06
1994189497554424926800000000,1154510100100070010,1154510100,서울특별시 금천구 가산동,1,일반,7-10,14721,1,일반건축물,2,일반건축물대방,,,0,주건축물,95.4,56.99,158.76,110.94,59.74,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.8,2,1,,1994-04-06,2018-07-06
