area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
영등포동7가,107,108,75,83,78,86,77,72,82,92,100,117
신길동,630,661,626,686,709,753,791,858,941,1019,1140,1260
당산동4가,60,60,41,39,46,49,59,74,102,119,134,160
영등포동3가,163,173,163,186,204,228,239,279,306,339,375,418
문래동6가,29,27,26,28,28,31,33,43,58,65,71,77
도림동,151,152,135,134,129,121,128,138,145,162,188,207
양평동5가,17,22,22,25,27,36,41,57,65,73,85,93
양평동1가,92,107,106,98,93,96,95,104,119,135,157,179
당산동3가,113,130,128,132,156,184,198,235,261,318,362,427
영등포동5가,95,90,65,62,68,77,75,80,91,98,115,131
양화동,3,3,1,2,2,3,5,6,5,5,14,18
영등포동1가,23,22,18,20,20,21,23,22,28,33,39,46
당산동5가,41,47,44,52,52,68,80,92,100,115,121,143
영등포동8가,41,46,39,44,46,42,52,59,65,72,86,97
양평동6가,16,15,13,13,14,13,13,13,13,17,20,20
문래동1가,28,28,29,32,33,32,35,37,45,46,48,56
양평동2가,47,46,43,50,57,63,64,66,71,88,111,142
문래동4가,35,36,34,34,34,37,36,38,45,51,65,68
문래동5가,11,9,8,10,12,12,15,18,21,28,37,44
당산동6가,70,68,62,70,91,94,111,117,117,150,169,200
당산동2가,46,49,54,54,54,61,70,72,80,100,108,123
영등포동2가,119,114,99,102,107,114,111,112,116,117,118,137
당산동,38,43,31,28,29,34,43,43,50,53,58,59
영등포동6가,69,68,58,59,53,58,66,63,67,80,88,98
선유동,1,1,1,1,1,1,1,1,1,1,1,1
신내동,41,66,101,117,144,149,168,217,268,327,398,398
중화동,65,89,133,156,195,218,226,276,322,403,493,493
면목동,197,311,412,518,596,692,779,922,1082,1251,1507,1507
망우동,66,98,143,189,227,253,272,337,400,472,539,539
묵동,37,71,99,126,172,230,238,280,327,402,469,469
상봉동,74,114,154,183,235,265,320,384,454,537,650,650
삼성동,488,640,769,928,1102,1106,1150,1275,1394,1529,1639,1639
논현동,564,790,1025,1190,1276,1411,1556,1734,1921,2029,2164,2164
청담동,323,415,522,631,709,745,811,870,863,952,1033,1033
대치동,571,710,883,1030,1154,1322,1385,1525,1631,1659,1697,1697
도곡동,229,280,320,358,402,465,526,570,590,598,611,611
개포동,238,279,334,363,350,419,450,477,468,501,504,504
세곡동,6,12,16,17,23,28,35,53,67,69,83,83
수서동,68,82,83,101,121,145,155,187,191,227,249,249
일원동,87,119,131,132,160,167,200,233,227,234,244,244
압구정동,120,139,139,153,177,182,196,219,258,258,224,224
율현동,8,7,6,9,12,15,17,20,22,29,32,32
마곡동,29,33,32,28,27,44,37,45,111,259,762,762
등촌동,403,475,521,572,540,540,581,657,686,754,903,903
방화동,449,519,541,584,661,695,669,736,759,799,828,828
화곡동,1192,1267,1419,1543,1592,1622,1654,1700,1930,2067,2276,2276
염창동,101,121,166,187,222,226,230,242,239,260,289,289
내발산동,190,227,275,284,288,302,336,341,343,373,401,401
가양동,130,147,183,198,188,207,221,231,243,247,277,277
외발산동,18,18,22,24,17,24,14,15,16,18,25,25
과해동,11,12,15,19,22,22,31,3,3,3,3,3
개화동,2,2,6,8,6,4,2,3,5,9,13,13
미아동,759,794,904,975,1134,1256,1293,1405,1530,1563,1720,1720
수유동,630,713,778,807,891,997,1074,1202,1295,1426,1541,1541
번동,252,270,291,290,338,385,395,414,432,455,503,503
우이동,71,85,77,91,100,112,122,140,137,150,158,158
도선동,78,85,84,89,107,104,111,128,138,142,182,205
명일동,338,305,369,416,428,429,465,513,556,551,448,448
상일동,114,110,138,148,153,162,187,227,247,230,205,205
성내동,757,636,753,860,911,884,921,1042,1163,1212,1159,1159
둔촌동,165,124,165,176,213,190,217,253,285,291,244,244
길동,422,381,433,507,473,490,531,611,654,652,616,616
천호동,685,666,805,924,1017,970,1028,1159,1257,1329,1234,1234
고덕동,122,109,120,138,148,147,157,176,191,158,175,175
암사동,326,327,410,442,452,421,407,483,519,530,487,487
강일동,21,6,12,26,42,50,68,85,72,75,63,63
신림동,1669,1828,2176,2454,2387,2412,2186,2410,2554,2628,2771,2771
봉천동,1235,1396,1624,1808,1697,1770,1673,1866,2010,2089,2236,2236
남현동,114,107,132,149,160,164,167,189,193,218,232,232
신대방동,288,299,299,315,285,297,311,350,384,434,489,580
을지로2가,11,23,41,52,57,68,77,99,122,154,195,195
남산동1가,3,6,4,6,8,9,11,13,13,21,24,24
신당동,94,169,239,310,374,463,520,625,696,818,987,987
