,동이름,2008.4/4,2009.4/4,2010.4/4,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4
1300,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","27,040","18,570","26,627","18,105"
1301,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","27,040","18,570","18,349","26,229"
1302,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","27,040","18,570","18,349","18,105"
1303,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","26,976","26,627","26,229"
1304,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","26,976","26,627","18,105"
1305,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","26,976","18,349","26,229"
1306,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","26,976","18,349","18,105"
1307,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","18,570","26,627","26,229"
1308,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","18,570","26,627","18,105"
1309,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","18,570","18,349","26,229"
1310,신사동,"21,623","21,485","21,323","25,942","20,306","26,938","19,114","18,570","18,349","18,105"
1311,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","26,976","26,627","26,229"
1312,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","26,976","26,627","18,105"
1313,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","26,976","18,349","26,229"
1314,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","26,976","18,349","18,105"
1315,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","18,570","26,627","26,229"
1316,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","18,570","26,627","18,105"
1317,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","18,570","18,349","26,229"
1318,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","27,040","18,570","18,349","18,105"
1319,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","26,976","26,627","26,229"
1320,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","26,976","26,627","18,105"
1321,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","26,976","18,349","26,229"
1322,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","26,976","18,349","18,105"
1323,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","18,570","26,627","26,229"
1324,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","18,570","26,627","18,105"
1325,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","18,570","18,349","26,229"
1326,신사동,"21,623","21,485","21,323","25,942","20,306","19,753","19,114","18,570","18,349","18,105"
1327,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","26,976","26,627","26,229"
1328,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","26,976","26,627","18,105"
1329,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","26,976","18,349","26,229"
1330,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","26,976","18,349","18,105"
1331,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","18,570","26,627","26,229"
1332,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","18,570","26,627","18,105"
1333,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","18,570","18,349","26,229"
1334,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","27,040","18,570","18,349","18,105"
1335,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","26,976","26,627","26,229"
1336,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","26,976","26,627","18,105"
1337,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","26,976","18,349","26,229"
1338,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","26,976","18,349","18,105"
1339,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","18,570","26,627","26,229"
1340,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","18,570","26,627","18,105"
1341,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","18,570","18,349","26,229"
1342,신사동,"21,623","21,485","21,323","20,870","26,716","26,938","19,114","18,570","18,349","18,105"
1343,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","26,976","26,627","26,229"
1344,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","26,976","26,627","18,105"
1345,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","26,976","18,349","26,229"
1346,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","26,976","18,349","18,105"
1347,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","18,570","26,627","26,229"
1348,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","18,570","26,627","18,105"
1349,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","18,570","18,349","26,229"
1350,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","27,040","18,570","18,349","18,105"
1351,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","26,976","26,627","26,229"
1352,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","26,976","26,627","18,105"
1353,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","26,976","18,349","26,229"
1354,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","26,976","18,349","18,105"
1355,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","18,570","26,627","26,229"
1356,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","18,570","26,627","18,105"
1357,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","18,570","18,349","26,229"
1358,신사동,"21,623","21,485","21,323","20,870","26,716","19,753","19,114","18,570","18,349","18,105"
1359,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","26,976","26,627","26,229"
1360,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","26,976","26,627","18,105"
1361,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","26,976","18,349","26,229"
1362,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","26,976","18,349","18,105"
1363,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","18,570","26,627","26,229"
1364,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","18,570","26,627","18,105"
1365,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","18,570","18,349","26,229"
1366,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","27,040","18,570","18,349","18,105"
1367,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","26,976","26,627","26,229"
1368,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","26,976","26,627","18,105"
1369,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","26,976","18,349","26,229"
1370,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","26,976","18,349","18,105"
1371,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","18,570","26,627","26,229"
1372,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","18,570","26,627","18,105"
1373,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","18,570","18,349","26,229"
1374,신사동,"21,623","21,485","21,323","20,870","20,306","26,938","19,114","18,570","18,349","18,105"
1375,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","26,976","26,627","26,229"
1376,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","26,976","26,627","18,105"
1377,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","26,976","18,349","26,229"
1378,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","26,976","18,349","18,105"
1379,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","18,570","26,627","26,229"
1380,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","18,570","26,627","18,105"
1381,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","18,570","18,349","26,229"
1382,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","27,040","18,570","18,349","18,105"
1383,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","26,976","26,627","26,229"
1384,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","26,976","26,627","18,105"
1385,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","26,976","18,349","26,229"
1386,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","26,976","18,349","18,105"
1387,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","18,570","26,627","26,229"
1388,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","18,570","26,627","18,105"
1389,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","18,570","18,349","26,229"
1390,신사동,"21,623","21,485","21,323","20,870","20,306","19,753","19,114","18,570","18,349","18,105"
1391,논현1동,"27,882","27,847","28,338","27,622","26,651","26,221","25,751","25,307","24,867","24,186"
1392,논현2동,"24,083","23,732","24,078","23,204","22,658","22,526","22,441","23,082","22,639","22,573"
1393,압구정1동,"17,211",,,,,,,,,
1394,압구정2동,"12,094",,,,,,,,,
1395,청담1동,"18,428",,,,,,,,,
1396,청담2동,"12,920",,,,,,,,,
1397,삼성1동,"16,301","16,403","16,623","16,421","16,190","15,993","15,800","15,531","15,357","15,193"
1398,삼성2동,"26,626","31,728","32,736","32,806","32,721","32,310","32,170","31,343","30,999","29,628"
1399,대치1동,"26,912","26,907","26,825","21,460","20,603","20,580","19,804","23,283","24,834","25,262"
1400,대치2동,"26,927","45,299","45,167","43,727","43,193","42,509","43,118","42,565","42,068","41,566"
1401,대치3동,"18,199",,,,,,,,,
1402,대치4동,"22,224","22,306","22,323","22,454","22,315","22,351","22,134","21,630","21,292","21,193"
1403,역삼1동,"36,964","36,644","37,109","37,023","36,194","36,142","36,239","36,450","36,305","36,534"
1404,역삼2동,"31,543","32,072","34,948","35,002","35,480","35,091","36,130","36,314","37,047","37,103"
1405,도곡1동,"22,418","22,234","22,273","23,372","22,978","22,945","22,854","22,693","23,057","22,882"
1406,도곡2동,"33,987","33,984","34,668","34,679","34,429","35,674","35,661","35,307","34,934","34,884"
1407,개포1동,"22,577","22,439","22,338","23,764","23,353","22,869","22,163","21,700","21,162","20,111"
1408,개포2동,"19,424","35,898","35,992","35,330","34,999","34,307","33,476","27,354","21,746","14,678"
1409,개포3동,"16,602",,,,,,,,,
1410,개포4동,"24,378","24,323","24,727","24,280","23,897","23,562","23,177","22,135","18,550","18,525"
1411,일원본동,"23,357","23,418","23,531","23,334","23,210","23,051","24,995","25,350","25,104","25,027"
1412,일원1동,"19,612","19,322","19,421","19,094","18,954","18,448","17,880","17,627","17,275","17,108"
1413,일원2동,"20,119","19,939","19,834","19,631","19,212","18,822","18,499","16,621","16,520","16,467"
1414,수서동,"17,950","17,617","17,651","17,304","16,831","16,486","16,064","15,732","16,708","16,787"
1415,세곡동,"5,263","5,419","5,193","10,382","14,400","19,137","35,894","43,302","44,344","44,921"
1416,풍납1동,"21,420","20,950","20,927","20,540","19,974","19,446","19,034","18,782","18,034","16,996"
1417,풍납2동,"29,926","29,522","29,363","28,896","28,831","28,345","28,066","27,259","25,842","25,386"
1418,거여1동,"16,597","16,332","16,423","16,178","16,084","15,869","15,472","15,228","14,774","13,466"
1419,거여2동,"30,694","29,925","29,739","28,891","28,458","27,825","27,302","24,101","19,609","17,915"
1420,마천1동,"20,021","19,775","19,813","24,688","24,536","23,762","23,185","23,255","22,912","22,047"
1421,마천2동,"23,881","23,602","23,676","22,984","22,469","22,254","21,792","21,683","21,128","20,857"
1422,방이1동,"18,014","17,898","17,776","17,650","17,461","16,929","16,805","16,617","16,358","16,758"
1423,방이2동,"26,087","25,913","26,267","26,004","26,202","26,029","25,852","25,848","25,446","25,600"
1424,오륜동,"21,303","20,967","20,706","20,610","20,394","20,316","20,114","19,999","19,714","19,562"
1425,오금동,"39,468","39,669","39,725","39,098","38,747","38,276","37,544","37,291","37,069","38,091"
1426,송파1동,"28,539","28,001","28,276","27,824","27,875","27,798","27,287","27,046","26,717","26,318"
1427,송파2동,"21,522","20,843","20,771","20,693","22,931","22,852","22,497","22,275","21,974","21,474"
1428,석촌동,"36,892","36,572","36,435","35,890","36,060","35,996","35,680","35,478","35,420","34,670"
1429,삼전동,"35,497","35,375","35,799","35,411","35,278","35,213","34,507","34,293","33,851","33,624"
1430,가락본동,"30,689","30,271","30,377","30,103","29,975","29,612","29,132","28,918","28,395","28,251"
1431,가락1동,"16,169","15,601","15,785","15,589","6,591","1,754","1,237",968,918,905
1432,가락2동,"36,505","36,647","36,772","36,380","36,265","35,887","35,477","35,434","35,064","34,681"
1433,문정1동,"23,293","23,132","23,160","22,893","22,751","22,676","22,383","22,013","21,660","21,608"
1434,문정2동,"16,799","16,508","16,323","16,119","15,955","18,088","18,158","18,824","24,043","27,540"
1435,장지동,"34,072","36,869","37,579","37,620","37,635","40,509","46,174","35,930","35,834","35,217"
1436,잠실본동,"32,272","31,955","32,189","31,427","31,356","31,085","30,965","30,898","30,187","29,897"
1437,잠실4동,"26,096","31,274","31,620","31,743","31,511","31,271","30,842","30,924","30,534","30,430"
1438,잠실6동,"17,124","17,635","17,758","17,572","17,432","17,999","17,848","17,826","17,689","17,430"
1439,잠실7동,"10,747","10,782","10,952","10,859","10,794","10,646","10,474","10,433","10,516","10,444"
1440,잠실2동,"25,553","35,812","36,960","37,177","37,101","37,239","36,799","37,033","36,853","36,983"
1441,잠실3동,"37,400","37,466","37,973","37,627","37,484","37,279","37,168","37,094","37,067","36,770"
1442,강일동,533,"19,604","21,636","34,047","34,701","34,508","34,168","34,023","34,356","33,676"
1443,상일동,"29,825","28,836","28,904","28,103","27,912","27,460","26,868","24,471","12,755","9,894"
1444,명일1동,"29,496","28,984","29,124","28,878","28,642","28,415","28,073","23,430","23,036","22,609"
1445,명일2동,"19,333","19,247","19,139","18,948","19,064","18,911","18,784","18,672","18,503","18,210"
1446,고덕1동,"21,409","22,811","23,991","23,313","17,558","17,169","16,835","16,548","16,318","27,602"
1447,고덕2동,"20,113","18,849","18,840","18,373","18,163","17,801","17,005","9,223","8,674","8,232"
1448,암사2동,"16,289","16,438","16,519","16,382","16,530","16,457","16,312","16,159","15,502","14,991"
1449,암사3동,"16,541","19,453","19,392","19,241","19,083","19,213","19,065","19,249","19,293","19,028"
1450,천호1동,"33,988","33,190","33,358","32,575","32,013","31,350","30,573","29,636","29,555","29,748"
1451,천호3동,"29,737","28,382","27,768","27,270","26,970","26,460","26,105","26,047","25,857","28,193"
1452,성내1동,"21,499","21,451","21,901","20,685","20,147","19,812","19,724","19,657","20,992","21,208"
1453,성내2동,"27,864","27,329","27,514","27,129","27,162","26,901","26,583","26,227","25,979","25,967"
1454,성내3동,"25,420","25,316","25,666","25,609","25,623","25,528","25,322","25,189","24,628","24,536"
1455,둔촌1동,"21,489","20,976","20,759","20,442","20,258","19,900","19,530","19,264","18,715","1,997"
1456,둔촌2동,"27,834","27,787","30,132","29,793","29,655","29,588","29,349","28,988","28,760","28,920"
1457,암사1동,"40,423","39,958","40,183","39,467","39,384","38,995","38,289","37,753","37,988","38,434"
1458,천호2동,"39,330","39,192","39,458","38,532","38,480","38,032","37,226","37,065","36,126","36,691"
1459,길동,"52,850","51,852","52,655","51,729","51,382","51,469","51,521","51,720","51,434","50,423"
