법정동코드,법정동명,2018,2018_bin
1144011400,서울특별시 마포구 창전동,7352941.0,4.0
1144010600,서울특별시 마포구 토정동,9979839.0,3.0
1144011600,서울특별시 마포구 하중동,,
1144012200,서울특별시 마포구 합정동,15099220.0,2.0
1144011200,서울특별시 마포구 현석동,,
1141012000,서울특별시 서대문구 남가좌동,14214290.0,2.0
1141010500,서울특별시 서대문구 냉천동,,
1141011300,서울특별시 서대문구 대신동,,
1141011200,서울특별시 서대문구 대현동,20103270.0,1.0
1141010400,서울특별시 서대문구 미근동,17007940.0,2.0
1141011500,서울특별시 서대문구 봉원동,,
1141011900,서울특별시 서대문구 북가좌동,,
1141011000,서울특별시 서대문구 북아현동,24291070.0,1.0
1141011400,서울특별시 서대문구 신촌동,,
1141011700,서울특별시 서대문구 연희동,8876466.0,3.0
1141010800,서울특별시 서대문구 영천동,,
1141010700,서울특별시 서대문구 옥천동,,
1141011600,서울특별시 서대문구 창천동,18146900.0,1.0
1141010600,서울특별시 서대문구 천연동,6926752.0,4.0
1141010100,서울특별시 서대문구 충정로2가,,
1141010200,서울특별시 서대문구 충정로3가,,
1141010300,서울특별시 서대문구 합동,,
1141010900,서울특별시 서대문구 현저동,2701778.0,4.0
1141011800,서울특별시 서대문구 홍은동,4245630.0,4.0
1141011100,서울특별시 서대문구 홍제동,11341810.0,3.0
1165010900,서울특별시 서초구 내곡동,,
1165010700,서울특별시 서초구 반포동,17189480.0,2.0
1165010100,서울특별시 서초구 방배동,16850230.0,2.0
1165010800,서울특별시 서초구 서초동,17506930.0,2.0
1165011100,서울특별시 서초구 신원동,,
1165010200,서울특별시 서초구 양재동,13328110.0,2.0
1165011000,서울특별시 서초구 염곡동,,
1165010300,서울특별시 서초구 우면동,15904020.0,2.0
1165010400,서울특별시 서초구 원지동,4796163.0,4.0
1165010600,서울특별시 서초구 잠원동,19462010.0,1.0
1120010900,서울특별시 성동구 금호동1가,11133810.0,3.0
1120011000,서울특별시 성동구 금호동2가,6142506.0,4.0
1120011100,서울특별시 성동구 금호동3가,10974640.0,3.0
1120011200,서울특별시 성동구 금호동4가,,
1120010400,서울특별시 성동구 도선동,,
1120010500,서울특별시 성동구 마장동,7315940.0,4.0
1120010600,서울특별시 성동구 사근동,,
1120010100,서울특별시 성동구 상왕십리동,,
1120011400,서울특별시 성동구 성수동1가,11428570.0,3.0
1120011500,서울특별시 성동구 성수동2가,12041880.0,2.0
1120011800,서울특별시 성동구 송정동,,
1120011300,서울특별시 성동구 옥수동,,
1120012200,서울특별시 성동구 용답동,10440310.0,3.0
1120010800,서울특별시 성동구 응봉동,,
1120010200,서울특별시 성동구 하왕십리동,12886780.0,2.0
1120010700,서울특별시 성동구 행당동,10507250.0,3.0
1120010300,서울특별시 성동구 홍익동,11346010.0,3.0
1129013400,서울특별시 성북구 길음동,19561400.0,1.0
1129010300,서울특별시 성북구 돈암동,,
1129011600,서울특별시 성북구 동선동1가,13806090.0,2.0
1129011700,서울특별시 성북구 동선동2가,,
1129011800,서울특별시 성북구 동선동3가,11194030.0,3.0
1129011900,서울특별시 성북구 동선동4가,7852448.0,4.0
1129012000,서울특별시 성북구 동선동5가,,
1129010400,서울특별시 성북구 동소문동1가,,
1129010500,서울특별시 성북구 동소문동2가,15796700.0,2.0
1129010600,서울특별시 성북구 동소문동3가,,
1129010700,서울특별시 성북구 동소문동4가,10257890.0,3.0
1129010800,서울특별시 성북구 동소문동5가,11521740.0,3.0
1129010900,서울특별시 성북구 동소문동6가,,
1129011000,서울특별시 성북구 동소문동7가,,
1129013000,서울특별시 성북구 보문동1가,15300710.0,2.0
1129013100,서울특별시 성북구 보문동2가,,
1129013200,서울특별시 성북구 보문동3가,,
1129012600,서울특별시 성북구 보문동4가,,
1129012700,서울특별시 성북구 보문동5가,,
1129012800,서울특별시 성북구 보문동6가,,
1129012900,서울특별시 성북구 보문동7가,12135920.0,2.0
1129011100,서울특별시 성북구 삼선동1가,10102100.0,3.0
1129011200,서울특별시 성북구 삼선동2가,,
1129011300,서울특별시 성북구 삼선동3가,,
1129011400,서울특별시 성북구 삼선동4가,,
1129011500,서울특별시 성북구 삼선동5가,,
1129013700,서울특별시 성북구 상월곡동,4749556.0,4.0
1129013900,서울특별시 성북구 석관동,5205357.0,4.0
1129010100,서울특별시 성북구 성북동,5760927.0,4.0
1129010200,서울특별시 성북구 성북동1가,,
1129012100,서울특별시 성북구 안암동1가,,
1129012200,서울특별시 성북구 안암동2가,,
1129012300,서울특별시 성북구 안암동3가,,
1129012400,서울특별시 성북구 안암동4가,,
1129012500,서울특별시 성북구 안암동5가,8692810.0,3.0
1129013800,서울특별시 성북구 장위동,5393576.0,4.0
1129013300,서울특별시 성북구 정릉동,4773438.0,4.0
1129013500,서울특별시 성북구 종암동,5878623.0,4.0
1129013600,서울특별시 성북구 하월곡동,6099341.0,4.0
1171010700,서울특별시 송파구 가락동,12180650.0,2.0
1171011300,서울특별시 송파구 거여동,20328870.0,1.0
1171011400,서울특별시 송파구 마천동,9292645.0,3.0
1171010800,서울특별시 송파구 문정동,12905160.0,2.0
1171011100,서울특별시 송파구 방이동,18867920.0,1.0
1171010600,서울특별시 송파구 삼전동,16093000.0,2.0
1171010500,서울특별시 송파구 석촌동,13050520.0,2.0
1171010400,서울특별시 송파구 송파동,15097980.0,2.0
1171010200,서울특별시 송파구 신천동,,
1171011200,서울특별시 송파구 오금동,8566426.0,3.0
1171010100,서울특별시 송파구 잠실동,15453080.0,2.0
1171010900,서울특별시 송파구 장지동,,
1171010300,서울특별시 송파구 풍납동,8522727.0,3.0
1147010200,서울특별시 양천구 목동,9122050.0,3.0
1147010300,서울특별시 양천구 신월동,6790124.0,4.0
1147010100,서울특별시 양천구 신정동,13755520.0,2.0
1156011700,서울특별시 영등포구 당산동,8076358.0,4.0
1156011100,서울특별시 영등포구 당산동1가,,
1156011200,서울특별시 영등포구 당산동2가,,
1156011300,서울특별시 영등포구 당산동3가,,
1156011400,서울특별시 영등포구 당산동4가,,
1156011500,서울특별시 영등포구 당산동5가,,
1156011600,서울특별시 영등포구 당산동6가,,
1156013300,서울특별시 영등포구 대림동,10109520.0,3.0
1156011800,서울특별시 영등포구 도림동,,
1156011900,서울특별시 영등포구 문래동1가,5670119.0,4.0
1156012000,서울특별시 영등포구 문래동2가,6341128.0,4.0
1156012100,서울특별시 영등포구 문래동3가,7912835.0,4.0
1156012200,서울특별시 영등포구 문래동4가,6942889.0,4.0
1156012300,서울특별시 영등포구 문래동5가,,
1156012400,서울특별시 영등포구 문래동6가,,
1156013200,서울특별시 영등포구 신길동,8709496.0,3.0
1156013400,서울특별시 영등포구 양평동,10093360.0,3.0
1156012500,서울특별시 영등포구 양평동1가,,
1156012600,서울특별시 영등포구 양평동2가,,
1156012700,서울특별시 영등포구 양평동3가,,
1156012800,서울특별시 영등포구 양평동4가,,
1156012900,서울특별시 영등포구 양평동5가,,
1156013000,서울특별시 영등포구 양평동6가,,
1156013100,서울특별시 영등포구 양화동,,
1156011000,서울특별시 영등포구 여의도동,58398540.0,1.0
1156010100,서울특별시 영등포구 영등포동,11146500.0,3.0
1156010200,서울특별시 영등포구 영등포동1가,,
1156010300,서울특별시 영등포구 영등포동2가,,
1156010400,서울특별시 영등포구 영등포동3가,,
1156010500,서울특별시 영등포구 영등포동4가,,
1156010600,서울특별시 영등포구 영등포동5가,,
1156010700,서울특별시 영등포구 영등포동6가,,
1156010800,서울특별시 영등포구 영등포동7가,,
1156010900,서울특별시 영등포구 영등포동8가,,
1117010400,서울특별시 용산구 갈월동,17219340.0,2.0
1117010500,서울특별시 용산구 남영동,15823470.0,2.0
1117012000,서울특별시 용산구 도원동,,
1117013200,서울특별시 용산구 동빙고동,21304350.0,1.0
1117010700,서울특별시 용산구 동자동,11271710.0,3.0
1117012200,서울특별시 용산구 문배동,21205790.0,1.0
1117013600,서울특별시 용산구 보광동,27370690.0,1.0
1117011500,서울특별시 용산구 산천동,,
1117010800,서울특별시 용산구 서계동,,
