,class,area,2012,2013,2014,2015,2016,2017,2018
403,영등포구,양평동6가,,,,,,,
404,영등포구,양화동,,,,,,,
405,영등포구,신길동,500.0,696.0,627.0,559.0,680.0,850.0,870.0
406,영등포구,대림동,506.0,612.0,544.0,568.0,615.0,709.0,1010.0
407,영등포구,양평동,843.0,528.0,768.0,691.0,783.0,780.0,1009.0
408,동작구,노량진동,865.0,963.0,873.0,914.0,924.0,900.0,1229.0
409,동작구,상도동,538.0,751.0,705.0,771.0,829.0,981.0,827.0
410,동작구,상도1동,902.0,942.0,977.0,919.0,1177.0,1195.0,1598.0
411,동작구,본동,1126.0,,530.0,1484.0,2021.0,1656.0,1720.0
412,동작구,흑석동,711.0,791.0,763.0,706.0,990.0,875.0,1441.0
413,동작구,동작동,,,853.0,,,414.0,626.0
414,동작구,사당동,922.0,826.0,796.0,822.0,1078.0,1200.0,1206.0
415,동작구,대방동,695.0,1106.0,675.0,917.0,753.0,891.0,907.0
416,동작구,신대방동,782.0,717.0,793.0,767.0,823.0,690.0,908.0
417,관악구,봉천동,818.0,783.0,823.0,824.0,945.0,1074.0,1072.0
418,관악구,신림동,714.0,657.0,600.0,724.0,848.0,879.0,1114.0
419,관악구,남현동,658.0,3319.0,818.0,946.0,951.0,1409.0,
420,서초구,방배동,949.0,922.0,889.0,1006.0,1273.0,1403.0,1685.0
421,서초구,양재동,966.0,919.0,848.0,1101.0,1066.0,1266.0,1332.0
422,서초구,우면동,293.0,314.0,688.0,442.0,646.0,835.0,1590.0
423,서초구,원지동,,399.0,,,261.0,,479.0
424,서초구,잠원동,1174.0,1249.0,1496.0,1376.0,2151.0,1755.0,1946.0
425,서초구,반포동,1181.0,873.0,1321.0,1372.0,1763.0,1670.0,1718.0
426,서초구,서초동,1396.0,1136.0,1548.0,1326.0,1868.0,1624.0,1750.0
427,서초구,내곡동,,343.0,,306.0,373.0,,
428,서초구,염곡동,,911.0,650.0,285.0,909.0,446.0,
429,서초구,신원동,,464.0,870.0,1013.0,1752.0,716.0,532.0
430,강남구,역삼동,1304.0,1542.0,1462.0,1710.0,1875.0,1879.0,2336.0
431,강남구,개포동,930.0,851.0,702.0,959.0,1139.0,1100.0,1256.0
432,강남구,청담동,2547.0,1820.0,2304.0,2183.0,2561.0,2577.0,2799.0
433,강남구,삼성동,1724.0,1432.0,1605.0,1918.0,1791.0,2779.0,2699.0
434,강남구,대치동,1740.0,1241.0,1712.0,1678.0,1895.0,2285.0,2340.0
435,강남구,신사동,2418.0,1934.0,2000.0,2049.0,2171.0,2322.0,2547.0
436,강남구,논현동,506.0,497.0,366.0,569.0,500.0,383.0,825.0
437,강남구,압구정동,,3806.0,4826.0,,,,3530.0
438,강남구,세곡동,,,,,,1139.0,
439,강남구,자곡동,,,,,,,
440,강남구,율현동,,,,,,,
441,강남구,일원동,403.0,556.0,567.0,593.0,412.0,1217.0,
442,강남구,수서동,488.0,,1226.0,1290.0,,,2150.0
443,강남구,도곡동,961.0,1017.0,1167.0,1263.0,1471.0,1701.0,1661.0
444,송파구,잠실동,1558.0,1095.0,1180.0,1681.0,1401.0,1604.0,1545.0
445,송파구,신천동,288.0,314.0,304.0,355.0,388.0,369.0,284.0
446,송파구,풍납동,392.0,488.0,838.0,716.0,738.0,726.0,852.0
447,송파구,송파동,894.0,1032.0,1038.0,932.0,1172.0,1029.0,1509.0
448,송파구,석촌동,706.0,815.0,923.0,1130.0,1068.0,1037.0,1305.0
449,송파구,삼전동,817.0,1132.0,1129.0,1034.0,1022.0,1254.0,1609.0
450,송파구,가락동,938.0,827.0,844.0,855.0,906.0,1015.0,1218.0
451,송파구,문정동,769.0,761.0,850.0,805.0,917.0,1048.0,1290.0
452,송파구,장지동,,790.0,197.0,,178.0,191.0,281.0
453,송파구,방이동,900.0,816.0,1239.0,1205.0,1164.0,1792.0,1886.0
454,송파구,오금동,629.0,618.0,703.0,812.0,850.0,802.0,856.0
455,송파구,거여동,837.0,854.0,1068.0,719.0,710.0,846.0,2032.0
456,송파구,마천동,684.0,500.0,643.0,724.0,647.0,726.0,929.0
457,강동구,명일동,723.0,994.0,727.0,776.0,911.0,1269.0,1096.0
458,강동구,고덕동,492.0,539.0,586.0,486.0,862.0,787.0,
459,강동구,상일동,496.0,627.0,1346.0,911.0,878.0,810.0,
460,강동구,길동,713.0,699.0,870.0,800.0,944.0,903.0,1250.0
461,강동구,둔촌동,,578.0,621.0,524.0,722.0,777.0,1086.0
462,강동구,암사동,542.0,687.0,675.0,680.0,873.0,686.0,719.0
463,강동구,성내동,757.0,675.0,801.0,771.0,844.0,865.0,1047.0
464,강동구,천호동,789.0,790.0,667.0,740.0,802.0,971.0,929.0
465,강동구,강일동,,,,,628.0,,454.0
