법정동코드,법정동명,2012_bin,2013_bin,2014_bin,2015_bin,2016_bin,2017_bin,2018_bin
1132010700,서울특별시 도봉구 창동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1123010500,서울특별시 동대문구 답십리동,3.0,3.0,4.0,4.0,4.0,2.0,4.0
1123010100,서울특별시 동대문구 신설동,,1.0,3.0,3.0,3.0,3.0,2.0
1123010200,서울특별시 동대문구 용두동,4.0,4.0,4.0,3.0,2.0,3.0,3.0
1123011000,서울특별시 동대문구 이문동,4.0,2.0,2.0,4.0,4.0,3.0,3.0
1123010600,서울특별시 동대문구 장안동,4.0,4.0,3.0,4.0,3.0,4.0,3.0
1123010400,서울특별시 동대문구 전농동,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1123010300,서울특별시 동대문구 제기동,3.0,4.0,4.0,3.0,4.0,4.0,4.0
1123010700,서울특별시 동대문구 청량리동,4.0,1.0,2.0,3.0,3.0,4.0,4.0
1123010800,서울특별시 동대문구 회기동,2.0,3.0,3.0,3.0,2.0,3.0,4.0
1123010900,서울특별시 동대문구 휘경동,2.0,2.0,2.0,2.0,3.0,3.0,3.0
1159010100,서울특별시 동작구 노량진동,2.0,2.0,2.0,2.0,3.0,3.0,2.0
1159010800,서울특별시 동작구 대방동,3.0,2.0,3.0,2.0,3.0,3.0,3.0
1159010600,서울특별시 동작구 동작동,,,2.0,,,4.0,4.0
1159010400,서울특별시 동작구 본동,2.0,,4.0,1.0,1.0,1.0,2.0
1159010700,서울특별시 동작구 사당동,2.0,2.0,3.0,3.0,2.0,2.0,2.0
1159010300,서울특별시 동작구 상도1동,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1159010200,서울특별시 동작구 상도동,4.0,3.0,3.0,3.0,3.0,3.0,3.0
1159010900,서울특별시 동작구 신대방동,3.0,3.0,3.0,3.0,3.0,4.0,3.0
1159010500,서울특별시 동작구 흑석동,3.0,3.0,3.0,3.0,2.0,3.0,2.0
1144010200,서울특별시 마포구 공덕동,2.0,3.0,3.0,3.0,2.0,2.0,2.0
1144011300,서울특별시 마포구 구수동,,,,2.0,1.0,2.0,2.0
1144011000,서울특별시 마포구 노고산동,3.0,2.0,2.0,1.0,2.0,2.0,1.0
1144011800,서울특별시 마포구 당인동,2.0,,,,2.0,,2.0
1144010800,서울특별시 마포구 대흥동,2.0,2.0,3.0,3.0,2.0,3.0,1.0
1144010400,서울특별시 마포구 도화동,3.0,1.0,2.0,2.0,2.0,3.0,4.0
1144012100,서울특별시 마포구 동교동,2.0,2.0,1.0,1.0,1.0,1.0,1.0
1144010700,서울특별시 마포구 마포동,4.0,,1.0,,,,
1144012300,서울특별시 마포구 망원동,3.0,3.0,3.0,3.0,2.0,2.0,3.0
1144011500,서울특별시 마포구 상수동,2.0,2.0,1.0,2.0,1.0,1.0,1.0
1144012700,서울특별시 마포구 상암동,2.0,2.0,1.0,3.0,1.0,2.0,2.0
1144012000,서울특별시 마포구 서교동,1.0,1.0,2.0,1.0,1.0,1.0,1.0
1144012500,서울특별시 마포구 성산동,3.0,3.0,4.0,3.0,3.0,2.0,4.0
1144010300,서울특별시 마포구 신공덕동,,3.0,4.0,2.0,1.0,,1.0
1144011100,서울특별시 마포구 신수동,3.0,3.0,3.0,2.0,3.0,1.0,4.0
1144011700,서울특별시 마포구 신정동,4.0,,,,,,
1144010100,서울특별시 마포구 아현동,,3.0,2.0,3.0,3.0,3.0,3.0
1144012400,서울특별시 마포구 연남동,3.0,2.0,2.0,2.0,2.0,2.0,1.0
1144010900,서울특별시 마포구 염리동,3.0,3.0,3.0,3.0,3.0,2.0,2.0
1144010500,서울특별시 마포구 용강동,1.0,,,3.0,2.0,3.0,2.0
1144012600,서울특별시 마포구 중동,,,,3.0,4.0,4.0,
1144011400,서울특별시 마포구 창전동,2.0,1.0,1.0,1.0,2.0,2.0,4.0
1144010600,서울특별시 마포구 토정동,,,,,,,3.0
1144011600,서울특별시 마포구 하중동,,,,,,,
1144012200,서울특별시 마포구 합정동,2.0,2.0,2.0,1.0,2.0,1.0,2.0
1144011200,서울특별시 마포구 현석동,,2.0,,,,,
1141012000,서울특별시 서대문구 남가좌동,4.0,4.0,4.0,4.0,4.0,3.0,2.0
1141010500,서울특별시 서대문구 냉천동,,,1.0,2.0,2.0,1.0,
1141011300,서울특별시 서대문구 대신동,2.0,2.0,1.0,2.0,,,
1141011200,서울특별시 서대문구 대현동,1.0,2.0,1.0,1.0,1.0,1.0,1.0
1141010400,서울특별시 서대문구 미근동,1.0,4.0,3.0,,1.0,,2.0
1141011500,서울특별시 서대문구 봉원동,,,,,,,
1141011900,서울특별시 서대문구 북가좌동,4.0,4.0,2.0,4.0,4.0,4.0,
1141011000,서울특별시 서대문구 북아현동,2.0,4.0,2.0,3.0,4.0,4.0,1.0
1141011400,서울특별시 서대문구 신촌동,,,,,,,
1141011700,서울특별시 서대문구 연희동,3.0,3.0,4.0,3.0,4.0,3.0,3.0
1141010800,서울특별시 서대문구 영천동,,,4.0,2.0,3.0,4.0,
1141010700,서울특별시 서대문구 옥천동,4.0,4.0,4.0,3.0,2.0,,
1141011600,서울특별시 서대문구 창천동,2.0,1.0,2.0,1.0,1.0,1.0,1.0
1141010600,서울특별시 서대문구 천연동,4.0,,,,,3.0,4.0
1141010100,서울특별시 서대문구 충정로2가,4.0,1.0,4.0,4.0,3.0,2.0,
1141010200,서울특별시 서대문구 충정로3가,3.0,1.0,,3.0,3.0,3.0,
1141010300,서울특별시 서대문구 합동,,,,,2.0,,
1141010900,서울특별시 서대문구 현저동,4.0,,4.0,4.0,3.0,,4.0
1141011800,서울특별시 서대문구 홍은동,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1141011100,서울특별시 서대문구 홍제동,3.0,4.0,4.0,4.0,3.0,4.0,3.0
1165010900,서울특별시 서초구 내곡동,,4.0,,4.0,4.0,,
1165010700,서울특별시 서초구 반포동,2.0,2.0,1.0,1.0,1.0,1.0,2.0
1165010100,서울특별시 서초구 방배동,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1165010800,서울특별시 서초구 서초동,1.0,2.0,1.0,2.0,1.0,1.0,2.0
1165011100,서울특별시 서초구 신원동,,4.0,,2.0,1.0,4.0,
1165010200,서울특별시 서초구 양재동,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1165011000,서울특별시 서초구 염곡동,,2.0,3.0,4.0,3.0,4.0,
1165010300,서울특별시 서초구 우면동,4.0,4.0,3.0,4.0,4.0,3.0,2.0
1165010400,서울특별시 서초구 원지동,,4.0,,,4.0,,4.0
