,법정동코드,법정동명,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
0,1168010300,서울특별시 강남구 개포동,-8.465811812366654,-17.517129262555283,36.61769297921992,18.745135331076806,-3.4249286637766465,14.23536447266296
1,1168010800,서울특별시 강남구 논현동,-31.187786991149906,1.4713865632949656,16.893633748898708,1.9483640183118969,11.137941424464872,7.606853257319643
2,1168010600,서울특별시 강남구 대치동,-28.697278567686553,37.92802866736702,-1.9690291589907374,12.931323662332849,20.574933628225203,2.405268671254132
3,1168011800,서울특별시 강남구 도곡동,5.858752100405083,14.68581624111329,8.257445047743227,16.458596125266485,15.64800765395741,-2.351666508024363
4,1168010500,서울특별시 강남구 삼성동,-16.94731007869688,12.081274331934178,19.49963845268962,-6.6361075424053455,55.14478114102199,-2.8554620034542313
5,1168011100,서울특별시 강남구 세곡동,,,,,,
6,1168011500,서울특별시 강남구 수서동,,,5.232405017877309,,,
7,1168010700,서울특별시 강남구 신사동,-20.007824004558763,3.3928359103997683,2.489,5.928002029486091,6.964566241927038,9.708496662234683
8,1168011000,서울특별시 강남구 압구정동,,26.795802592022167,,,,
9,1168010100,서울특별시 강남구 역삼동,18.321551979313487,-5.2027339694275545,16.972110137405124,9.603665842553465,0.2391158047867955,24.324981406864616
10,1168011300,서울특별시 강남구 율현동,,,,,,
11,1168011400,서울특별시 강남구 일원동,37.754802404804856,1.910026208715701,4.61574711273304,-30.52884258765997,195.42629133250455,
12,1168011200,서울특별시 강남구 자곡동,,,,,,
13,1168010400,서울특별시 강남구 청담동,-28.541583166922678,26.587875568368784,-5.236704275557635,17.289550571059596,0.6184979335898532,8.623827436530043
14,1174011000,서울특별시 강동구 강일동,,,,,,
15,1174010200,서울특별시 강동구 고덕동,9.563071280908224,8.701008177129806,-16.952506506308477,77.08151291204499,-8.729813493524604,
16,1174010500,서울특별시 강동구 길동,-1.8692618929954357,24.393022578499707,-8.043537251159004,18.029541092121892,-4.35358839762865,38.365088209629214
17,1174010600,서울특별시 강동구 둔촌동,,7.393339988112679,-15.60373459747378,37.73583646039832,7.688801908424749,39.77903216783936
18,1174010100,서울특별시 강동구 명일동,37.31257646082036,-26.842421756286125,6.7646968235303175,17.439423978190547,39.23809929041304,-13.640910207862088
19,1174010300,서울특별시 강동구 상일동,26.275042522713154,114.57601617213135,-32.27986089090125,-3.6117949104856417,-7.740318841816346,
20,1174010800,서울특별시 강동구 성내동,-10.864628991580776,18.626737828536225,-3.6447235897356514,9.364057169479553,2.5223156031464855,20.995488090358826
21,1174010700,서울특별시 강동구 암사동,26.78538500913861,-1.6957267522950938,0.6672278803875038,28.317896188255034,-21.398688043475023,4.860635212294789
22,1174010900,서울특별시 강동구 천호동,0.05443867007050814,-15.557381424909625,10.941947203474804,8.397207271469641,21.05264338615054,-4.347833249149219
23,1130510100,서울특별시 강북구 미아동,-3.480827310965008,6.407245999271744,7.318762242938448,-1.0096396824456575,9.69584263359553,20.49389959400266
24,1130510200,서울특별시 강북구 번동,-21.605088081533527,-9.867161380046639,1.1951590476990164,22.069809545224924,-21.7749145714251,89.83655241935485
25,1130510300,서울특별시 강북구 수유동,10.54936291225426,-4.507769665496495,-2.714640936074561,17.55715468143978,4.613019257769942,12.5268903257393
26,1130510400,서울특별시 강북구 우이동,-35.83448448676961,75.02289362893556,7.344176813599114,-20.239354318658073,63.803063541418894,17.431197732078136
27,1150010400,서울특별시 강서구 가양동,44.67646508852265,-19.06177193701848,26.9617832975682,-16.092641048841987,10.890278278329815,21.626938354253024
28,1150011000,서울특별시 강서구 개화동,,,,68.14573161015042,,
29,1150010800,서울특별시 강서구 공항동,,58.354245310369315,-14.082736342242345,22.814976305570696,-15.603210938780972,14.094401137755458
30,1150011100,서울특별시 강서구 과해동,,,,,,
31,1150010600,서울특별시 강서구 내발산동,-2.5697320785437188,3.8360732065901333,6.345178400164298,-29.58868058200873,58.92595988935501,-17.066043534086692
32,1150010200,서울특별시 강서구 등촌동,-22.193362861151765,-11.593057157238857,19.692280187118662,4.189683617759874,9.204055524945915,50.66545663462277
33,1150010500,서울특별시 강서구 마곡동,,,,,,
34,1150010900,서울특별시 강서구 방화동,-33.78205935227558,46.005825807633414,-16.114951535540193,7.947890709220164,14.293434794199808,41.35701699341434
35,1150010100,서울특별시 강서구 염창동,-9.967597520231854,-12.006028466929447,34.01543565984564,-7.163291942255876,39.97152445289784,-24.340612462050586
36,1150011200,서울특별시 강서구 오곡동,,,,,,
37,1150011300,서울특별시 강서구 오쇠동,,,,,,
38,1150010700,서울특별시 강서구 외발산동,,,,,323.3217998824158,
39,1150010300,서울특별시 강서구 화곡동,-4.674531926406492,-1.6499605043387975,11.18490056401334,-3.203508147323216,20.34237375552409,8.731910420359316
40,1162010300,서울특별시 관악구 남현동,403.893740919044,-75.35147802095193,15.647333703194082,0.5588076234699202,48.1542894599188,
41,1162010100,서울특별시 관악구 봉천동,-4.183209122805473,5.065078218890417,0.0833002034904971,14.654772659604903,13.706137566137565,-0.19366732959648142
42,1162010200,서울특별시 관악구 신림동,-7.941339902780252,-8.729283448816142,20.77295,17.07861735595595,3.7137972630227543,26.635704938098325
43,1121510400,서울특별시 광진구 광장동,72.08517950133579,29.270475242107196,-2.4438644164759724,18.785579616955545,-10.71542574732285,20.43289265589553
44,1121510300,서울특별시 광진구 구의동,-31.782568116364796,17.459767010174737,11.275679824371316,7.599042772616952,-9.046409121941203,26.53670570624967
