,법정동명,법정동코드
147,서울특별시 성동구 금호동1가,1120010900
148,서울특별시 성동구 금호동2가,1120011000
149,서울특별시 성동구 금호동3가,1120011100
150,서울특별시 성동구 금호동4가,1120011200
151,서울특별시 성동구 도선동,1120010400
152,서울특별시 성동구 마장동,1120010500
153,서울특별시 성동구 사근동,1120010600
154,서울특별시 성동구 상왕십리동,1120010100
155,서울특별시 성동구 성수동1가,1120011400
156,서울특별시 성동구 성수동2가,1120011500
157,서울특별시 성동구 송정동,1120011800
158,서울특별시 성동구 옥수동,1120011300
159,서울특별시 성동구 용답동,1120012200
160,서울특별시 성동구 응봉동,1120010800
161,서울특별시 성동구 하왕십리동,1120010200
162,서울특별시 성동구 행당동,1120010700
163,서울특별시 성동구 홍익동,1120010300
164,서울특별시 성북구 길음동,1129013400
165,서울특별시 성북구 돈암동,1129010300
166,서울특별시 성북구 동선동1가,1129011600
167,서울특별시 성북구 동선동2가,1129011700
168,서울특별시 성북구 동선동3가,1129011800
169,서울특별시 성북구 동선동4가,1129011900
170,서울특별시 성북구 동선동5가,1129012000
171,서울특별시 성북구 동소문동1가,1129010400
172,서울특별시 성북구 동소문동2가,1129010500
173,서울특별시 성북구 동소문동3가,1129010600
174,서울특별시 성북구 동소문동4가,1129010700
175,서울특별시 성북구 동소문동5가,1129010800
176,서울특별시 성북구 동소문동6가,1129010900
177,서울특별시 성북구 동소문동7가,1129011000
178,서울특별시 성북구 보문동1가,1129013000
179,서울특별시 성북구 보문동2가,1129013100
180,서울특별시 성북구 보문동3가,1129013200
181,서울특별시 성북구 보문동4가,1129012600
182,서울특별시 성북구 보문동5가,1129012700
183,서울특별시 성북구 보문동6가,1129012800
184,서울특별시 성북구 보문동7가,1129012900
185,서울특별시 성북구 삼선동1가,1129011100
186,서울특별시 성북구 삼선동2가,1129011200
187,서울특별시 성북구 삼선동3가,1129011300
188,서울특별시 성북구 삼선동4가,1129011400
189,서울특별시 성북구 삼선동5가,1129011500
190,서울특별시 성북구 상월곡동,1129013700
191,서울특별시 성북구 석관동,1129013900
192,서울특별시 성북구 성북동,1129010100
193,서울특별시 성북구 성북동1가,1129010200
194,서울특별시 성북구 안암동1가,1129012100
195,서울특별시 성북구 안암동2가,1129012200
196,서울특별시 성북구 안암동3가,1129012300
197,서울특별시 성북구 안암동4가,1129012400
198,서울특별시 성북구 안암동5가,1129012500
199,서울특별시 성북구 장위동,1129013800
200,서울특별시 성북구 정릉동,1129013300
201,서울특별시 성북구 종암동,1129013500
202,서울특별시 성북구 하월곡동,1129013600
203,서울특별시 송파구 가락동,1171010700
204,서울특별시 송파구 거여동,1171011300
205,서울특별시 송파구 마천동,1171011400
206,서울특별시 송파구 문정동,1171010800
207,서울특별시 송파구 방이동,1171011100
208,서울특별시 송파구 삼전동,1171010600
209,서울특별시 송파구 석촌동,1171010500
210,서울특별시 송파구 송파동,1171010400
211,서울특별시 송파구 신천동,1171010200
212,서울특별시 송파구 오금동,1171011200
213,서울특별시 송파구 잠실동,1171010100
214,서울특별시 송파구 장지동,1171010900
215,서울특별시 송파구 풍납동,1171010300
216,서울특별시 양천구 목동,1147010200
217,서울특별시 양천구 신월동,1147010300
218,서울특별시 양천구 신정동,1147010100
219,서울특별시 영등포구 당산동,1156011700
220,서울특별시 영등포구 당산동1가,1156011100
221,서울특별시 영등포구 당산동2가,1156011200
222,서울특별시 영등포구 당산동3가,1156011300
223,서울특별시 영등포구 당산동4가,1156011400
224,서울특별시 영등포구 당산동5가,1156011500
225,서울특별시 영등포구 당산동6가,1156011600
226,서울특별시 영등포구 대림동,1156013300
227,서울특별시 영등포구 도림동,1156011800
228,서울특별시 영등포구 문래동1가,1156011900
229,서울특별시 영등포구 문래동2가,1156012000
230,서울특별시 영등포구 문래동3가,1156012100
231,서울특별시 영등포구 문래동4가,1156012200
232,서울특별시 영등포구 문래동5가,1156012300
233,서울특별시 영등포구 문래동6가,1156012400
234,서울특별시 영등포구 신길동,1156013200
235,서울특별시 영등포구 양평동,1156013400
236,서울특별시 영등포구 양평동1가,1156012500
237,서울특별시 영등포구 양평동2가,1156012600
238,서울특별시 영등포구 양평동3가,1156012700
239,서울특별시 영등포구 양평동4가,1156012800
240,서울특별시 영등포구 양평동5가,1156012900
241,서울특별시 영등포구 양평동6가,1156013000
242,서울특별시 영등포구 양화동,1156013100
243,서울특별시 영등포구 여의도동,1156011000
244,서울특별시 영등포구 영등포동,1156010100
245,서울특별시 영등포구 영등포동1가,1156010200
246,서울특별시 영등포구 영등포동2가,1156010300
247,서울특별시 영등포구 영등포동3가,1156010400
248,서울특별시 영등포구 영등포동4가,1156010500
249,서울특별시 영등포구 영등포동5가,1156010600
250,서울특별시 영등포구 영등포동6가,1156010700
251,서울특별시 영등포구 영등포동7가,1156010800
252,서울특별시 영등포구 영등포동8가,1156010900
253,서울특별시 용산구 갈월동,1117010400
254,서울특별시 용산구 남영동,1117010500
255,서울특별시 용산구 도원동,1117012000
256,서울특별시 용산구 동빙고동,1117013200
257,서울특별시 용산구 동자동,1117010700
258,서울특별시 용산구 문배동,1117012200
259,서울특별시 용산구 보광동,1117013600
260,서울특별시 용산구 산천동,1117011500
261,서울특별시 용산구 서계동,1117010800
262,서울특별시 용산구 서빙고동,1117013300
263,서울특별시 용산구 신계동,1117012300
264,서울특별시 용산구 신창동,1117011400
265,서울특별시 용산구 용문동,1117012100
266,서울특별시 용산구 용산동1가,1117010600
267,서울특별시 용산구 용산동2가,1117010200
268,서울특별시 용산구 용산동3가,1117012600
269,서울특별시 용산구 용산동5가,1117012700
270,서울특별시 용산구 용산동6가,1117013500
271,서울특별시 용산구 원효로1가,1117011200
272,서울특별시 용산구 원효로2가,1117011300
273,서울특별시 용산구 원효로3가,1117011700
274,서울특별시 용산구 원효로4가,1117011800
275,서울특별시 용산구 이촌동,1117012900
276,서울특별시 용산구 이태원동,1117013000
277,서울특별시 용산구 주성동,1117013400
278,서울특별시 용산구 청암동,1117011600
279,서울특별시 용산구 청파동1가,1117010900
280,서울특별시 용산구 청파동2가,1117011000
281,서울특별시 용산구 청파동3가,1117011100
282,서울특별시 용산구 한강로1가,1117012400
283,서울특별시 용산구 한강로2가,1117012500
284,서울특별시 용산구 한강로3가,1117012800
285,서울특별시 용산구 한남동,1117013100
286,서울특별시 용산구 효창동,1117011900
287,서울특별시 용산구 후암동,1117010100
288,서울특별시 은평구 갈현동,1138010400
289,서울특별시 은평구 구산동,1138010500
290,서울특별시 은평구 녹번동,1138010200
291,서울특별시 은평구 대조동,1138010600
292,서울특별시 은평구 불광동,1138010300
293,서울특별시 은평구 수색동,1138010100
294,서울특별시 은평구 신사동,1138010900
295,서울특별시 은평구 역촌동,1138010800
296,서울특별시 은평구 응암동,1138010700
297,서울특별시 은평구 증산동,1138011000
298,서울특별시 은평구 진관동,1138011400
299,서울특별시 종로구 가회동,1111014600
300,서울특별시 종로구 견지동,1111012900
301,서울특별시 종로구 경운동,1111013400
302,서울특별시 종로구 계동,1111014800
303,서울특별시 종로구 공평동,1111012700
304,서울특별시 종로구 관수동,1111015500
305,서울특별시 종로구 관철동,1111013500
306,서울특별시 종로구 관훈동,1111012800
307,서울특별시 종로구 교남동,1111017600
308,서울특별시 종로구 교북동,1111018000
309,서울특별시 종로구 구기동,1111018200
310,서울특별시 종로구 궁정동,1111010300
311,서울특별시 종로구 권농동,1111013100
312,서울특별시 종로구 낙원동,1111013700
313,서울특별시 종로구 내수동,1111011800
314,서울특별시 종로구 내자동,1111011400
315,서울특별시 종로구 누상동,1111010900
316,서울특별시 종로구 누하동,1111011000
317,서울특별시 종로구 당주동,1111011700
318,서울특별시 종로구 도렴동,1111011600
319,서울특별시 종로구 돈의동,1111015300
320,서울특별시 종로구 동숭동,1111016800
321,서울특별시 종로구 명륜1가,1111017000
322,서울특별시 종로구 명륜2가,1111017100
323,서울특별시 종로구 명륜3가,1111017300
324,서울특별시 종로구 명륜4가,1111017200
325,서울특별시 종로구 묘동,1111015100
326,서울특별시 종로구 무악동,1111018700
327,서울특별시 종로구 봉익동,1111015200
328,서울특별시 종로구 부암동,1111018400
329,서울특별시 종로구 사간동,1111014400
330,서울특별시 종로구 사직동,1111011500
331,서울특별시 종로구 삼청동,1111014000
332,서울특별시 종로구 서린동,1111012300
333,서울특별시 종로구 세종로,1111011900
334,서울특별시 종로구 소격동,1111014200
335,서울특별시 종로구 송월동,1111017800
336,서울특별시 종로구 송현동,1111014500
337,서울특별시 종로구 수송동,1111012400
338,서울특별시 종로구 숭인동,1111017500
339,서울특별시 종로구 신교동,1111010200
340,서울특별시 종로구 신문로1가,1111012000
341,서울특별시 종로구 신문로2가,1111012100
342,서울특별시 종로구 신영동,1111018600
343,서울특별시 종로구 안국동,1111014100
344,서울특별시 종로구 연건동,1111016600
345,서울특별시 종로구 연지동,1111016000
346,서울특별시 종로구 예지동,1111015800
347,서울특별시 종로구 옥인동,1111011100
348,서울특별시 종로구 와룡동,1111013000
349,서울특별시 종로구 운니동,1111013200
350,서울특별시 종로구 원남동,1111015900
351,서울특별시 종로구 원서동,1111014900
352,서울특별시 종로구 이화동,1111016500
353,서울특별시 종로구 익선동,1111013300
354,서울특별시 종로구 인사동,1111013600
355,서울특별시 종로구 인의동,1111015700
356,서울특별시 종로구 장사동,1111015400
357,서울특별시 종로구 재동,1111014700
358,서울특별시 종로구 적선동,1111010700
359,서울특별시 종로구 종로1가,1111012600
360,서울특별시 종로구 종로2가,1111013800
361,서울특별시 종로구 종로3가,1111015600
362,서울특별시 종로구 종로4가,1111016100
363,서울특별시 종로구 종로5가,1111016300
364,서울특별시 종로구 종로6가,1111016400
365,서울특별시 종로구 중학동,1111012500
366,서울특별시 종로구 창성동,1111010500
367,서울특별시 종로구 창신동,1111017400
368,서울특별시 종로구 청운동,1111010100
369,서울특별시 종로구 청진동,1111012200
370,서울특별시 종로구 체부동,1111011200
371,서울특별시 종로구 충신동,1111016700
372,서울특별시 종로구 통의동,1111010600
373,서울특별시 종로구 통인동,1111010800
374,서울특별시 종로구 팔판동,1111013900
375,서울특별시 종로구 평동,1111017700
376,서울특별시 종로구 평창동,1111018300
377,서울특별시 종로구 필운동,1111011300
378,서울특별시 종로구 행촌동,1111018100
379,서울특별시 종로구 혜화동,1111016900
380,서울특별시 종로구 홍지동,1111018500
381,서울특별시 종로구 홍파동,1111017900
382,서울특별시 종로구 화동,1111014300
383,서울특별시 종로구 효자동,1111010400
384,서울특별시 종로구 효제동,1111016200
385,서울특별시 종로구 훈정동,1111015000
386,서울특별시 중구 광희동1가,1114014500
387,서울특별시 중구 광희동2가,1114014600
388,서울특별시 중구 남대문로1가,1114010600
389,서울특별시 중구 남대문로2가,1114011500
390,서울특별시 중구 남대문로3가,1114011600
391,서울특별시 중구 남대문로4가,1114011700
392,서울특별시 중구 남대문로5가,1114011800
393,서울특별시 중구 남산동1가,1114012800
394,서울특별시 중구 남산동2가,1114012900
395,서울특별시 중구 남산동3가,1114013000
396,서울특별시 중구 남창동,1114011200
397,서울특별시 중구 남학동,1114014000
398,서울특별시 중구 다동,1114010200
399,서울특별시 중구 만리동1가,1114017300
400,서울특별시 중구 만리동2가,1114017400
401,서울특별시 중구 명동1가,1114012600
402,서울특별시 중구 명동2가,1114012700
403,서울특별시 중구 무교동,1114010100
404,서울특별시 중구 무학동,1114016400
405,서울특별시 중구 묵정동,1114013600
406,서울특별시 중구 방산동,1114015300
407,서울특별시 중구 봉래동1가,1114011900
408,서울특별시 중구 봉래동2가,1114012000
409,서울특별시 중구 북창동,1114011300
410,서울특별시 중구 산림동,1114015700
411,서울특별시 중구 삼각동,1114010700
412,서울특별시 중구 서소문동,1114016600
413,서울특별시 중구 소공동,1114011100
414,서울특별시 중구 수표동,1114011000
415,서울특별시 중구 수하동,1114010800
416,서울특별시 중구 순화동,1114016800
