,법정동코드,법정동명,2018,price_bin
200,1144011800,당인동,1395.0,2
201,1144012000,서교동,1755.0,1
202,1144012100,동교동,1975.0,1
203,1144012200,합정동,1509.0,2
204,1144012300,망원동,1023.0,3
205,1144012400,연남동,1814.0,1
206,1144012500,성산동,781.0,3
207,1144012600,중동,701.0,4
208,1144012700,상암동,1600.0,2
209,1144011700,신정동,1375.0,2
210,1147010100,신정동,1375.0,2
211,1147010200,목동,101.0,4
212,1147010300,신월동,679.0,4
213,1150010100,염창동,775.0,3
214,1150010200,등촌동,1317.0,2
215,1150010300,화곡동,822.0,3
216,1150010400,가양동,1005.0,3
217,1150010500,마곡동,1821.0,1
218,1150010600,내발산동,681.0,4
219,1150010800,공항동,696.0,4
220,1150010900,방화동,892.0,3
221,1153010100,신도림동,538.0,4
222,1153010200,구로동,768.0,3
223,1153010300,가리봉동,388.0,4
224,1153010600,고척동,465.0,4
225,1153010700,개봉동,587.0,4
226,1153010800,오류동,558.0,4
227,1153010900,궁동,451.0,4
228,1153011000,온수동,493.0,4
229,1153011100,천왕동,561.0,4
230,1153011200,항동,686.0,4
231,1154510100,가산동,943.0,3
232,1154510200,독산동,724.0,4
233,1154510300,시흥동,752.0,4
234,1156010100,영등포동,1114.0,3
235,1156011000,여의도동,5839.0,1
236,1156011700,당산동,807.0,3
237,1156011800,도림동,196.0,4
238,1156011900,문래동1가,567.0,4
239,1156012000,문래동2가,634.0,4
240,1156012100,문래동3가,791.0,3
241,1156012200,문래동4가,694.0,4
242,1156013200,신길동,870.0,3
243,1156013300,대림동,1010.0,3
244,1156013400,양평동,1009.0,3
245,1159010100,노량진동,1229.0,2
246,1159010200,상도동,827.0,3
247,1159010300,상도1동,1598.0,2
248,1159010400,본동,1720.0,1
249,1159010500,흑석동,1441.0,2
250,1159010600,동작동,626.0,4
251,1159010700,사당동,1206.0,2
252,1159010800,대방동,907.0,3
253,1159010900,신대방동,908.0,3
254,1162010100,봉천동,1072.0,3
255,1162010200,신림동,1114.0,3
256,1165010100,방배동,1685.0,2
257,1165010200,양재동,1332.0,2
258,1165010300,우면동,1590.0,2
259,1165010400,원지동,479.0,4
260,1165010600,잠원동,1946.0,1
261,1165010700,반포동,1718.0,2
262,1165010800,서초동,1750.0,1
263,1165011100,신원동,532.0,4
264,1168010100,역삼동,2336.0,1
265,1168010300,개포동,1256.0,2
