,법정동코드,법정동명,2012~2013_bin,2013~2014_bin,2014~2015_bin,2015~2016_bin,2016~2017_bin,2017~2018_bin
75,1123011000,서울특별시 동대문구 이문동,1.0,2.0,4.0,3.0,1.0,2.0
76,1123010600,서울특별시 동대문구 장안동,3.0,2.0,3.0,1.0,3.0,3.0
77,1123010400,서울특별시 동대문구 전농동,1.0,4.0,2.0,2.0,4.0,3.0
78,1123010300,서울특별시 동대문구 제기동,3.0,3.0,2.0,3.0,2.0,3.0
79,1123010700,서울특별시 동대문구 청량리동,1.0,4.0,4.0,2.0,3.0,3.0
80,1123010800,서울특별시 동대문구 회기동,4.0,3.0,2.0,2.0,3.0,4.0
81,1123010900,서울특별시 동대문구 휘경동,2.0,1.0,3.0,4.0,3.0,3.0
82,1159010100,서울특별시 동작구 노량진동,2.0,3.0,3.0,3.0,3.0,2.0
83,1159010800,서울특별시 동작구 대방동,1.0,4.0,1.0,4.0,2.0,3.0
84,1159010600,서울특별시 동작구 동작동,,,,,,1.0
85,1159010400,서울특별시 동작구 본동,,,1.0,1.0,4.0,3.0
86,1159010700,서울특별시 동작구 사당동,3.0,3.0,3.0,1.0,2.0,3.0
87,1159010300,서울특별시 동작구 상도1동,2.0,2.0,3.0,2.0,3.0,2.0
88,1159010200,서울특별시 동작구 상도동,1.0,3.0,2.0,3.0,2.0,4.0
89,1159010900,서울특별시 동작구 신대방동,3.0,2.0,3.0,3.0,4.0,2.0
90,1159010500,서울특별시 동작구 흑석동,2.0,3.0,3.0,1.0,4.0,1.0
91,1144010200,서울특별시 마포구 공덕동,4.0,3.0,3.0,2.0,2.0,2.0
92,1144011300,서울특별시 마포구 구수동,,,,1.0,4.0,2.0
93,1144011000,서울특별시 마포구 노고산동,2.0,2.0,1.0,3.0,4.0,1.0
94,1144011800,서울특별시 마포구 당인동,,,,,,
95,1144010800,서울특별시 마포구 대흥동,2.0,4.0,3.0,1.0,3.0,1.0
96,1144010400,서울특별시 마포구 도화동,1.0,4.0,2.0,2.0,4.0,4.0
97,1144012100,서울특별시 마포구 동교동,2.0,1.0,1.0,2.0,4.0,3.0
98,1144010700,서울특별시 마포구 마포동,,,,,,
99,1144012300,서울특별시 마포구 망원동,2.0,3.0,2.0,2.0,1.0,4.0
100,1144011500,서울특별시 마포구 상수동,4.0,1.0,4.0,1.0,2.0,2.0
101,1144012700,서울특별시 마포구 상암동,4.0,1.0,4.0,1.0,4.0,1.0
102,1144012000,서울특별시 마포구 서교동,2.0,4.0,1.0,3.0,2.0,3.0
103,1144012500,서울특별시 마포구 성산동,3.0,3.0,1.0,3.0,1.0,4.0
104,1144010300,서울특별시 마포구 신공덕동,,4.0,1.0,1.0,,
105,1144011100,서울특별시 마포구 신수동,3.0,2.0,1.0,4.0,1.0,
106,1144011700,서울특별시 마포구 신정동,,,,,,
107,1144010100,서울특별시 마포구 아현동,,2.0,4.0,2.0,3.0,2.0
108,1144012400,서울특별시 마포구 연남동,1.0,2.0,2.0,2.0,3.0,1.0
109,1144010900,서울특별시 마포구 염리동,2.0,3.0,4.0,3.0,1.0,2.0
110,1144010500,서울특별시 마포구 용강동,,,,1.0,4.0,2.0
111,1144012600,서울특별시 마포구 중동,,,,4.0,2.0,
112,1144011400,서울특별시 마포구 창전동,1.0,4.0,1.0,4.0,3.0,4.0
113,1144010600,서울특별시 마포구 토정동,,,,,,
114,1144011600,서울특별시 마포구 하중동,,,,,,
115,1144012200,서울특별시 마포구 합정동,2.0,2.0,1.0,4.0,1.0,4.0
116,1144011200,서울특별시 마포구 현석동,,,,,,
117,1141012000,서울특별시 서대문구 남가좌동,2.0,2.0,2.0,3.0,1.0,2.0
118,1141010500,서울특별시 서대문구 냉천동,,,4.0,2.0,1.0,
119,1141011300,서울특별시 서대문구 대신동,3.0,1.0,3.0,,,
120,1141011200,서울특별시 서대문구 대현동,4.0,2.0,1.0,4.0,1.0,3.0
121,1141010400,서울특별시 서대문구 미근동,4.0,1.0,,,,
122,1141011500,서울특별시 서대문구 봉원동,,,,,,
123,1141011900,서울특별시 서대문구 북가좌동,3.0,1.0,4.0,4.0,2.0,
124,1141011000,서울특별시 서대문구 북아현동,4.0,1.0,3.0,4.0,3.0,1.0
125,1141011400,서울특별시 서대문구 신촌동,,,,,,
126,1141011700,서울특별시 서대문구 연희동,3.0,3.0,2.0,3.0,1.0,4.0
127,1141010800,서울특별시 서대문구 영천동,,,1.0,3.0,4.0,
128,1141010700,서울특별시 서대문구 옥천동,3.0,3.0,1.0,2.0,,
129,1141011600,서울특별시 서대문구 창천동,2.0,3.0,1.0,3.0,3.0,2.0
130,1141010600,서울특별시 서대문구 천연동,,,,,,4.0
131,1141010100,서울특별시 서대문구 충정로2가,1.0,,1.0,1.0,1.0,
132,1141010200,서울특별시 서대문구 충정로3가,1.0,,,4.0,2.0,
133,1141010300,서울특별시 서대문구 합동,,,,,,
134,1141010900,서울특별시 서대문구 현저동,,,3.0,1.0,,
135,1141011800,서울특별시 서대문구 홍은동,1.0,4.0,2.0,2.0,3.0,4.0
136,1141011100,서울특별시 서대문구 홍제동,4.0,3.0,2.0,1.0,4.0,1.0
137,1165010900,서울특별시 서초구 내곡동,,,,2.0,,
138,1165010700,서울특별시 서초구 반포동,4.0,1.0,3.0,2.0,3.0,3.0
139,1165010100,서울특별시 서초구 방배동,3.0,3.0,2.0,2.0,2.0,2.0
140,1165010800,서울특별시 서초구 서초동,3.0,1.0,4.0,1.0,4.0,3.0
141,1165011100,서울특별시 서초구 신원동,,,,1.0,4.0,
142,1165010200,서울특별시 서초구 양재동,3.0,3.0,1.0,3.0,2.0,3.0
143,1165011000,서울특별시 서초구 염곡동,,4.0,4.0,1.0,4.0,
144,1165010300,서울특별시 서초구 우면동,2.0,1.0,4.0,1.0,1.0,1.0
145,1165010400,서울특별시 서초구 원지동,,,,,,
146,1165010600,서울특별시 서초구 잠원동,2.0,2.0,4.0,1.0,4.0,3.0
147,1120010900,서울특별시 성동구 금호동1가,,,,,1.0,3.0
148,1120011000,서울특별시 성동구 금호동2가,,,4.0,,,4.0
149,1120011100,서울특별시 성동구 금호동3가,,1.0,4.0,1.0,1.0,4.0
150,1120011200,서울특별시 성동구 금호동4가,4.0,1.0,1.0,4.0,1.0,
151,1120010400,서울특별시 성동구 도선동,2.0,4.0,1.0,3.0,4.0,
152,1120010500,서울특별시 성동구 마장동,2.0,4.0,2.0,4.0,1.0,4.0
153,1120010600,서울특별시 성동구 사근동,1.0,2.0,1.0,4.0,4.0,
154,1120010100,서울특별시 성동구 상왕십리동,,,,,,
155,1120011400,서울특별시 성동구 성수동1가,2.0,1.0,2.0,3.0,3.0,2.0
156,1120011500,서울특별시 성동구 성수동2가,3.0,3.0,2.0,3.0,2.0,2.0
157,1120011800,서울특별시 성동구 송정동,3.0,2.0,4.0,1.0,2.0,
158,1120011300,서울특별시 성동구 옥수동,2.0,1.0,4.0,1.0,4.0,
159,1120012200,서울특별시 성동구 용답동,,1.0,4.0,2.0,3.0,2.0
160,1120010800,서울특별시 성동구 응봉동,,,,,,
161,1120010200,서울특별시 성동구 하왕십리동,2.0,2.0,3.0,4.0,1.0,3.0
162,1120010700,서울특별시 성동구 행당동,1.0,1.0,3.0,3.0,1.0,4.0
163,1120010300,서울특별시 성동구 홍익동,3.0,2.0,2.0,3.0,2.0,3.0
164,1129013400,서울특별시 성북구 길음동,4.0,2.0,3.0,3.0,1.0,1.0
165,1129010300,서울특별시 성북구 돈암동,1.0,,,,,
166,1129011600,서울특별시 성북구 동선동1가,4.0,1.0,4.0,4.0,1.0,3.0
167,1129011700,서울특별시 성북구 동선동2가,3.0,3.0,,,1.0,
168,1129011800,서울특별시 성북구 동선동3가,,4.0,4.0,2.0,3.0,1.0
169,1129011900,서울특별시 성북구 동선동4가,1.0,4.0,1.0,1.0,4.0,4.0
170,1129012000,서울특별시 성북구 동선동5가,1.0,4.0,1.0,,,
171,1129010400,서울특별시 성북구 동소문동1가,4.0,1.0,4.0,3.0,1.0,
172,1129010500,서울특별시 성북구 동소문동2가,4.0,2.0,3.0,3.0,2.0,1.0
173,1129010600,서울특별시 성북구 동소문동3가,,4.0,1.0,4.0,,
174,1129010700,서울특별시 성북구 동소문동4가,,,3.0,2.0,3.0,2.0
