,법정동코드,법정동명,2012~2013_bin,2013~2014_bin,2014~2015_bin,2015~2016_bin,2016~2017_bin,2017~2018_bin
346,1111015800,서울특별시 종로구 예지동,4.0,2.0,2.0,4.0,1.0,4.0
347,1111011100,서울특별시 종로구 옥인동,,,,,3.0,3.0
348,1111013000,서울특별시 종로구 와룡동,,,,4.0,,
349,1111013200,서울특별시 종로구 운니동,,,,4.0,,
350,1111015900,서울특별시 종로구 원남동,4.0,2.0,1.0,4.0,,1.0
351,1111014900,서울특별시 종로구 원서동,,,,,,
352,1111016500,서울특별시 종로구 이화동,,,,2.0,1.0,4.0
353,1111013300,서울특별시 종로구 익선동,1.0,,,1.0,2.0,2.0
354,1111013600,서울특별시 종로구 인사동,4.0,4.0,4.0,2.0,2.0,1.0
355,1111015700,서울특별시 종로구 인의동,,,1.0,4.0,,
356,1111015400,서울특별시 종로구 장사동,,,2.0,4.0,2.0,1.0
357,1111014700,서울특별시 종로구 재동,,,4.0,,,4.0
358,1111010700,서울특별시 종로구 적선동,1.0,4.0,,,,
359,1111012600,서울특별시 종로구 종로1가,,,,,,
360,1111013800,서울특별시 종로구 종로2가,,,,,4.0,1.0
361,1111015600,서울특별시 종로구 종로3가,,4.0,1.0,,,1.0
362,1111016100,서울특별시 종로구 종로4가,3.0,1.0,4.0,,,2.0
363,1111016300,서울특별시 종로구 종로5가,2.0,3.0,2.0,1.0,3.0,4.0
364,1111016400,서울특별시 종로구 종로6가,4.0,3.0,1.0,4.0,2.0,2.0
365,1111012500,서울특별시 종로구 중학동,,,,,,
366,1111010500,서울특별시 종로구 창성동,,,,,2.0,3.0
367,1111017400,서울특별시 종로구 창신동,1.0,4.0,2.0,2.0,1.0,3.0
368,1111010100,서울특별시 종로구 청운동,4.0,,,,4.0,1.0
369,1111012200,서울특별시 종로구 청진동,1.0,4.0,3.0,1.0,2.0,
370,1111011200,서울특별시 종로구 체부동,,,3.0,2.0,,
371,1111016700,서울특별시 종로구 충신동,3.0,1.0,1.0,4.0,1.0,2.0
372,1111010600,서울특별시 종로구 통의동,,,2.0,1.0,4.0,
373,1111010800,서울특별시 종로구 통인동,2.0,,,3.0,1.0,4.0
374,1111013900,서울특별시 종로구 팔판동,,,1.0,4.0,,
375,1111017700,서울특별시 종로구 평동,,,,,,
376,1111018300,서울특별시 종로구 평창동,4.0,3.0,1.0,1.0,4.0,1.0
377,1111011300,서울특별시 종로구 필운동,,2.0,3.0,1.0,4.0,2.0
378,1111018100,서울특별시 종로구 행촌동,,4.0,2.0,,,1.0
379,1111016900,서울특별시 종로구 혜화동,2.0,1.0,4.0,1.0,3.0,2.0
380,1111018500,서울특별시 종로구 홍지동,,3.0,4.0,,,
381,1111017900,서울특별시 종로구 홍파동,,,,,,
382,1111014300,서울특별시 종로구 화동,,1.0,,,,
383,1111010400,서울특별시 종로구 효자동,,,,,,
384,1111016200,서울특별시 종로구 효제동,4.0,1.0,4.0,1.0,4.0,1.0
385,1111015000,서울특별시 종로구 훈정동,,,,,,
386,1114014500,서울특별시 중구 광희동1가,1.0,4.0,1.0,2.0,4.0,3.0
387,1114014600,서울특별시 중구 광희동2가,4.0,1.0,1.0,4.0,4.0,1.0
388,1114010600,서울특별시 중구 남대문로1가,,,,,,
389,1114011500,서울특별시 중구 남대문로2가,,,,,,
390,1114011600,서울특별시 중구 남대문로3가,,1.0,1.0,,,
391,1114011700,서울특별시 중구 남대문로4가,1.0,,,,,
392,1114011800,서울특별시 중구 남대문로5가,3.0,4.0,2.0,4.0,2.0,
393,1114012800,서울특별시 중구 남산동1가,,,,,,
394,1114012900,서울특별시 중구 남산동2가,4.0,,,,,
395,1114013000,서울특별시 중구 남산동3가,,,,,,
396,1114011200,서울특별시 중구 남창동,1.0,3.0,3.0,3.0,1.0,4.0
397,1114014000,서울특별시 중구 남학동,,,,,,
398,1114010200,서울특별시 중구 다동,3.0,2.0,2.0,1.0,4.0,2.0
399,1114017300,서울특별시 중구 만리동1가,,,,4.0,,
400,1114017400,서울특별시 중구 만리동2가,,,,,,
401,1114012600,서울특별시 중구 명동1가,,,,4.0,,
402,1114012700,서울특별시 중구 명동2가,3.0,,,1.0,4.0,1.0
403,1114010100,서울특별시 중구 무교동,,,,,,
404,1114016400,서울특별시 중구 무학동,,,1.0,,,
405,1114013600,서울특별시 중구 묵정동,2.0,3.0,3.0,4.0,1.0,
406,1114015300,서울특별시 중구 방산동,,1.0,4.0,,,
407,1114011900,서울특별시 중구 봉래동1가,,,,,,
408,1114012000,서울특별시 중구 봉래동2가,,,,,,
409,1114011300,서울특별시 중구 북창동,4.0,4.0,1.0,1.0,4.0,
410,1114015700,서울특별시 중구 산림동,,,,1.0,,
411,1114010700,서울특별시 중구 삼각동,,,,,,
412,1114016600,서울특별시 중구 서소문동,,,4.0,1.0,4.0,1.0
413,1114011100,서울특별시 중구 소공동,,,1.0,4.0,,
414,1114011000,서울특별시 중구 수표동,,,,,,
415,1114010800,서울특별시 중구 수하동,,,,,,
416,1114016800,서울특별시 중구 순화동,,,,,,
417,1114016200,서울특별시 중구 신당동,2.0,2.0,3.0,3.0,3.0,1.0
418,1114014700,서울특별시 중구 쌍림동,4.0,2.0,2.0,3.0,4.0,1.0
419,1114013500,서울특별시 중구 예관동,,,,,1.0,3.0
420,1114014200,서울특별시 중구 예장동,2.0,,,,1.0,3.0
421,1114015400,서울특별시 중구 오장동,4.0,2.0,3.0,3.0,3.0,4.0
422,1114010400,서울특별시 중구 을지로1가,,,,,,
423,1114010500,서울특별시 중구 을지로2가,1.0,3.0,,,1.0,
424,1114015500,서울특별시 중구 을지로3가,3.0,3.0,4.0,1.0,4.0,2.0
425,1114015000,서울특별시 중구 을지로4가,1.0,2.0,2.0,4.0,4.0,
426,1114015100,서울특별시 중구 을지로5가,,,3.0,3.0,3.0,4.0
427,1114014800,서울특별시 중구 을지로6가,,,1.0,3.0,,
428,1114014900,서울특별시 중구 을지로7가,,1.0,,,,
429,1114016900,서울특별시 중구 의주로1가,,,,,,
430,1114017200,서울특별시 중구 의주로2가,,,,,,
431,1114016000,서울특별시 중구 인현동1가,2.0,4.0,1.0,1.0,4.0,
432,1114013400,서울특별시 중구 인현동2가,4.0,1.0,4.0,1.0,4.0,1.0
433,1114015600,서울특별시 중구 입정동,,1.0,1.0,,,1.0
434,1114010900,서울특별시 중구 장교동,,,,,,
435,1114014300,서울특별시 중구 장충동1가,1.0,4.0,4.0,1.0,3.0,
436,1114014400,서울특별시 중구 장충동2가,4.0,2.0,1.0,1.0,,
437,1114013100,서울특별시 중구 저동1가,1.0,,,,,
438,1114016100,서울특별시 중구 저동2가,2.0,1.0,4.0,1.0,4.0,1.0
439,1114016700,서울특별시 중구 정동,,,,,2.0,1.0
440,1114015200,서울특별시 중구 주교동,4.0,1.0,2.0,1.0,4.0,1.0
441,1114014100,서울특별시 중구 주자동,,,,,,
442,1114017100,서울특별시 중구 중림동,1.0,1.0,4.0,2.0,2.0,
443,1114015900,서울특별시 중구 초동,2.0,2.0,,1.0,2.0,
444,1114012400,서울특별시 중구 충무로1가,4.0,,,,,
445,1114012500,서울특별시 중구 충무로2가,,,4.0,4.0,4.0,1.0
446,1114015800,서울특별시 중구 충무로3가,,,1.0,4.0,,
447,1114013200,서울특별시 중구 충무로4가,1.0,3.0,3.0,3.0,3.0,2.0
448,1114013300,서울특별시 중구 충무로5가,,4.0,,,1.0,
449,1114017000,서울특별시 중구 충정로1가,,,,,,
450,1114010300,서울특별시 중구 태평로1가,,,,,,
451,1114011400,서울특별시 중구 태평로2가,3.0,3.0,,,4.0,
452,1114013700,서울특별시 중구 필동1가,1.0,4.0,1.0,1.0,4.0,4.0
453,1114013800,서울특별시 중구 필동2가,3.0,2.0,4.0,3.0,1.0,4.0
454,1114013900,서울특별시 중구 필동3가,,,3.0,4.0,1.0,4.0
455,1114016500,서울특별시 중구 황학동,3.0,4.0,3.0,1.0,1.0,4.0
456,1114012100,서울특별시 중구 회현동1가,1.0,4.0,2.0,4.0,3.0,4.0
457,1114012200,서울특별시 중구 회현동2가,,,,,,
458,1114012300,서울특별시 중구 회현동3가,,,,,,
459,1114016300,서울특별시 중구 흥인동,4.0,,,,,
460,1126010500,서울특별시 중랑구 망우동,2.0,3.0,1.0,2.0,3.0,4.0
461,1126010100,서울특별시 중랑구 면목동,3.0,2.0,3.0,2.0,3.0,3.0
462,1126010400,서울특별시 중랑구 묵동,3.0,3.0,2.0,3.0,2.0,4.0
463,1126010200,서울특별시 중랑구 상봉동,1.0,4.0,2.0,2.0,2.0,4.0
464,1126010600,서울특별시 중랑구 신내동,4.0,1.0,4.0,1.0,3.0,
465,1126010300,서울특별시 중랑구 중화동,2.0,4.0,1.0,2.0,3.0,4.0
